Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-28,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-29,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-30,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-21,0,0,0,0,,,,0.0,0.0,0.0,472.0
2020-02-22,1,1,0,0,,,,0.11599999999999999,0.0,0.0,485.0
2020-02-23,1,0,0,0,,,,0.11599999999999999,0.0,0.0,560.0
2020-02-24,2,1,0,0,,,,0.231,0.0,0.0,618.0
2020-02-25,2,0,0,0,,,,0.231,0.0,0.0,722.0
2020-02-26,2,0,0,0,,,,0.231,0.0,0.0,845.0
2020-02-27,2,0,0,0,,,,0.231,0.0,0.0,979.0
2020-02-28,3,1,0,0,,,,0.34700000000000003,0.0,0.0,1094.0
2020-02-29,7,4,0,0,,,,0.809,0.0,0.0,1252.0
2020-03-01,7,0,0,0,,,,0.809,0.0,0.0,1412.0
2020-03-02,10,3,0,0,,,,1.155,0.0,0.0,1585.0
2020-03-03,0,0,0,0,,,,,,,1808.0
2020-03-04,0,0,0,0,,,,,,,1931.0
2020-03-05,15,5,0,0,,,,1.733,0.0,0.0,2108.0
2020-03-06,17,2,0,0,,,,1.964,0.0,0.0,2410.0
2020-03-07,19,2,0,0,,,,2.195,0.0,0.0,2797.0
2020-03-08,25,6,0,0,,,,2.888,0.0,0.0,3272.0
2020-03-09,39,14,0,0,,,,4.506,0.0,0.0,3860.0
2020-03-10,0,0,0,0,,,,,,,4378.0
2020-03-11,70,31,0,0,,,,8.087,0.0,0.0,4889.0
2020-03-12,82,12,0,0,,,,9.474,0.0,0.0,5611.0
2020-03-13,96,14,0,0,,,,11.091,0.0,0.0,6396.0
2020-03-14,116,20,0,0,,,,13.402000000000001,0.0,0.0,7041.0
2020-03-15,178,62,0,0,,,,20.565,0.0,0.0,8183.0
2020-03-16,250,72,0,0,,,,28.883000000000003,0.0,0.0,9461.0
2020-03-17,260,10,0,0,,,,30.039,0.0,0.0,11596.0
2020-03-18,427,167,0,0,,,,49.333,0.0,0.0,14252.0
2020-03-19,433,6,0,0,,,,50.026,0.0,0.0,16755.0
2020-03-20,677,244,0,0,,,,78.21600000000001,0.0,0.0,19398.0
2020-03-21,712,35,1,1,,,,82.259,0.11599999999999999,0.11599999999999999,21372.0
2020-03-22,883,171,1,0,,,,102.016,0.11599999999999999,0.0,24731.0
2020-03-23,1071,188,1,0,,,,123.736,0.11599999999999999,0.0,28596.0
2020-03-24,1442,371,1,0,,,,166.59799999999998,0.11599999999999999,0.0,33663.0
2020-03-25,1930,488,3,2,,,,222.979,0.34700000000000003,0.231,38903.0
2020-03-26,2369,439,5,2,,,,273.698,0.578,0.231,44458.0
