Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-12,1,1,0,0,,,,0.038,0.0,0.0,
2020-03-15,4,3,0,0,,,,0.152,0.0,0.0,
2020-03-16,4,0,0,0,,,,0.152,0.0,0.0,
2020-03-17,5,1,0,0,,,,0.19,0.0,0.0,
2020-03-18,5,0,0,0,,,,0.19,0.0,0.0,
2020-03-19,6,1,0,0,,,,0.22699999999999998,0.0,0.0,
2020-03-20,9,3,0,0,,,,0.341,0.0,0.0,
2020-03-21,14,5,0,0,,,,0.531,0.0,0.0,
2020-03-22,17,3,0,0,,,,0.644,0.0,0.0,
2020-03-23,25,8,0,0,,,,0.948,0.0,0.0,
2020-03-24,25,0,0,0,,,,0.948,0.0,0.0,
2020-03-25,73,48,0,0,,,,2.767,0.0,0.0,
2020-03-26,80,7,0,0,,,,3.033,0.0,0.0,
2020-03-27,96,16,0,0,,,,3.639,0.0,0.0,
2020-03-28,101,5,0,0,,,,3.8289999999999997,0.0,0.0,
2020-03-29,140,39,0,0,,,,5.307,0.0,0.0,
2020-03-30,165,25,1,1,,,,6.255,0.038,0.038,
2020-03-31,168,3,1,0,,,,6.369,0.038,0.0,
2020-04-01,168,0,1,0,,,,6.369,0.038,0.0,
2020-04-02,190,22,1,0,,,,7.202999999999999,0.038,0.0,
2020-04-03,194,4,1,0,,,,7.355,0.038,0.0,
2020-04-04,218,24,1,0,,,,8.264,0.038,0.0,
2020-04-05,245,27,2,1,,,,9.288,0.076,0.038,
2020-04-06,261,16,3,1,,,,9.895,0.114,0.038,
2020-04-07,323,62,3,0,,,,12.245,0.114,0.0,
2020-04-08,349,26,3,0,,,,13.231,0.114,0.0,
2020-04-09,384,35,3,0,,,,14.557,0.114,0.0,
2020-04-10,444,60,3,0,,,,16.832,0.114,0.0,
2020-04-11,480,36,3,0,,,,18.197,0.114,0.0,
2020-04-12,533,53,4,1,,,,20.206,0.152,0.038,
2020-04-13,574,41,5,1,,,,21.76,0.19,0.038,
2020-04-14,626,52,6,1,,,,23.732,0.22699999999999998,0.038,
2020-04-15,626,0,6,0,,,,23.732,0.22699999999999998,0.0,
2020-04-16,654,28,6,0,,,,24.793000000000003,0.22699999999999998,0.0,
2020-04-17,688,34,6,0,,,,26.081999999999997,0.22699999999999998,0.0,
2020-04-18,742,54,6,0,,,,28.129,0.22699999999999998,0.0,
2020-04-19,801,59,8,2,,,,30.366,0.303,0.076,
2020-04-20,847,46,9,1,,,,32.11,0.341,0.038,
2020-04-21,879,32,10,1,,,,33.323,0.379,0.038,
2020-04-22,916,37,13,3,,,,34.726,0.493,0.114,
2020-04-23,952,36,14,1,,,,36.09,0.531,0.038,
2020-04-24,1004,52,14,0,,,,38.062,0.531,0.0,
2020-04-25,1077,73,14,0,,,,40.829,0.531,0.0,
2020-04-26,1111,34,14,0,,,,42.118,0.531,0.0,
2020-04-27,1150,39,14,0,,,,43.596000000000004,0.531,0.0,
2020-04-28,1164,14,14,0,,,,44.126999999999995,0.531,0.0,
2020-04-29,1183,19,14,0,,,,44.848,0.531,0.0,
