Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-12,2,2,0,0,,,,0.675,0.0,0.0,
2020-03-13,6,4,0,0,,,,2.026,0.0,0.0,
2020-03-14,8,2,0,0,,,,2.702,0.0,0.0,
2020-03-16,10,2,0,0,,,,3.377,0.0,0.0,
2020-03-17,10,0,0,0,,,,3.377,0.0,0.0,
2020-03-18,13,3,0,0,,,,4.39,0.0,0.0,
2020-03-19,15,2,0,0,,,,5.066,0.0,0.0,
2020-03-20,16,1,0,0,,,,5.403,0.0,0.0,
2020-03-21,19,3,0,0,,,,6.416,0.0,0.0,
2020-03-22,19,0,0,0,,,,6.416,0.0,0.0,
2020-03-23,19,0,0,0,,,,6.416,0.0,0.0,
2020-03-24,19,0,0,0,,,,6.416,0.0,0.0,
2020-03-25,21,2,1,1,,,,7.0920000000000005,0.33799999999999997,0.33799999999999997,
2020-03-26,25,4,1,0,,,,8.443,0.33799999999999997,0.0,
2020-03-27,26,1,1,0,,,,8.78,0.33799999999999997,0.0,
2020-03-28,26,0,1,0,,,,8.78,0.33799999999999997,0.0,
2020-03-29,32,6,1,0,,,,10.807,0.33799999999999997,0.0,
2020-03-30,34,2,1,0,,,,11.482000000000001,0.33799999999999997,0.0,
2020-03-31,38,4,1,0,,,,12.833,0.33799999999999997,0.0,
2020-04-01,38,0,1,0,,,,12.833,0.33799999999999997,0.0,
2020-04-02,44,6,3,2,,,,14.859000000000002,1.013,0.675,
2020-04-03,47,3,3,0,,,,15.872,1.013,0.0,
2020-04-04,53,6,3,0,,,,17.898,1.013,0.0,
2020-04-05,55,2,3,0,,,,18.574,1.013,0.0,
2020-04-06,58,3,3,0,,,,19.587,1.013,0.0,
2020-04-07,59,1,3,0,,,,19.925,1.013,0.0,
2020-04-08,63,4,3,0,,,,21.275,1.013,0.0,
2020-04-09,63,0,4,1,,,,21.275,1.351,0.33799999999999997,
2020-04-10,63,0,4,0,,,,21.275,1.351,0.0,
2020-04-11,65,2,4,0,,,,21.951,1.351,0.0,
2020-04-12,69,4,4,0,,,,23.302,1.351,0.0,
2020-04-13,72,3,4,0,,,,24.315,1.351,0.0,
2020-04-14,73,1,4,0,,,,24.651999999999997,1.351,0.0,
2020-04-15,105,32,5,1,,,,35.459,1.689,0.33799999999999997,
2020-04-16,125,20,5,0,,,,42.213,1.689,0.0,
2020-04-17,143,18,5,0,,,,48.292,1.689,0.0,
2020-04-18,163,20,5,0,,,,55.04600000000001,1.689,0.0,
2020-04-19,173,10,5,0,,,,58.423,1.689,0.0,
2020-04-20,196,23,5,0,,,,66.19,1.689,0.0,
2020-04-21,223,27,6,1,,,,75.308,2.026,0.33799999999999997,
2020-04-22,233,10,6,0,,,,78.685,2.026,0.0,
2020-04-23,252,19,6,0,,,,85.102,2.026,0.0,
2020-04-24,252,0,6,0,,,,85.102,2.026,0.0,
2020-04-25,288,36,7,1,,,,97.259,2.364,0.33799999999999997,
2020-04-26,305,17,7,0,,,,103.0,2.364,0.0,
2020-04-27,350,45,7,0,,,,118.197,2.364,0.0,
2020-04-28,364,14,7,0,,,,122.925,2.364,0.0,
2020-04-29,381,17,7,0,,,,128.666,2.364,0.0,
