Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-12,Jamaica,2,2,0,0,,,,0.675,0.0,0.0,,
2020-03-13,Jamaica,6,4,0,0,,,,2.026,0.0,0.0,,
2020-03-14,Jamaica,8,2,0,0,,,,2.702,0.0,0.0,,
2020-03-16,Jamaica,10,2,0,0,,,,3.377,0.0,0.0,,
2020-03-17,Jamaica,10,0,0,0,,,,3.377,0.0,0.0,,
2020-03-18,Jamaica,13,3,0,0,,,,4.39,0.0,0.0,,
2020-03-19,Jamaica,15,2,0,0,,,,5.066,0.0,0.0,,
2020-03-20,Jamaica,16,1,0,0,,,,5.403,0.0,0.0,,
2020-03-21,Jamaica,19,3,0,0,,,,6.416,0.0,0.0,,
2020-03-22,Jamaica,19,0,0,0,,,,6.416,0.0,0.0,,
2020-03-23,Jamaica,19,0,0,0,,,,6.416,0.0,0.0,,
2020-03-24,Jamaica,19,0,0,0,,,,6.416,0.0,0.0,,
2020-03-25,Jamaica,21,2,1,1,,,,7.0920000000000005,0.33799999999999997,0.33799999999999997,,
2020-03-26,Jamaica,25,4,1,0,,,,8.443,0.33799999999999997,0.0,,
2020-03-27,Jamaica,26,1,1,0,,,,8.78,0.33799999999999997,0.0,,
2020-03-28,Jamaica,26,0,1,0,,,,8.78,0.33799999999999997,0.0,,
2020-03-29,Jamaica,32,6,1,0,,,,10.807,0.33799999999999997,0.0,,
2020-03-30,Jamaica,34,2,1,0,,,,11.482000000000001,0.33799999999999997,0.0,,
2020-03-31,Jamaica,38,4,1,0,,,,12.833,0.33799999999999997,0.0,,
2020-04-01,Jamaica,38,0,1,0,,,,12.833,0.33799999999999997,0.0,,
2020-04-02,Jamaica,44,6,3,2,,,,14.859000000000002,1.013,0.675,,
2020-04-03,Jamaica,47,3,3,0,,,,15.872,1.013,0.0,,
2020-04-04,Jamaica,53,6,3,0,,,,17.898,1.013,0.0,,
2020-04-05,Jamaica,55,2,3,0,,,,18.574,1.013,0.0,,
2020-04-06,Jamaica,58,3,3,0,,,,19.587,1.013,0.0,,
2020-04-07,Jamaica,59,1,3,0,,,,19.925,1.013,0.0,,
2020-04-08,Jamaica,63,4,3,0,,,,21.275,1.013,0.0,,
2020-04-09,Jamaica,63,0,4,1,,,,21.275,1.351,0.33799999999999997,,
2020-04-10,Jamaica,63,0,4,0,,,,21.275,1.351,0.0,,
2020-04-11,Jamaica,65,2,4,0,,,,21.951,1.351,0.0,,
2020-04-12,Jamaica,69,4,4,0,,,,23.302,1.351,0.0,,
2020-04-13,Jamaica,72,3,4,0,,,,24.315,1.351,0.0,,
2020-04-14,Jamaica,73,1,4,0,,,,24.651999999999997,1.351,0.0,,
2020-04-15,Jamaica,105,32,5,1,,,,35.459,1.689,0.33799999999999997,,
2020-04-16,Jamaica,125,20,5,0,,,,42.213,1.689,0.0,,
2020-04-17,Jamaica,143,18,5,0,,,,48.292,1.689,0.0,,
2020-04-18,Jamaica,163,20,5,0,,,,55.04600000000001,1.689,0.0,,
2020-04-19,Jamaica,173,10,5,0,,,,58.423,1.689,0.0,,
2020-04-20,Jamaica,196,23,5,0,,,,66.19,1.689,0.0,,
2020-04-21,Jamaica,223,27,6,1,,,,75.308,2.026,0.33799999999999997,,
