Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-13,0,0,0,0,,,,,,,126.0
2020-03-14,0,0,0,0,,,,,,,445.0
2020-03-15,6,6,0,0,,,,0.32,0.0,0.0,652.0
2020-03-16,9,3,0,0,,,,0.479,0.0,0.0,1038.0
2020-03-17,11,2,0,0,,,,0.586,0.0,0.0,1970.0
2020-03-18,33,22,0,0,,,,1.757,0.0,0.0,2234.0
2020-03-19,37,4,0,0,,,,1.9709999999999999,0.0,0.0,3284.0
2020-03-20,49,12,0,0,,,,2.61,0.0,0.0,4100.0
2020-03-21,53,4,0,0,,,,2.823,0.0,0.0,5275.0
2020-03-22,56,3,0,0,,,,2.9819999999999998,0.0,0.0,6508.0
2020-03-23,60,4,0,0,,,,3.195,0.0,0.0,8262.0
2020-03-24,62,2,0,0,,,,3.302,0.0,0.0,9884.0
2020-03-25,79,17,0,0,,,,4.207,0.0,0.0,11349.0
2020-03-26,88,9,0,0,,,,4.687,0.0,0.0,13460.0
2020-03-27,120,32,0,0,,,,6.391,0.0,0.0,15147.0
2020-03-28,193,73,0,0,,,,10.279000000000002,0.0,0.0,16622.0
2020-03-29,229,36,0,0,,,,12.196,0.0,0.0,19318.0
2020-03-30,284,55,1,1,,,,15.125,0.053,0.053,21013.0
2020-03-31,325,41,1,0,,,,17.309,0.053,0.0,30905.0
2020-04-01,340,15,1,0,,,,18.108,0.053,0.0,32819.0
2020-04-02,348,8,2,1,,,,18.534000000000002,0.107,0.053,35191.0
2020-04-03,386,38,3,1,,,,20.557,0.16,0.053,43149.0
2020-04-04,460,74,3,0,,,,24.498,0.16,0.0,45552.0
2020-04-05,460,0,3,0,,,,24.498,0.16,0.0,50522.0
2020-04-06,531,71,5,2,,,,28.28,0.266,0.107,52881.0
2020-04-07,670,139,6,1,,,,35.683,0.32,0.053,54767.0
2020-04-08,704,34,6,0,,,,37.493,0.32,0.0,56775.0
2020-04-09,759,55,7,1,,,,40.422,0.373,0.053,59371.0
2020-04-10,802,43,9,2,,,,42.711999999999996,0.479,0.107,61955.0
2020-04-11,840,38,10,1,,,,44.736000000000004,0.5329999999999999,0.053,65856.0
2020-04-12,880,40,10,0,,,,46.867,0.5329999999999999,0.0,69304.0
2020-04-13,961,81,10,0,,,,51.18,0.5329999999999999,0.0,73106.0
2020-04-14,1179,218,14,4,,,,62.791000000000004,0.746,0.213,76904.0
2020-04-15,1267,88,14,0,,,,67.477,0.746,0.0,81359.0
2020-04-16,1331,64,16,2,,,,70.88600000000001,0.852,0.107,85735.0
2020-04-17,1470,139,17,1,,,,78.288,0.905,0.053,92299.0
2020-04-18,1591,121,17,0,,,,84.73299999999999,0.905,0.0,100878.0
2020-04-19,1654,63,17,0,,,,88.088,0.905,0.0,108832.0
2020-04-20,1735,81,19,2,,,,92.402,1.012,0.107,117949.0
2020-04-21,1949,214,19,0,,,,103.79899999999999,1.012,0.0,126727.0
2020-04-22,2025,76,19,0,,,,107.846,1.012,0.0,139207.0
2020-04-23,2191,166,19,0,,,,116.68700000000001,1.012,0.0,153492.0
2020-04-24,2334,143,22,3,,,,124.303,1.172,0.16,164505.0
2020-04-25,2482,148,25,3,,,,132.185,1.331,0.16,180502.0
2020-04-26,2652,170,25,0,,,,141.239,1.331,0.0,196298.0
2020-04-27,2717,65,25,0,,,,144.701,1.331,0.0,205560.0
2020-04-28,2860,143,25,0,,,,152.316,1.331,0.0,216276.0
2020-04-29,3063,203,25,0,,,,163.128,1.331,0.0,232415.0
