Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-15,Kazakhstan,6,6,0,0,,,,0.32,0.0,0.0,,
2020-03-16,Kazakhstan,9,3,0,0,,,,0.479,0.0,0.0,,
2020-03-17,Kazakhstan,11,2,0,0,,,,0.586,0.0,0.0,,
2020-03-18,Kazakhstan,33,22,0,0,,,,1.757,0.0,0.0,,
2020-03-19,Kazakhstan,37,4,0,0,,,,1.9709999999999999,0.0,0.0,,
2020-03-20,Kazakhstan,49,12,0,0,,,,2.61,0.0,0.0,,
2020-03-21,Kazakhstan,53,4,0,0,,,,2.823,0.0,0.0,,
2020-03-22,Kazakhstan,56,3,0,0,,,,2.9819999999999998,0.0,0.0,,
2020-03-23,Kazakhstan,60,4,0,0,,,,3.195,0.0,0.0,,
2020-03-24,Kazakhstan,62,2,0,0,,,,3.302,0.0,0.0,,
2020-03-25,Kazakhstan,79,17,0,0,,,,4.207,0.0,0.0,,
2020-03-26,Kazakhstan,88,9,0,0,,,,4.687,0.0,0.0,,
2020-03-27,Kazakhstan,120,32,0,0,,,,6.391,0.0,0.0,,
2020-03-28,Kazakhstan,193,73,0,0,,,,10.279000000000002,0.0,0.0,,
2020-03-29,Kazakhstan,229,36,0,0,,,,12.196,0.0,0.0,,
2020-03-30,Kazakhstan,284,55,1,1,,,,15.125,0.053,0.053,,
2020-03-31,Kazakhstan,325,41,1,0,,,,17.309,0.053,0.0,,
2020-04-01,Kazakhstan,340,15,1,0,,,,18.108,0.053,0.0,,
2020-04-02,Kazakhstan,348,8,2,1,,,,18.534000000000002,0.107,0.053,,
2020-04-03,Kazakhstan,386,38,3,1,,,,20.557,0.16,0.053,,
2020-04-04,Kazakhstan,460,74,3,0,,,,24.498,0.16,0.0,,
2020-04-05,Kazakhstan,460,0,3,0,,,,24.498,0.16,0.0,,
2020-04-06,Kazakhstan,531,71,5,2,,,,28.28,0.266,0.107,,
2020-04-07,Kazakhstan,670,139,6,1,,,,35.683,0.32,0.053,,
2020-04-08,Kazakhstan,704,34,6,0,,,,37.493,0.32,0.0,,
2020-04-09,Kazakhstan,759,55,7,1,,,,40.422,0.373,0.053,,
2020-04-10,Kazakhstan,802,43,9,2,,,,42.711999999999996,0.479,0.107,,
2020-04-11,Kazakhstan,840,38,10,1,,,,44.736000000000004,0.5329999999999999,0.053,,
2020-04-12,Kazakhstan,880,40,10,0,,,,46.867,0.5329999999999999,0.0,,
2020-04-13,Kazakhstan,961,81,10,0,,,,51.18,0.5329999999999999,0.0,,
2020-04-14,Kazakhstan,1179,218,14,4,,,,62.791000000000004,0.746,0.213,,
2020-04-15,Kazakhstan,1267,88,14,0,,,,67.477,0.746,0.0,,
2020-04-16,Kazakhstan,1331,64,16,2,,,,70.88600000000001,0.852,0.107,,
2020-04-17,Kazakhstan,1470,139,17,1,,,,78.288,0.905,0.053,,
2020-04-18,Kazakhstan,1591,121,17,0,,,,84.73299999999999,0.905,0.0,,
2020-04-19,Kazakhstan,1654,63,17,0,,,,88.088,0.905,0.0,,
2020-04-20,Kazakhstan,1735,81,19,2,,,,92.402,1.012,0.107,,
2020-04-21,Kazakhstan,1949,214,19,0,,,,103.79899999999999,1.012,0.0,,
