Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-06,0,0,0,0,,,,,,,31.0
2020-03-14,1,1,0,0,,,,0.019,0.0,0.0,
2020-03-15,1,0,0,0,,,,0.019,0.0,0.0,
2020-03-16,3,2,0,0,,,,0.055999999999999994,0.0,0.0,
2020-03-17,3,0,0,0,,,,0.055999999999999994,0.0,0.0,111.0
2020-03-18,4,1,0,0,,,,0.07400000000000001,0.0,0.0,132.0
2020-03-19,7,3,0,0,,,,0.13,0.0,0.0,173.0
2020-03-20,7,0,0,0,,,,0.13,0.0,0.0,
2020-03-21,7,0,0,0,,,,0.13,0.0,0.0,
2020-03-22,7,0,0,0,,,,0.13,0.0,0.0,
2020-03-23,15,8,0,0,,,,0.27899999999999997,0.0,0.0,
2020-03-24,16,1,0,0,,,,0.298,0.0,0.0,
2020-03-25,25,9,0,0,,,,0.465,0.0,0.0,
2020-03-26,25,0,0,0,,,,0.465,0.0,0.0,600.0
2020-03-27,31,6,1,1,,,,0.5770000000000001,0.019,0.019,
2020-03-28,31,0,1,0,,,,0.5770000000000001,0.019,0.0,833.0
2020-03-29,38,7,1,0,,,,0.7070000000000001,0.019,0.0,902.0
2020-03-30,42,4,1,0,,,,0.7809999999999999,0.019,0.0,1074.0
2020-03-31,50,8,1,0,,,,0.93,0.019,0.0,1308.0
2020-04-01,59,9,1,0,,,,1.097,0.019,0.0,1688.0
2020-04-02,81,22,1,0,,,,1.506,0.019,0.0,2350.0
2020-04-03,110,29,3,2,,,,2.046,0.055999999999999994,0.037000000000000005,2712.0
2020-04-04,122,12,4,1,,,,2.269,0.07400000000000001,0.019,3084.0
2020-04-05,126,4,4,0,,,,2.343,0.07400000000000001,0.0,3614.0
2020-04-06,142,16,4,0,,,,2.641,0.07400000000000001,0.0,4277.0
2020-04-07,158,16,4,0,,,,2.938,0.07400000000000001,0.0,4973.0
2020-04-08,172,14,6,2,,,,3.199,0.11199999999999999,0.037000000000000005,5278.0
2020-04-09,179,7,6,0,,,,3.3289999999999997,0.11199999999999999,0.0,5586.0
2020-04-10,184,5,7,1,,,,3.4219999999999997,0.13,0.019,6192.0
2020-04-11,189,5,7,0,,,,3.515,0.13,0.0,6683.0
2020-04-12,191,2,7,0,,,,3.552,0.13,0.0,7449.0
2020-04-13,197,6,8,1,,,,3.6639999999999997,0.149,0.019,8123.0
2020-04-14,208,11,9,1,,,,3.8680000000000003,0.16699999999999998,0.019,8817.0
2020-04-15,216,8,9,0,,,,4.0169999999999995,0.16699999999999998,0.0,9620.0
2020-04-16,225,9,10,1,,,,4.184,0.18600000000000003,0.019,10324.0
2020-04-17,234,9,11,1,,,,4.352,0.205,0.019,10774.0
2020-04-18,246,12,11,0,,,,4.575,0.205,0.0,11889.0
2020-04-19,262,16,12,1,,,,4.872,0.223,0.019,13239.0
2020-04-20,270,8,14,2,,,,5.021,0.26,0.037000000000000005,13872.0
2020-04-21,281,11,14,0,,,,5.226,0.26,0.0,14704.0
2020-04-22,281,0,14,0,,,,5.226,0.26,0.0,15411.0
2020-04-23,303,22,14,0,,,,5.635,0.26,0.0,16079.0
2020-04-24,320,17,14,0,,,,5.9510000000000005,0.26,0.0,16738.0
2020-04-25,336,16,14,0,,,,6.249,0.26,0.0,
2020-04-26,343,7,14,0,,,,6.379,0.26,0.0,
2020-04-27,355,12,14,0,,,,6.602,0.26,0.0,
2020-04-28,363,8,14,0,,,,6.751,0.26,0.0,17327.0
2020-04-29,374,11,14,0,,,,6.955,0.26,0.0,17835.0
