Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-16,2,2,0,0,,,,1.035,0.0,0.0,
2020-03-17,2,0,0,0,,,,1.035,0.0,0.0,
2020-03-18,19,17,0,0,,,,9.83,0.0,0.0,
2020-03-19,19,0,0,0,,,,9.83,0.0,0.0,
2020-03-20,21,2,0,0,,,,10.865,0.0,0.0,
2020-03-21,24,3,0,0,,,,12.417,0.0,0.0,
2020-03-22,24,0,0,0,,,,12.417,0.0,0.0,
2020-03-23,31,7,1,1,,,,16.039,0.517,0.517,
2020-03-24,61,30,1,0,,,,31.561,0.517,0.0,
2020-03-25,63,2,1,0,,,,32.596,0.517,0.0,
2020-03-26,71,8,1,0,,,,36.735,0.517,0.0,
2020-03-27,79,8,1,0,,,,40.874,0.517,0.0,
2020-03-28,86,7,1,0,,,,44.496,0.517,0.0,
2020-03-29,88,2,1,0,,,,45.53,0.517,0.0,
2020-03-30,91,3,1,0,,,,47.083,0.517,0.0,
2020-03-31,106,15,1,0,,,,54.843,0.517,0.0,
2020-04-01,112,6,1,0,,,,57.948,0.517,0.0,
2020-04-02,112,0,1,0,,,,57.948,0.517,0.0,
2020-04-03,125,13,1,0,,,,64.67399999999999,0.517,0.0,
2020-04-04,126,1,1,0,,,,65.191,0.517,0.0,
2020-04-05,132,6,1,0,,,,68.296,0.517,0.0,
2020-04-06,140,8,1,0,,,,72.435,0.517,0.0,
2020-04-07,145,5,3,2,,,,75.02199999999999,1.5519999999999998,1.035,
2020-04-08,184,39,5,2,,,,95.2,2.5869999999999997,1.035,
2020-04-09,184,0,5,0,,,,95.2,2.5869999999999997,0.0,
2020-04-10,227,43,7,2,,,,117.448,3.622,1.035,
2020-04-11,250,23,7,0,,,,129.34799999999998,3.622,0.0,
2020-04-12,283,33,7,0,,,,146.422,3.622,0.0,
2020-04-13,362,79,7,0,,,,187.296,3.622,0.0,
2020-04-14,377,15,8,1,,,,195.05599999999998,4.138999999999999,0.517,
2020-04-15,387,10,8,0,,,,200.23,4.138999999999999,0.0,
2020-04-16,423,36,9,1,,,,218.856,4.657,0.517,
2020-04-17,449,26,11,2,,,,232.30900000000003,5.691,1.035,
2020-04-18,480,31,12,1,,,,248.34799999999998,6.209,0.517,
2020-04-19,510,30,12,0,,,,263.869,6.209,0.0,
2020-04-20,510,0,12,0,,,,263.869,6.209,0.0,
2020-04-21,598,88,15,3,,,,309.4,7.761,1.5519999999999998,
2020-04-22,604,6,18,3,,,,312.504,9.312999999999999,1.5519999999999998,
2020-04-23,630,26,18,0,,,,325.95599999999996,9.312999999999999,0.0,
2020-04-24,669,39,19,1,,,,346.135,9.83,0.517,
2020-04-25,703,34,19,0,,,,363.726,9.83,0.0,
2020-04-26,731,28,20,1,,,,378.213,10.347999999999999,0.517,
2020-04-27,763,32,21,1,,,,394.769,10.865,0.517,
2020-04-28,780,17,22,1,,,,403.565,11.383,0.517,
2020-04-29,790,10,22,0,,,,408.73900000000003,11.383,0.0,
