Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-19,Kyrgyzstan,3,3,0,0,,,,0.46,0.0,0.0,,
2020-03-20,Kyrgyzstan,6,3,0,0,,,,0.92,0.0,0.0,,
2020-03-21,Kyrgyzstan,6,0,0,0,,,,0.92,0.0,0.0,,
2020-03-22,Kyrgyzstan,14,8,0,0,,,,2.146,0.0,0.0,,
2020-03-23,Kyrgyzstan,14,0,0,0,,,,2.146,0.0,0.0,,
2020-03-24,Kyrgyzstan,16,2,0,0,,,,2.452,0.0,0.0,,
2020-03-25,Kyrgyzstan,42,26,0,0,,,,6.438,0.0,0.0,,
2020-03-26,Kyrgyzstan,44,2,0,0,,,,6.744,0.0,0.0,,
2020-03-27,Kyrgyzstan,44,0,0,0,,,,6.744,0.0,0.0,,
2020-03-28,Kyrgyzstan,58,14,0,0,,,,8.89,0.0,0.0,,
2020-03-29,Kyrgyzstan,84,26,0,0,,,,12.875,0.0,0.0,,
2020-03-30,Kyrgyzstan,84,0,0,0,,,,12.875,0.0,0.0,,
2020-03-31,Kyrgyzstan,84,0,0,0,,,,12.875,0.0,0.0,,
2020-04-01,Kyrgyzstan,107,23,0,0,,,,16.401,0.0,0.0,,
2020-04-02,Kyrgyzstan,112,5,1,1,,,,17.167,0.153,0.153,,
2020-04-03,Kyrgyzstan,125,13,1,0,,,,19.159000000000002,0.153,0.0,,
2020-04-04,Kyrgyzstan,144,19,1,0,,,,22.072,0.153,0.0,,
2020-04-05,Kyrgyzstan,144,0,1,0,,,,22.072,0.153,0.0,,
2020-04-06,Kyrgyzstan,216,72,4,3,,,,33.108000000000004,0.613,0.46,,
2020-04-07,Kyrgyzstan,228,12,4,0,,,,34.946999999999996,0.613,0.0,,
2020-04-08,Kyrgyzstan,270,42,4,0,,,,41.38399999999999,0.613,0.0,,
2020-04-09,Kyrgyzstan,280,10,4,0,,,,42.917,0.613,0.0,,
2020-04-10,Kyrgyzstan,298,18,5,1,,,,45.676,0.7659999999999999,0.153,,
2020-04-11,Kyrgyzstan,339,41,5,0,,,,51.96,0.7659999999999999,0.0,,
2020-04-12,Kyrgyzstan,377,38,5,0,,,,57.785,0.7659999999999999,0.0,,
2020-04-13,Kyrgyzstan,419,42,5,0,,,,64.223,0.7659999999999999,0.0,,
2020-04-14,Kyrgyzstan,430,11,5,0,,,,65.90899999999999,0.7659999999999999,0.0,,
2020-04-15,Kyrgyzstan,449,19,5,0,,,,68.821,0.7659999999999999,0.0,,
2020-04-16,Kyrgyzstan,466,17,5,0,,,,71.426,0.7659999999999999,0.0,,
2020-04-17,Kyrgyzstan,489,23,5,0,,,,74.952,0.7659999999999999,0.0,,
2020-04-18,Kyrgyzstan,506,17,5,0,,,,77.558,0.7659999999999999,0.0,,
2020-04-19,Kyrgyzstan,554,48,5,0,,,,84.915,0.7659999999999999,0.0,,
2020-04-20,Kyrgyzstan,568,14,7,2,,,,87.061,1.073,0.307,,
2020-04-21,Kyrgyzstan,590,22,7,0,,,,90.43299999999999,1.073,0.0,,
