Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-25,2,2,0,0,,,,0.275,0.0,0.0,
2020-03-26,2,0,0,0,,,,0.275,0.0,0.0,
2020-03-27,6,4,0,0,,,,0.825,0.0,0.0,
2020-03-28,6,0,0,0,,,,0.825,0.0,0.0,
2020-03-29,6,0,0,0,,,,0.825,0.0,0.0,
2020-03-30,6,0,0,0,,,,0.825,0.0,0.0,
2020-03-31,9,3,0,0,,,,1.237,0.0,0.0,
2020-04-01,9,0,0,0,,,,1.237,0.0,0.0,
2020-04-02,10,1,0,0,,,,1.374,0.0,0.0,
2020-04-03,10,0,0,0,,,,1.374,0.0,0.0,
2020-04-04,10,0,0,0,,,,1.374,0.0,0.0,
2020-04-05,10,0,0,0,,,,1.374,0.0,0.0,
2020-04-06,11,1,0,0,,,,1.5119999999999998,0.0,0.0,
2020-04-07,12,1,0,0,,,,1.649,0.0,0.0,
2020-04-08,12,0,0,0,,,,1.649,0.0,0.0,
2020-04-09,15,3,0,0,,,,2.062,0.0,0.0,
2020-04-10,16,1,0,0,,,,2.199,0.0,0.0,
2020-04-11,16,0,0,0,,,,2.199,0.0,0.0,
2020-04-12,18,2,0,0,,,,2.474,0.0,0.0,
2020-04-13,19,1,0,0,,,,2.611,0.0,0.0,
2020-04-14,19,0,0,0,,,,2.611,0.0,0.0,
2020-04-15,19,0,0,0,,,,2.611,0.0,0.0,
2020-04-16,19,0,0,0,,,,2.611,0.0,0.0,
2020-04-17,19,0,0,0,,,,2.611,0.0,0.0,
2020-04-18,19,0,0,0,,,,2.611,0.0,0.0,
2020-04-19,19,0,0,0,,,,2.611,0.0,0.0,
2020-04-20,19,0,0,0,,,,2.611,0.0,0.0,
2020-04-21,19,0,0,0,,,,2.611,0.0,0.0,
2020-04-22,19,0,0,0,,,,2.611,0.0,0.0,
2020-04-23,19,0,0,0,,,,2.611,0.0,0.0,
2020-04-24,19,0,0,0,,,,2.611,0.0,0.0,
2020-04-25,19,0,0,0,,,,2.611,0.0,0.0,
2020-04-26,19,0,0,0,,,,2.611,0.0,0.0,
2020-04-27,19,0,0,0,,,,2.611,0.0,0.0,
2020-04-28,19,0,0,0,,,,2.611,0.0,0.0,
2020-04-29,19,0,0,0,,,,2.611,0.0,0.0,
