Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-25,Laos,2,2,0,0,,,,0.275,0.0,0.0,,
2020-03-26,Laos,2,0,0,0,,,,0.275,0.0,0.0,,
2020-03-27,Laos,6,4,0,0,,,,0.825,0.0,0.0,,
2020-03-28,Laos,6,0,0,0,,,,0.825,0.0,0.0,,
2020-03-29,Laos,6,0,0,0,,,,0.825,0.0,0.0,,
2020-03-30,Laos,6,0,0,0,,,,0.825,0.0,0.0,,
2020-03-31,Laos,9,3,0,0,,,,1.237,0.0,0.0,,
2020-04-01,Laos,9,0,0,0,,,,1.237,0.0,0.0,,
2020-04-02,Laos,10,1,0,0,,,,1.374,0.0,0.0,,
2020-04-03,Laos,10,0,0,0,,,,1.374,0.0,0.0,,
2020-04-04,Laos,10,0,0,0,,,,1.374,0.0,0.0,,
2020-04-05,Laos,10,0,0,0,,,,1.374,0.0,0.0,,
2020-04-06,Laos,11,1,0,0,,,,1.5119999999999998,0.0,0.0,,
2020-04-07,Laos,12,1,0,0,,,,1.649,0.0,0.0,,
2020-04-08,Laos,12,0,0,0,,,,1.649,0.0,0.0,,
2020-04-09,Laos,15,3,0,0,,,,2.062,0.0,0.0,,
2020-04-10,Laos,16,1,0,0,,,,2.199,0.0,0.0,,
2020-04-11,Laos,16,0,0,0,,,,2.199,0.0,0.0,,
2020-04-12,Laos,18,2,0,0,,,,2.474,0.0,0.0,,
2020-04-13,Laos,19,1,0,0,,,,2.611,0.0,0.0,,
2020-04-14,Laos,19,0,0,0,,,,2.611,0.0,0.0,,
2020-04-15,Laos,19,0,0,0,,,,2.611,0.0,0.0,,
2020-04-16,Laos,19,0,0,0,,,,2.611,0.0,0.0,,
2020-04-17,Laos,19,0,0,0,,,,2.611,0.0,0.0,,
2020-04-18,Laos,19,0,0,0,,,,2.611,0.0,0.0,,
2020-04-19,Laos,19,0,0,0,,,,2.611,0.0,0.0,,
2020-04-20,Laos,19,0,0,0,,,,2.611,0.0,0.0,,
2020-04-21,Laos,19,0,0,0,,,,2.611,0.0,0.0,,
