Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-02-29,0,0,0,0,,,,,,,116.0
2020-03-01,0,0,0,0,,,,,,,126.0
2020-03-02,0,0,0,0,,,,,,,163.0
2020-03-03,1,1,0,0,,,,0.53,0.0,0.0,204.0
2020-03-04,0,0,0,0,,,,,,,240.0
2020-03-05,0,0,0,0,,,,,,,275.0
2020-03-06,0,0,0,0,,,,,,,307.0
2020-03-07,0,0,0,0,,,,,,,321.0
2020-03-08,2,1,0,0,,,,1.06,0.0,0.0,343.0
2020-03-09,3,1,0,0,,,,1.59,0.0,0.0,391.0
2020-03-10,6,3,0,0,,,,3.181,0.0,0.0,450.0
2020-03-11,8,2,0,0,,,,4.2410000000000005,0.0,0.0,497.0
2020-03-12,10,2,0,0,,,,5.3020000000000005,0.0,0.0,576.0
2020-03-13,16,6,0,0,,,,8.482999999999999,0.0,0.0,703.0
2020-03-14,19,3,0,0,,,,10.073,0.0,0.0,1019.0
2020-03-15,26,7,0,0,,,,13.784,0.0,0.0,1353.0
2020-03-16,31,5,0,0,,,,16.435,0.0,0.0,1704.0
2020-03-17,36,5,0,0,,,,19.086,0.0,0.0,2199.0
2020-03-18,61,25,0,0,,,,32.34,0.0,0.0,2954.0
2020-03-19,71,10,0,0,,,,37.641999999999996,0.0,0.0,3674.0
2020-03-20,86,15,0,0,,,,45.593999999999994,0.0,0.0,4373.0
2020-03-21,111,25,0,0,,,,58.848,0.0,0.0,5762.0
2020-03-22,124,13,0,0,,,,65.741,0.0,0.0,6573.0
2020-03-23,139,15,0,0,,,,73.693,0.0,0.0,7758.0
2020-03-24,180,41,0,0,,,,95.43,0.0,0.0,8645.0
2020-03-25,197,17,0,0,,,,104.443,0.0,0.0,9796.0
2020-03-26,221,24,0,0,,,,117.167,0.0,0.0,10613.0
2020-03-27,244,23,0,0,,,,129.36,0.0,0.0,11702.0
2020-03-28,280,36,0,0,,,,148.446,0.0,0.0,12748.0
2020-03-29,305,25,0,0,,,,161.701,0.0,0.0,13805.0
2020-03-30,376,71,0,0,,,,199.342,0.0,0.0,14307.0
2020-03-31,376,0,0,0,,,,199.342,0.0,0.0,14807.0
2020-04-01,398,22,0,0,,,,211.00599999999997,0.0,0.0,15810.0
2020-04-02,446,48,0,0,,,,236.454,0.0,0.0,16834.0
2020-04-03,458,12,0,0,,,,242.81599999999997,0.0,0.0,18198.0
2020-04-04,493,35,1,1,,,,261.372,0.53,0.53,19380.0
2020-04-05,509,16,1,0,,,,269.85400000000004,0.53,0.0,20680.0
2020-04-06,533,24,1,0,,,,282.578,0.53,0.0,21453.0
2020-04-07,542,9,1,0,,,,287.35,0.53,0.0,22575.0
2020-04-08,548,6,2,1,,,,290.531,1.06,0.53,24036.0
2020-04-09,577,29,2,0,,,,305.906,1.06,0.0,25458.0
2020-04-10,589,12,2,0,,,,312.268,1.06,0.0,26656.0
2020-04-11,612,23,2,0,,,,324.462,1.06,0.0,27796.0
2020-04-12,630,18,3,1,,,,334.005,1.59,0.53,28214.0
2020-04-13,651,21,5,2,,,,345.13800000000003,2.6510000000000002,1.06,28776.0
2020-04-14,655,4,5,0,,,,347.259,2.6510000000000002,0.0,29018.0
2020-04-15,657,2,5,0,,,,348.319,2.6510000000000002,0.0,29896.0
2020-04-16,666,9,5,0,,,,353.09,2.6510000000000002,0.0,31302.0
2020-04-17,675,9,5,0,,,,357.86199999999997,2.6510000000000002,0.0,32837.0
2020-04-18,682,7,5,0,,,,361.57300000000004,2.6510000000000002,0.0,34697.0
2020-04-19,712,30,5,0,,,,377.478,2.6510000000000002,0.0,35881.0
2020-04-20,727,15,5,0,,,,385.431,2.6510000000000002,0.0,36668.0
2020-04-21,739,12,5,0,,,,391.793,2.6510000000000002,0.0,37972.0
2020-04-22,748,9,9,4,,,,396.564,4.771,2.121,39336.0
2020-04-23,761,13,11,2,,,,403.45599999999996,5.832000000000001,1.06,41041.0
2020-04-24,778,17,11,0,,,,412.469,5.832000000000001,0.0,43080.0
2020-04-25,784,6,12,1,,,,415.65,6.362,0.53,45743.0
2020-04-26,804,20,12,0,,,,426.25300000000004,6.362,0.0,47617.0
2020-04-27,812,8,12,0,,,,430.495,6.362,0.0,49181.0
2020-04-28,818,6,13,1,,,,433.676,6.892,0.53,51561.0
2020-04-29,836,18,13,0,,,,443.219,6.892,0.0,54811.0
