Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-28,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-29,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-30,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-22,1,1,0,0,,,,0.147,0.0,0.0,
2020-02-23,1,0,0,0,,,,0.147,0.0,0.0,
2020-02-24,1,0,0,0,,,,0.147,0.0,0.0,
2020-02-25,1,0,0,0,,,,0.147,0.0,0.0,
2020-02-26,1,0,0,0,,,,0.147,0.0,0.0,
2020-02-27,2,1,0,0,,,,0.293,0.0,0.0,
2020-02-28,3,1,0,0,,,,0.44,0.0,0.0,
2020-02-29,3,0,0,0,,,,0.44,0.0,0.0,
2020-03-01,4,1,0,0,,,,0.586,0.0,0.0,
2020-03-02,10,6,0,0,,,,1.465,0.0,0.0,
2020-03-03,13,3,0,0,,,,1.905,0.0,0.0,
2020-03-06,16,3,0,0,,,,2.344,0.0,0.0,
2020-03-07,22,6,0,0,,,,3.2230000000000003,0.0,0.0,
2020-03-09,32,10,0,0,,,,4.688,0.0,0.0,
2020-03-10,41,9,0,0,,,,6.007000000000001,0.0,0.0,
2020-03-11,41,0,1,1,,,,6.007000000000001,0.147,0.147,
2020-03-12,61,20,2,1,,,,8.937000000000001,0.293,0.147,
2020-03-13,66,5,2,0,,,,9.67,0.293,0.0,
2020-03-15,93,27,3,1,,,,13.625,0.44,0.147,
2020-03-16,99,6,3,0,,,,14.505,0.44,0.0,
2020-03-17,120,21,3,0,,,,17.581,0.44,0.0,
2020-03-18,120,0,3,0,,,,17.581,0.44,0.0,
2020-03-19,133,13,4,1,,,,19.486,0.586,0.147,
2020-03-20,149,16,4,0,,,,21.83,0.586,0.0,
2020-03-21,163,14,4,0,,,,23.881,0.586,0.0,
2020-03-22,230,67,4,0,,,,33.696999999999996,0.586,0.0,
2020-03-23,248,18,4,0,,,,36.335,0.586,0.0,
2020-03-24,267,19,4,0,,,,39.118,0.586,0.0,
2020-03-25,304,37,4,0,,,,44.538999999999994,0.586,0.0,
2020-03-26,333,29,4,0,,,,48.788000000000004,0.586,0.0,
2020-03-27,368,35,6,2,,,,53.916000000000004,0.879,0.293,
2020-03-28,391,23,7,1,,,,57.286,1.026,0.147,
2020-03-29,412,21,8,1,,,,60.361999999999995,1.172,0.147,
2020-03-30,438,26,10,2,,,,64.172,1.465,0.293,
2020-03-31,446,8,11,1,,,,65.344,1.6119999999999999,0.147,
2020-04-01,463,17,12,1,,,,67.834,1.758,0.147,
2020-04-02,479,16,12,0,,,,70.179,1.758,0.0,
2020-04-03,494,15,16,4,,,,72.376,2.344,0.586,
