Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-17,Liberia,1,1,0,0,,,,0.198,0.0,0.0,,
2020-03-18,Liberia,2,1,0,0,,,,0.395,0.0,0.0,,
2020-03-19,Liberia,2,0,0,0,,,,0.395,0.0,0.0,,
2020-03-20,Liberia,2,0,0,0,,,,0.395,0.0,0.0,,
2020-03-21,Liberia,2,0,0,0,,,,0.395,0.0,0.0,,
2020-03-22,Liberia,3,1,0,0,,,,0.593,0.0,0.0,,
2020-03-23,Liberia,3,0,0,0,,,,0.593,0.0,0.0,,
2020-03-24,Liberia,3,0,0,0,,,,0.593,0.0,0.0,,
2020-03-25,Liberia,3,0,0,0,,,,0.593,0.0,0.0,,
2020-03-26,Liberia,3,0,0,0,,,,0.593,0.0,0.0,,
2020-03-27,Liberia,3,0,0,0,,,,0.593,0.0,0.0,,
2020-03-28,Liberia,3,0,0,0,,,,0.593,0.0,0.0,,
2020-03-29,Liberia,3,0,0,0,,,,0.593,0.0,0.0,,
2020-03-30,Liberia,3,0,0,0,,,,0.593,0.0,0.0,,
2020-03-31,Liberia,3,0,0,0,,,,0.593,0.0,0.0,,
2020-04-01,Liberia,3,0,0,0,,,,0.593,0.0,0.0,,
2020-04-02,Liberia,6,3,0,0,,,,1.186,0.0,0.0,,
2020-04-03,Liberia,6,0,0,0,,,,1.186,0.0,0.0,,
2020-04-04,Liberia,7,1,0,0,,,,1.3840000000000001,0.0,0.0,,
2020-04-05,Liberia,10,3,1,1,,,,1.9769999999999999,0.198,0.198,,
2020-04-06,Liberia,13,3,3,2,,,,2.57,0.593,0.395,,
2020-04-07,Liberia,14,1,3,0,,,,2.7680000000000002,0.593,0.0,,
2020-04-08,Liberia,14,0,3,0,,,,2.7680000000000002,0.593,0.0,,
2020-04-09,Liberia,31,17,4,1,,,,6.129,0.7909999999999999,0.198,,
2020-04-10,Liberia,31,0,4,0,,,,6.129,0.7909999999999999,0.0,,
2020-04-11,Liberia,37,6,4,0,,,,7.316,0.7909999999999999,0.0,,
2020-04-12,Liberia,48,11,5,1,,,,9.491,0.9890000000000001,0.198,,
2020-04-13,Liberia,50,2,5,0,,,,9.886000000000001,0.9890000000000001,0.0,,
2020-04-14,Liberia,59,9,6,1,,,,11.665,1.186,0.198,,
2020-04-15,Liberia,59,0,6,0,,,,11.665,1.186,0.0,,
2020-04-16,Liberia,59,0,6,0,,,,11.665,1.186,0.0,,
2020-04-17,Liberia,73,14,6,0,,,,14.434000000000001,1.186,0.0,,
2020-04-18,Liberia,76,3,7,1,,,,15.027000000000001,1.3840000000000001,0.198,,
2020-04-19,Liberia,81,5,7,0,,,,16.015,1.3840000000000001,0.0,,
2020-04-20,Liberia,91,10,8,1,,,,17.992,1.5819999999999999,0.198,,
2020-04-21,Liberia,99,8,8,0,,,,19.574,1.5819999999999999,0.0,,
