Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-25,1,1,0,0,,,,0.146,0.0,0.0,
2020-03-26,1,0,0,0,,,,0.146,0.0,0.0,
2020-03-27,1,0,0,0,,,,0.146,0.0,0.0,
2020-03-28,1,0,0,0,,,,0.146,0.0,0.0,
2020-03-29,1,0,0,0,,,,0.146,0.0,0.0,
2020-03-30,8,7,0,0,,,,1.1640000000000001,0.0,0.0,
2020-03-31,8,0,0,0,,,,1.1640000000000001,0.0,0.0,
2020-04-01,10,2,0,0,,,,1.455,0.0,0.0,
2020-04-02,10,0,0,0,,,,1.455,0.0,0.0,
2020-04-03,11,1,1,1,,,,1.601,0.146,0.146,
2020-04-04,11,0,1,0,,,,1.601,0.146,0.0,
2020-04-05,18,7,1,0,,,,2.62,0.146,0.0,
2020-04-06,18,0,1,0,,,,2.62,0.146,0.0,
2020-04-07,18,0,1,0,,,,2.62,0.146,0.0,
2020-04-08,19,1,1,0,,,,2.765,0.146,0.0,
2020-04-09,21,2,1,0,,,,3.056,0.146,0.0,
2020-04-10,24,3,1,0,,,,3.4930000000000003,0.146,0.0,
2020-04-11,24,0,1,0,,,,3.4930000000000003,0.146,0.0,
2020-04-12,25,1,1,0,,,,3.638,0.146,0.0,
2020-04-13,25,0,1,0,,,,3.638,0.146,0.0,
2020-04-14,26,1,1,0,,,,3.784,0.146,0.0,
2020-04-15,35,9,1,0,,,,5.093999999999999,0.146,0.0,
2020-04-16,48,13,1,0,,,,6.986000000000001,0.146,0.0,
2020-04-17,49,1,1,0,,,,7.131,0.146,0.0,
2020-04-18,49,0,1,0,,,,7.131,0.146,0.0,
2020-04-19,49,0,1,0,,,,7.131,0.146,0.0,
2020-04-20,49,0,1,0,,,,7.131,0.146,0.0,
2020-04-21,51,2,1,0,,,,7.422000000000001,0.146,0.0,
2020-04-22,51,0,1,0,,,,7.422000000000001,0.146,0.0,
2020-04-23,59,8,1,0,,,,8.586,0.146,0.0,
2020-04-24,60,1,2,1,,,,8.732000000000001,0.29100000000000004,0.146,
2020-04-25,61,1,2,0,,,,8.878,0.29100000000000004,0.0,
2020-04-26,61,0,2,0,,,,8.878,0.29100000000000004,0.0,
2020-04-27,61,0,2,0,,,,8.878,0.29100000000000004,0.0,
2020-04-28,61,0,2,0,,,,8.878,0.29100000000000004,0.0,
2020-04-29,61,0,2,0,,,,8.878,0.29100000000000004,0.0,
