Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-25,Libya,1,1,0,0,,,,0.146,0.0,0.0,,
2020-03-26,Libya,1,0,0,0,,,,0.146,0.0,0.0,,
2020-03-27,Libya,1,0,0,0,,,,0.146,0.0,0.0,,
2020-03-28,Libya,1,0,0,0,,,,0.146,0.0,0.0,,
2020-03-29,Libya,1,0,0,0,,,,0.146,0.0,0.0,,
2020-03-30,Libya,8,7,0,0,,,,1.1640000000000001,0.0,0.0,,
2020-03-31,Libya,8,0,0,0,,,,1.1640000000000001,0.0,0.0,,
2020-04-01,Libya,10,2,0,0,,,,1.455,0.0,0.0,,
2020-04-02,Libya,10,0,0,0,,,,1.455,0.0,0.0,,
2020-04-03,Libya,11,1,1,1,,,,1.601,0.146,0.146,,
2020-04-04,Libya,11,0,1,0,,,,1.601,0.146,0.0,,
2020-04-05,Libya,18,7,1,0,,,,2.62,0.146,0.0,,
2020-04-06,Libya,18,0,1,0,,,,2.62,0.146,0.0,,
2020-04-07,Libya,18,0,1,0,,,,2.62,0.146,0.0,,
2020-04-08,Libya,19,1,1,0,,,,2.765,0.146,0.0,,
2020-04-09,Libya,21,2,1,0,,,,3.056,0.146,0.0,,
2020-04-10,Libya,24,3,1,0,,,,3.4930000000000003,0.146,0.0,,
2020-04-11,Libya,24,0,1,0,,,,3.4930000000000003,0.146,0.0,,
2020-04-12,Libya,25,1,1,0,,,,3.638,0.146,0.0,,
2020-04-13,Libya,25,0,1,0,,,,3.638,0.146,0.0,,
2020-04-14,Libya,26,1,1,0,,,,3.784,0.146,0.0,,
2020-04-15,Libya,35,9,1,0,,,,5.093999999999999,0.146,0.0,,
2020-04-16,Libya,48,13,1,0,,,,6.986000000000001,0.146,0.0,,
2020-04-17,Libya,49,1,1,0,,,,7.131,0.146,0.0,,
2020-04-18,Libya,49,0,1,0,,,,7.131,0.146,0.0,,
2020-04-19,Libya,49,0,1,0,,,,7.131,0.146,0.0,,
2020-04-20,Libya,49,0,1,0,,,,7.131,0.146,0.0,,
2020-04-21,Libya,51,2,1,0,,,,7.422000000000001,0.146,0.0,,
