Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-05,1,1,0,0,,,,26.221,0.0,0.0,
2020-03-12,3,2,0,0,,,,78.664,0.0,0.0,
2020-03-13,4,1,0,0,,,,104.885,0.0,0.0,
2020-03-14,4,0,0,0,,,,104.885,0.0,0.0,
2020-03-15,4,0,0,0,,,,104.885,0.0,0.0,
2020-03-16,7,3,0,0,,,,183.549,0.0,0.0,
2020-03-17,7,0,0,0,,,,183.549,0.0,0.0,
2020-03-18,7,0,0,0,,,,183.549,0.0,0.0,
2020-03-19,25,18,0,0,,,,655.5310000000001,0.0,0.0,
2020-03-20,25,0,0,0,,,,655.5310000000001,0.0,0.0,
2020-03-21,34,9,0,0,,,,891.523,0.0,0.0,
2020-03-22,36,2,0,0,,,,943.965,0.0,0.0,
2020-03-23,46,10,0,0,,,,1206.178,0.0,0.0,
2020-03-24,46,0,0,0,,,,1206.178,0.0,0.0,
2020-03-25,47,1,0,0,,,,1232.399,0.0,0.0,
2020-03-26,51,4,0,0,,,,1337.2839999999999,0.0,0.0,
2020-03-27,56,5,0,0,,,,1468.39,0.0,0.0,
2020-03-28,60,4,0,0,,,,1573.275,0.0,0.0,
2020-03-29,61,1,0,0,,,,1599.497,0.0,0.0,
2020-03-30,62,1,0,0,,,,1625.7179999999998,0.0,0.0,
2020-03-31,64,2,0,0,,,,1678.16,0.0,0.0,
2020-04-01,68,4,0,0,,,,1783.045,0.0,0.0,
2020-04-02,72,4,0,0,,,,1887.93,0.0,0.0,
2020-04-03,75,3,0,0,,,,1966.594,0.0,0.0,
2020-04-04,75,0,0,0,,,,1966.594,0.0,0.0,
2020-04-05,77,2,1,1,,,,2019.037,26.221,26.221,
2020-04-06,78,1,1,0,,,,2045.2579999999998,26.221,0.0,
2020-04-07,78,0,1,0,,,,2045.2579999999998,26.221,0.0,
2020-04-08,78,0,1,0,,,,2045.2579999999998,26.221,0.0,
2020-04-09,79,1,1,0,,,,2071.479,26.221,0.0,
2020-04-10,79,0,1,0,,,,2071.479,26.221,0.0,
2020-04-11,80,1,1,0,,,,2097.7,26.221,0.0,
2020-04-12,80,0,1,0,,,,2097.7,26.221,0.0,
2020-04-13,80,0,1,0,,,,2097.7,26.221,0.0,
2020-04-14,81,1,1,0,,,,2123.922,26.221,0.0,
2020-04-15,81,0,1,0,,,,2123.922,26.221,0.0,
2020-04-16,81,0,1,0,,,,2123.922,26.221,0.0,
2020-04-17,81,0,1,0,,,,2123.922,26.221,0.0,
2020-04-18,81,0,1,0,,,,2123.922,26.221,0.0,
2020-04-19,82,1,1,0,,,,2150.143,26.221,0.0,
2020-04-20,82,0,1,0,,,,2150.143,26.221,0.0,
2020-04-21,82,0,1,0,,,,2150.143,26.221,0.0,
2020-04-22,82,0,1,0,,,,2150.143,26.221,0.0,
2020-04-23,82,0,1,0,,,,2150.143,26.221,0.0,
2020-04-24,82,0,1,0,,,,2150.143,26.221,0.0,
2020-04-25,82,0,1,0,,,,2150.143,26.221,0.0,
2020-04-26,83,1,1,0,,,,2176.364,26.221,0.0,
2020-04-27,83,0,1,0,,,,2176.364,26.221,0.0,
2020-04-28,83,0,1,0,,,,2176.364,26.221,0.0,
2020-04-29,83,0,1,0,,,,2176.364,26.221,0.0,
