Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-28,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-29,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-30,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-28,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-29,0,0,0,0,,,,0.0,0.0,0.0,
2020-03-01,1,1,0,0,,,,1.598,0.0,0.0,
2020-03-02,1,0,0,0,,,,1.598,0.0,0.0,
2020-03-07,3,2,0,0,,,,4.793,0.0,0.0,
2020-03-09,5,2,0,0,,,,7.9879999999999995,0.0,0.0,
2020-03-11,7,2,0,0,,,,11.183,0.0,0.0,
2020-03-12,7,0,0,0,,,,11.183,0.0,0.0,
2020-03-13,26,19,0,0,,,,41.535,0.0,0.0,
2020-03-14,38,12,1,1,,,,60.705,1.598,1.598,
2020-03-16,77,39,1,0,,,,123.008,1.598,0.0,
2020-03-17,81,4,1,0,,,,129.398,1.598,0.0,
2020-03-18,140,59,1,0,,,,223.65099999999998,1.598,0.0,
2020-03-19,210,70,2,1,,,,335.476,3.195,1.598,
2020-03-20,345,135,4,2,,,,551.139,6.39,3.195,
2020-03-21,484,139,5,1,,,,773.193,7.9879999999999995,1.598,
2020-03-22,670,186,8,3,,,,1070.329,12.78,4.793,
2020-03-23,798,128,8,0,,,,1274.809,12.78,0.0,
2020-03-24,875,77,8,0,,,,1397.817,12.78,0.0,
2020-03-25,1099,224,8,0,,,,1755.658,12.78,0.0,
2020-03-26,1333,234,8,0,,,,2129.475,12.78,0.0,
2020-03-27,1453,120,9,1,,,,2321.175,14.378,1.598,
2020-03-28,1605,152,15,6,,,,2563.996,23.963,9.585,
2020-03-29,1831,226,18,3,,,,2925.032,28.755,4.793,
2020-03-30,1950,119,21,3,,,,3115.135,33.548,4.793,
2020-03-31,1988,38,22,1,,,,3175.841,35.145,1.598,
2020-04-01,2178,190,23,1,,,,3479.367,36.743,1.598,18690.0
2020-04-02,2319,141,29,6,,,,3704.615,46.328,9.585,
2020-04-03,2487,168,30,1,,,,3972.9959999999996,47.925,1.598,21463.0
2020-04-04,2612,125,31,1,,,,4172.684,49.523,1.598,22793.0
2020-04-05,2729,117,31,0,,,,4359.592000000001,49.523,0.0,
