Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-24,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-25,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-26,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-27,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-28,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-29,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-30,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-31,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-01,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-02,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-03,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-04,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-05,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-06,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-07,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-08,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-09,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-10,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-11,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-12,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-13,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-14,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-15,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-16,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-17,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-18,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-19,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-20,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-21,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-22,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-23,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-24,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-25,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-26,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-27,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-28,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-29,Luxembourg,0,0,0,0,,,,0.0,0.0,0.0,,
2020-03-01,Luxembourg,1,1,0,0,,,,1.598,0.0,0.0,,
2020-03-02,Luxembourg,1,0,0,0,,,,1.598,0.0,0.0,,
2020-03-07,Luxembourg,3,2,0,0,,,,4.793,0.0,0.0,,
2020-03-09,Luxembourg,5,2,0,0,,,,7.9879999999999995,0.0,0.0,,
2020-03-11,Luxembourg,7,2,0,0,,,,11.183,0.0,0.0,,
2020-03-12,Luxembourg,7,0,0,0,,,,11.183,0.0,0.0,,
2020-03-13,Luxembourg,26,19,0,0,,,,41.535,0.0,0.0,,
2020-03-14,Luxembourg,38,12,1,1,,,,60.705,1.598,1.598,,
2020-03-16,Luxembourg,77,39,1,0,,,,123.008,1.598,0.0,,
2020-03-17,Luxembourg,81,4,1,0,,,,129.398,1.598,0.0,,
2020-03-18,Luxembourg,140,59,1,0,,,,223.65099999999998,1.598,0.0,,
2020-03-19,Luxembourg,210,70,2,1,,,,335.476,3.195,1.598,,
2020-03-20,Luxembourg,345,135,4,2,,,,551.139,6.39,3.195,,
2020-03-21,Luxembourg,484,139,5,1,,,,773.193,7.9879999999999995,1.598,,
2020-03-22,Luxembourg,670,186,8,3,,,,1070.329,12.78,4.793,,
2020-03-23,Luxembourg,798,128,8,0,,,,1274.809,12.78,0.0,,
2020-03-24,Luxembourg,875,77,8,0,,,,1397.817,12.78,0.0,,
2020-03-25,Luxembourg,1099,224,8,0,,,,1755.658,12.78,0.0,,
2020-03-26,Luxembourg,1333,234,8,0,,,,2129.475,12.78,0.0,,
2020-03-27,Luxembourg,1453,120,9,1,,,,2321.175,14.378,1.598,,
2020-03-28,Luxembourg,1605,152,15,6,,,,2563.996,23.963,9.585,,
2020-03-29,Luxembourg,1831,226,18,3,,,,2925.032,28.755,4.793,,
2020-03-30,Luxembourg,1950,119,21,3,,,,3115.135,33.548,4.793,,
2020-03-31,Luxembourg,1988,38,22,1,,,,3175.841,35.145,1.598,,
2020-04-01,Luxembourg,2178,190,23,1,,,,3479.367,36.743,1.598,18690.0,
2020-04-02,Luxembourg,2319,141,29,6,,,,3704.615,46.328,9.585,,
2020-04-03,Luxembourg,2487,168,30,1,,,,3972.9959999999996,47.925,1.598,21463.0,
2020-04-04,Luxembourg,2612,125,31,1,,,,4172.684,49.523,1.598,22793.0,
2020-04-05,Luxembourg,2729,117,31,0,,,,4359.592000000001,49.523,0.0,,
2020-04-06,Luxembourg,2804,75,36,5,,,,4479.405,57.51,7.9879999999999995,24291.0,
2020-04-07,Luxembourg,2843,39,41,5,,,,4541.708,65.498,7.9879999999999995,,
2020-04-08,Luxembourg,2970,127,44,3,,,,4744.590999999999,70.29,4.793,,
2020-04-09,Luxembourg,3034,64,46,2,,,,4846.831,73.485,3.195,27521.0,
2020-04-10,Luxembourg,3115,81,52,6,,,,4976.229,83.07,9.585,28273.0,
2020-04-11,Luxembourg,3223,108,54,2,,,,5148.76,86.265,3.195,28965.0,
2020-04-12,Luxembourg,3270,47,62,8,,,,5223.842000000001,99.045,12.78,29315.0,
2020-04-13,Luxembourg,3281,11,66,4,,,,5241.415,105.435,6.39,,
2020-04-14,Luxembourg,3292,11,67,1,,,,5258.988,107.03299999999999,1.598,29523.0,
2020-04-15,Luxembourg,3307,15,67,0,,,,5282.95,107.03299999999999,0.0,30723.0,
2020-04-16,Luxembourg,3373,66,69,2,,,,5388.385,110.228,3.195,31660.0,
2020-04-17,Luxembourg,3444,71,69,0,,,,5501.808000000001,110.228,0.0,32394.0,
2020-04-18,Luxembourg,3480,36,72,3,,,,5559.319,115.02,4.793,33252.0,
2020-04-19,Luxembourg,3537,57,72,0,,,,5650.376,115.02,0.0,33666.0,
2020-04-20,Luxembourg,3550,13,73,1,,,,5671.144,116.618,1.598,33798.0,
2020-04-21,Luxembourg,3558,8,75,2,,,,5683.924,119.81299999999999,3.195,34962.0,
