Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-21,3,3,0,0,,,,0.10800000000000001,0.0,0.0,
2020-03-22,3,0,0,0,,,,0.10800000000000001,0.0,0.0,
2020-03-23,3,0,0,0,,,,0.10800000000000001,0.0,0.0,
2020-03-24,17,14,0,0,,,,0.614,0.0,0.0,
2020-03-25,19,2,0,0,,,,0.6859999999999999,0.0,0.0,
2020-03-26,19,0,0,0,,,,0.6859999999999999,0.0,0.0,
2020-03-27,23,4,0,0,,,,0.831,0.0,0.0,
2020-03-28,24,1,0,0,,,,0.867,0.0,0.0,
2020-03-29,28,4,0,0,,,,1.011,0.0,0.0,
2020-03-30,37,9,0,0,,,,1.3359999999999999,0.0,0.0,
2020-03-31,44,7,0,0,,,,1.589,0.0,0.0,
2020-04-01,46,2,0,0,,,,1.661,0.0,0.0,
2020-04-02,54,8,0,0,,,,1.95,0.0,0.0,
2020-04-03,59,5,0,0,,,,2.131,0.0,0.0,
2020-04-04,65,6,0,0,,,,2.347,0.0,0.0,
2020-04-05,71,6,0,0,,,,2.5639999999999996,0.0,0.0,
2020-04-06,72,1,0,0,,,,2.6,0.0,0.0,
2020-04-07,77,5,0,0,,,,2.781,0.0,0.0,
2020-04-08,85,8,0,0,,,,3.07,0.0,0.0,
2020-04-09,93,8,0,0,,,,3.358,0.0,0.0,
2020-04-10,93,0,0,0,,,,3.358,0.0,0.0,
2020-04-11,102,9,0,0,,,,3.6839999999999997,0.0,0.0,
2020-04-12,102,0,0,0,,,,3.6839999999999997,0.0,0.0,
2020-04-13,106,4,0,0,,,,3.8280000000000003,0.0,0.0,
2020-04-14,106,0,0,0,,,,3.8280000000000003,0.0,0.0,
2020-04-15,108,2,0,0,,,,3.9,0.0,0.0,
2020-04-16,110,2,0,0,,,,3.972,0.0,0.0,
2020-04-17,111,1,0,0,,,,4.0089999999999995,0.0,0.0,
2020-04-18,117,6,0,0,,,,4.225,0.0,0.0,
2020-04-19,117,0,0,0,,,,4.225,0.0,0.0,
2020-04-20,121,4,0,0,,,,4.37,0.0,0.0,
2020-04-21,121,0,0,0,,,,4.37,0.0,0.0,
2020-04-22,121,0,0,0,,,,4.37,0.0,0.0,
2020-04-23,121,0,0,0,,,,4.37,0.0,0.0,
2020-04-24,121,0,0,0,,,,4.37,0.0,0.0,
2020-04-25,122,1,0,0,,,,4.406000000000001,0.0,0.0,
2020-04-26,124,2,0,0,,,,4.478,0.0,0.0,
2020-04-27,124,0,0,0,,,,4.478,0.0,0.0,
2020-04-28,128,4,0,0,,,,4.622,0.0,0.0,
2020-04-29,128,0,0,0,,,,4.622,0.0,0.0,
