Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-21,Madagascar,3,3,0,0,,,,0.10800000000000001,0.0,0.0,,
2020-03-22,Madagascar,3,0,0,0,,,,0.10800000000000001,0.0,0.0,,
2020-03-23,Madagascar,3,0,0,0,,,,0.10800000000000001,0.0,0.0,,
2020-03-24,Madagascar,17,14,0,0,,,,0.614,0.0,0.0,,
2020-03-25,Madagascar,19,2,0,0,,,,0.6859999999999999,0.0,0.0,,
2020-03-26,Madagascar,19,0,0,0,,,,0.6859999999999999,0.0,0.0,,
2020-03-27,Madagascar,23,4,0,0,,,,0.831,0.0,0.0,,
2020-03-28,Madagascar,24,1,0,0,,,,0.867,0.0,0.0,,
2020-03-29,Madagascar,28,4,0,0,,,,1.011,0.0,0.0,,
2020-03-30,Madagascar,37,9,0,0,,,,1.3359999999999999,0.0,0.0,,
2020-03-31,Madagascar,44,7,0,0,,,,1.589,0.0,0.0,,
2020-04-01,Madagascar,46,2,0,0,,,,1.661,0.0,0.0,,
2020-04-02,Madagascar,54,8,0,0,,,,1.95,0.0,0.0,,
2020-04-03,Madagascar,59,5,0,0,,,,2.131,0.0,0.0,,
2020-04-04,Madagascar,65,6,0,0,,,,2.347,0.0,0.0,,
2020-04-05,Madagascar,71,6,0,0,,,,2.5639999999999996,0.0,0.0,,
2020-04-06,Madagascar,72,1,0,0,,,,2.6,0.0,0.0,,
2020-04-07,Madagascar,77,5,0,0,,,,2.781,0.0,0.0,,
2020-04-08,Madagascar,85,8,0,0,,,,3.07,0.0,0.0,,
2020-04-09,Madagascar,93,8,0,0,,,,3.358,0.0,0.0,,
2020-04-10,Madagascar,93,0,0,0,,,,3.358,0.0,0.0,,
2020-04-11,Madagascar,102,9,0,0,,,,3.6839999999999997,0.0,0.0,,
2020-04-12,Madagascar,102,0,0,0,,,,3.6839999999999997,0.0,0.0,,
2020-04-13,Madagascar,106,4,0,0,,,,3.8280000000000003,0.0,0.0,,
2020-04-14,Madagascar,106,0,0,0,,,,3.8280000000000003,0.0,0.0,,
2020-04-15,Madagascar,108,2,0,0,,,,3.9,0.0,0.0,,
2020-04-16,Madagascar,110,2,0,0,,,,3.972,0.0,0.0,,
2020-04-17,Madagascar,111,1,0,0,,,,4.0089999999999995,0.0,0.0,,
2020-04-18,Madagascar,117,6,0,0,,,,4.225,0.0,0.0,,
2020-04-19,Madagascar,117,0,0,0,,,,4.225,0.0,0.0,,
2020-04-20,Madagascar,121,4,0,0,,,,4.37,0.0,0.0,,
2020-04-21,Madagascar,121,0,0,0,,,,4.37,0.0,0.0,,
