Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-04-03,3,3,0,0,,,,0.157,0.0,0.0,
2020-04-04,3,0,0,0,,,,0.157,0.0,0.0,
2020-04-05,4,1,0,0,,,,0.209,0.0,0.0,
2020-04-06,4,0,0,0,,,,0.209,0.0,0.0,
2020-04-07,5,1,0,0,,,,0.261,0.0,0.0,
2020-04-08,8,3,1,1,,,,0.418,0.052000000000000005,0.052000000000000005,
2020-04-09,8,0,1,0,,,,0.418,0.052000000000000005,0.0,
2020-04-10,8,0,1,0,,,,0.418,0.052000000000000005,0.0,
2020-04-11,9,1,1,0,,,,0.47,0.052000000000000005,0.0,
2020-04-12,12,3,2,1,,,,0.627,0.105,0.052000000000000005,
2020-04-13,13,1,2,0,,,,0.68,0.105,0.0,
2020-04-14,16,3,2,0,,,,0.836,0.105,0.0,
2020-04-15,16,0,2,0,,,,0.836,0.105,0.0,
2020-04-16,16,0,2,0,,,,0.836,0.105,0.0,
2020-04-17,16,0,2,0,,,,0.836,0.105,0.0,
2020-04-18,17,1,2,0,,,,0.889,0.105,0.0,
2020-04-19,17,0,2,0,,,,0.889,0.105,0.0,
2020-04-20,17,0,2,0,,,,0.889,0.105,0.0,
2020-04-21,17,0,2,0,,,,0.889,0.105,0.0,
2020-04-22,18,1,2,0,,,,0.941,0.105,0.0,
2020-04-23,23,5,3,1,,,,1.202,0.157,0.052000000000000005,
2020-04-24,33,10,3,0,,,,1.725,0.157,0.0,
2020-04-25,33,0,3,0,,,,1.725,0.157,0.0,
2020-04-26,33,0,3,0,,,,1.725,0.157,0.0,
2020-04-27,34,1,3,0,,,,1.777,0.157,0.0,
2020-04-28,36,2,3,0,,,,1.882,0.157,0.0,
2020-04-29,36,0,3,0,,,,1.882,0.157,0.0,
