Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-04-03,Malawi,3,3,0,0,,,,0.157,0.0,0.0,,
2020-04-04,Malawi,3,0,0,0,,,,0.157,0.0,0.0,,
2020-04-05,Malawi,4,1,0,0,,,,0.209,0.0,0.0,,
2020-04-06,Malawi,4,0,0,0,,,,0.209,0.0,0.0,,
2020-04-07,Malawi,5,1,0,0,,,,0.261,0.0,0.0,,
2020-04-08,Malawi,8,3,1,1,,,,0.418,0.052000000000000005,0.052000000000000005,,
2020-04-09,Malawi,8,0,1,0,,,,0.418,0.052000000000000005,0.0,,
2020-04-10,Malawi,8,0,1,0,,,,0.418,0.052000000000000005,0.0,,
2020-04-11,Malawi,9,1,1,0,,,,0.47,0.052000000000000005,0.0,,
2020-04-12,Malawi,12,3,2,1,,,,0.627,0.105,0.052000000000000005,,
2020-04-13,Malawi,13,1,2,0,,,,0.68,0.105,0.0,,
2020-04-14,Malawi,16,3,2,0,,,,0.836,0.105,0.0,,
2020-04-15,Malawi,16,0,2,0,,,,0.836,0.105,0.0,,
2020-04-16,Malawi,16,0,2,0,,,,0.836,0.105,0.0,,
2020-04-17,Malawi,16,0,2,0,,,,0.836,0.105,0.0,,
2020-04-18,Malawi,17,1,2,0,,,,0.889,0.105,0.0,,
2020-04-19,Malawi,17,0,2,0,,,,0.889,0.105,0.0,,
2020-04-20,Malawi,17,0,2,0,,,,0.889,0.105,0.0,,
2020-04-21,Malawi,17,0,2,0,,,,0.889,0.105,0.0,,
