Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,3,3,0,0,,,,0.09300000000000001,0.0,0.0,
2020-01-26,4,1,0,0,,,,0.124,0.0,0.0,
2020-01-27,4,0,0,0,,,,0.124,0.0,0.0,
2020-01-28,4,0,0,0,,,,0.124,0.0,0.0,
2020-01-29,7,3,0,0,,,,0.21600000000000003,0.0,0.0,
2020-01-30,7,0,0,0,,,,0.21600000000000003,0.0,0.0,
2020-01-31,8,1,0,0,,,,0.247,0.0,0.0,
2020-02-01,8,0,0,0,,,,0.247,0.0,0.0,
2020-02-02,8,0,0,0,,,,0.247,0.0,0.0,
2020-02-03,8,0,0,0,,,,0.247,0.0,0.0,
2020-02-04,8,0,0,0,,,,0.247,0.0,0.0,
2020-02-05,10,2,0,0,,,,0.309,0.0,0.0,
2020-02-06,12,2,0,0,,,,0.371,0.0,0.0,
2020-02-07,14,2,0,0,,,,0.433,0.0,0.0,
2020-02-08,15,1,0,0,,,,0.46299999999999997,0.0,0.0,
2020-02-09,16,1,0,0,,,,0.494,0.0,0.0,
2020-02-10,18,2,0,0,,,,0.556,0.0,0.0,
2020-02-11,18,0,0,0,,,,0.556,0.0,0.0,
2020-02-12,18,0,0,0,,,,0.556,0.0,0.0,
2020-02-13,18,0,0,0,,,,0.556,0.0,0.0,
2020-02-14,19,1,0,0,,,,0.5870000000000001,0.0,0.0,653.0
2020-02-15,21,2,0,0,,,,0.649,0.0,0.0,
2020-02-16,22,1,0,0,,,,0.68,0.0,0.0,656.0
2020-02-17,22,0,0,0,,,,0.68,0.0,0.0,757.0
2020-02-18,22,0,0,0,,,,0.68,0.0,0.0,797.0
2020-02-19,22,0,0,0,,,,0.68,0.0,0.0,
2020-02-20,22,0,0,0,,,,0.68,0.0,0.0,880.0
2020-02-21,22,0,0,0,,,,0.68,0.0,0.0,968.0
2020-02-22,22,0,0,0,,,,0.68,0.0,0.0,
2020-02-23,22,0,0,0,,,,0.68,0.0,0.0,1028.0
2020-02-24,22,0,0,0,,,,0.68,0.0,0.0,1054.0
2020-02-25,22,0,0,0,,,,0.68,0.0,0.0,1067.0
2020-02-26,22,0,0,0,,,,0.68,0.0,0.0,1091.0
2020-02-27,22,0,0,0,,,,0.68,0.0,0.0,1545.0
2020-02-28,23,1,0,0,,,,0.711,0.0,0.0,1548.0
2020-02-29,25,2,0,0,,,,0.772,0.0,0.0,
2020-03-01,25,0,0,0,,,,0.772,0.0,0.0,
2020-03-02,29,4,0,0,,,,0.8959999999999999,0.0,0.0,1739.0
2020-03-04,36,7,0,0,,,,1.112,0.0,0.0,1983.0
2020-03-05,50,14,0,0,,,,1.545,0.0,0.0,
2020-03-06,50,0,0,0,,,,1.545,0.0,0.0,
2020-03-07,83,33,0,0,,,,2.5639999999999996,0.0,0.0,
2020-03-08,93,10,0,0,,,,2.873,0.0,0.0,
2020-03-09,99,6,0,0,,,,3.0589999999999997,0.0,0.0,2686.0
2020-03-10,117,18,0,0,,,,3.615,0.0,0.0,
2020-03-11,129,12,0,0,,,,3.986,0.0,0.0,3573.0
2020-03-12,149,20,0,0,,,,4.604,0.0,0.0,3691.0
2020-03-13,158,9,0,0,,,,4.882,0.0,0.0,
2020-03-14,197,39,0,0,,,,6.087000000000001,0.0,0.0,4899.0
2020-03-15,238,41,0,0,,,,7.353,0.0,0.0,
2020-03-16,428,190,0,0,,,,13.224,0.0,0.0,
2020-03-17,553,125,0,0,,,,17.086,0.0,0.0,6842.0
2020-03-18,673,120,2,2,,,,20.793000000000003,0.062,0.062,
2020-03-19,790,117,2,0,,,,24.408,0.062,0.0,8873.0
2020-03-20,900,110,2,0,,,,27.807,0.062,0.0,10143.0
2020-03-21,1030,130,2,0,,,,31.824,0.062,0.0,
2020-03-22,1183,153,4,2,,,,36.551,0.124,0.062,11275.0
2020-03-23,1306,123,10,6,,,,40.351,0.309,0.185,13110.0
2020-03-24,1518,212,14,4,,,,46.901,0.433,0.124,13594.0
2020-03-25,1624,106,15,1,,,,50.176,0.46299999999999997,0.031,15820.0
2020-03-26,1796,172,19,4,,,,55.49,0.5870000000000001,0.124,16983.0
2020-03-27,2031,235,23,4,,,,62.751000000000005,0.711,0.124,24168.0
