Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,Malaysia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,Malaysia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,Malaysia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,Malaysia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,Malaysia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,Malaysia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,Malaysia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,Malaysia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,Malaysia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,Malaysia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,Malaysia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,Malaysia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,Malaysia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,Malaysia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,Malaysia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,Malaysia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,Malaysia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,Malaysia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,Malaysia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,Malaysia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,Malaysia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,Malaysia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,Malaysia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,Malaysia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-24,Malaysia,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-25,Malaysia,3,3,0,0,,,,0.09300000000000001,0.0,0.0,,
2020-01-26,Malaysia,4,1,0,0,,,,0.124,0.0,0.0,,
2020-01-27,Malaysia,4,0,0,0,,,,0.124,0.0,0.0,,
2020-01-28,Malaysia,4,0,0,0,,,,0.124,0.0,0.0,,
2020-01-29,Malaysia,7,3,0,0,,,,0.21600000000000003,0.0,0.0,,
2020-01-30,Malaysia,7,0,0,0,,,,0.21600000000000003,0.0,0.0,,
2020-01-31,Malaysia,8,1,0,0,,,,0.247,0.0,0.0,,
2020-02-01,Malaysia,8,0,0,0,,,,0.247,0.0,0.0,,
2020-02-02,Malaysia,8,0,0,0,,,,0.247,0.0,0.0,,
2020-02-03,Malaysia,8,0,0,0,,,,0.247,0.0,0.0,,
2020-02-04,Malaysia,8,0,0,0,,,,0.247,0.0,0.0,,
2020-02-05,Malaysia,10,2,0,0,,,,0.309,0.0,0.0,,
2020-02-06,Malaysia,12,2,0,0,,,,0.371,0.0,0.0,,
2020-02-07,Malaysia,14,2,0,0,,,,0.433,0.0,0.0,,
2020-02-08,Malaysia,15,1,0,0,,,,0.46299999999999997,0.0,0.0,,
2020-02-09,Malaysia,16,1,0,0,,,,0.494,0.0,0.0,,
2020-02-10,Malaysia,18,2,0,0,,,,0.556,0.0,0.0,,
2020-02-11,Malaysia,18,0,0,0,,,,0.556,0.0,0.0,,
2020-02-12,Malaysia,18,0,0,0,,,,0.556,0.0,0.0,,
2020-02-13,Malaysia,18,0,0,0,,,,0.556,0.0,0.0,,
2020-02-14,Malaysia,19,1,0,0,,,,0.5870000000000001,0.0,0.0,653.0,
2020-02-15,Malaysia,21,2,0,0,,,,0.649,0.0,0.0,,
2020-02-16,Malaysia,22,1,0,0,,,,0.68,0.0,0.0,656.0,
2020-02-17,Malaysia,22,0,0,0,,,,0.68,0.0,0.0,757.0,
2020-02-18,Malaysia,22,0,0,0,,,,0.68,0.0,0.0,797.0,
2020-02-19,Malaysia,22,0,0,0,,,,0.68,0.0,0.0,,
2020-02-20,Malaysia,22,0,0,0,,,,0.68,0.0,0.0,880.0,
2020-02-21,Malaysia,22,0,0,0,,,,0.68,0.0,0.0,968.0,
2020-02-22,Malaysia,22,0,0,0,,,,0.68,0.0,0.0,,
2020-02-23,Malaysia,22,0,0,0,,,,0.68,0.0,0.0,1028.0,
2020-02-24,Malaysia,22,0,0,0,,,,0.68,0.0,0.0,1054.0,
2020-02-25,Malaysia,22,0,0,0,,,,0.68,0.0,0.0,1067.0,
2020-02-26,Malaysia,22,0,0,0,,,,0.68,0.0,0.0,1091.0,
2020-02-27,Malaysia,22,0,0,0,,,,0.68,0.0,0.0,1545.0,
2020-02-28,Malaysia,23,1,0,0,,,,0.711,0.0,0.0,1548.0,
2020-02-29,Malaysia,25,2,0,0,,,,0.772,0.0,0.0,,
2020-03-01,Malaysia,25,0,0,0,,,,0.772,0.0,0.0,,
2020-03-02,Malaysia,29,4,0,0,,,,0.8959999999999999,0.0,0.0,1739.0,
2020-03-04,Malaysia,36,7,0,0,,,,1.112,0.0,0.0,1983.0,
2020-03-05,Malaysia,50,14,0,0,,,,1.545,0.0,0.0,,
2020-03-06,Malaysia,50,0,0,0,,,,1.545,0.0,0.0,,
2020-03-07,Malaysia,83,33,0,0,,,,2.5639999999999996,0.0,0.0,,
2020-03-08,Malaysia,93,10,0,0,,,,2.873,0.0,0.0,,
2020-03-09,Malaysia,99,6,0,0,,,,3.0589999999999997,0.0,0.0,2686.0,
2020-03-10,Malaysia,117,18,0,0,,,,3.615,0.0,0.0,,
2020-03-11,Malaysia,129,12,0,0,,,,3.986,0.0,0.0,3573.0,
2020-03-12,Malaysia,149,20,0,0,,,,4.604,0.0,0.0,3691.0,
2020-03-13,Malaysia,158,9,0,0,,,,4.882,0.0,0.0,,
2020-03-14,Malaysia,197,39,0,0,,,,6.087000000000001,0.0,0.0,4899.0,
2020-03-15,Malaysia,238,41,0,0,,,,7.353,0.0,0.0,,
2020-03-16,Malaysia,428,190,0,0,,,,13.224,0.0,0.0,,
2020-03-17,Malaysia,553,125,0,0,,,,17.086,0.0,0.0,6842.0,
2020-03-18,Malaysia,673,120,2,2,,,,20.793000000000003,0.062,0.062,,
2020-03-19,Malaysia,790,117,2,0,,,,24.408,0.062,0.0,8873.0,
2020-03-20,Malaysia,900,110,2,0,,,,27.807,0.062,0.0,10143.0,
2020-03-21,Malaysia,1030,130,2,0,,,,31.824,0.062,0.0,,
2020-03-22,Malaysia,1183,153,4,2,,,,36.551,0.124,0.062,11275.0,
2020-03-23,Malaysia,1306,123,10,6,,,,40.351,0.309,0.185,13110.0,
2020-03-24,Malaysia,1518,212,14,4,,,,46.901,0.433,0.124,13594.0,
2020-03-25,Malaysia,1624,106,15,1,,,,50.176,0.46299999999999997,0.031,15820.0,
2020-03-26,Malaysia,1796,172,19,4,,,,55.49,0.5870000000000001,0.124,16983.0,
2020-03-27,Malaysia,2031,235,23,4,,,,62.751000000000005,0.711,0.124,24168.0,
2020-03-28,Malaysia,2161,130,26,3,,,,66.768,0.8029999999999999,0.09300000000000001,29461.0,
2020-03-29,Malaysia,2320,159,27,1,,,,71.68,0.8340000000000001,0.031,,
2020-03-30,Malaysia,2470,150,34,7,,,,76.315,1.05,0.21600000000000003,31206.0,
2020-03-31,Malaysia,2626,156,37,3,,,,81.135,1.143,0.09300000000000001,32264.0,
2020-04-01,Malaysia,2766,140,43,6,,,,85.46,1.329,0.185,35802.0,
2020-04-02,Malaysia,2908,142,45,2,,,,89.84700000000001,1.39,0.062,37599.0,
2020-04-03,Malaysia,3116,208,50,5,,,,96.274,1.545,0.154,39458.0,
2020-04-04,Malaysia,3333,217,53,3,,,,102.978,1.6380000000000001,0.09300000000000001,40923.0,
2020-04-05,Malaysia,3483,150,57,4,,,,107.613,1.761,0.124,43539.0,
2020-04-06,Malaysia,3662,179,61,4,,,,113.14299999999999,1.885,0.124,47457.0,
2020-04-07,Malaysia,3793,131,62,1,,,,117.191,1.916,0.031,52485.0,
2020-04-08,Malaysia,3963,170,63,1,,,,122.443,1.946,0.031,58240.0,
2020-04-09,Malaysia,4119,156,65,2,,,,127.26299999999999,2.008,0.062,63367.0,
2020-04-10,Malaysia,4228,109,67,2,,,,130.631,2.07,0.062,67951.0,
2020-04-11,Malaysia,4346,118,70,3,,,,134.27700000000002,2.1630000000000003,0.09300000000000001,71897.0,
2020-04-12,Malaysia,4530,184,73,3,,,,139.96200000000002,2.255,0.09300000000000001,77491.0,
2020-04-13,Malaysia,4683,153,76,3,,,,144.689,2.3480000000000003,0.09300000000000001,81730.0,
2020-04-14,Malaysia,4817,134,77,1,,,,148.829,2.379,0.031,84791.0,
2020-04-15,Malaysia,4987,170,82,5,,,,154.08100000000002,2.5340000000000003,0.154,87183.0,
2020-04-16,Malaysia,5072,85,83,1,,,,156.708,2.5639999999999996,0.031,,
2020-04-17,Malaysia,5182,110,84,1,,,,160.106,2.595,0.031,96695.0,
2020-04-18,Malaysia,5251,69,86,2,,,,162.238,2.657,0.062,100794.0,
2020-04-19,Malaysia,5305,54,88,2,,,,163.907,2.719,0.062,103892.0,
2020-04-20,Malaysia,5389,84,89,1,,,,166.502,2.75,0.031,108216.0,
2020-04-21,Malaysia,5425,36,89,0,,,,167.614,2.75,0.0,,
