Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-08,2,2,0,0,,,,3.7,0.0,0.0,
2020-03-09,4,2,0,0,,,,7.4,0.0,0.0,
2020-03-11,6,2,0,0,,,,11.1,0.0,0.0,
2020-03-12,8,2,0,0,,,,14.8,0.0,0.0,
2020-03-14,9,1,0,0,,,,16.65,0.0,0.0,
2020-03-15,9,0,0,0,,,,16.65,0.0,0.0,
2020-03-16,13,4,0,0,,,,24.05,0.0,0.0,
2020-03-17,13,0,0,0,,,,24.05,0.0,0.0,
2020-03-18,13,0,0,0,,,,24.05,0.0,0.0,
2020-03-19,13,0,0,0,,,,24.05,0.0,0.0,
2020-03-20,13,0,0,0,,,,24.05,0.0,0.0,
2020-03-21,13,0,0,0,,,,24.05,0.0,0.0,
2020-03-22,13,0,0,0,,,,24.05,0.0,0.0,
2020-03-23,13,0,0,0,,,,24.05,0.0,0.0,
2020-03-24,13,0,0,0,,,,24.05,0.0,0.0,
2020-03-25,13,0,0,0,,,,24.05,0.0,0.0,
2020-03-26,13,0,0,0,,,,24.05,0.0,0.0,
2020-03-27,13,0,0,0,,,,24.05,0.0,0.0,
2020-03-28,14,1,0,0,,,,25.9,0.0,0.0,
2020-03-29,16,2,0,0,,,,29.6,0.0,0.0,
2020-03-30,17,1,0,0,,,,31.45,0.0,0.0,
2020-03-31,17,0,0,0,,,,31.45,0.0,0.0,
2020-04-01,18,1,0,0,,,,33.3,0.0,0.0,
2020-04-02,19,1,0,0,,,,35.15,0.0,0.0,
2020-04-03,19,0,0,0,,,,35.15,0.0,0.0,
2020-04-04,19,0,0,0,,,,35.15,0.0,0.0,
2020-04-05,19,0,0,0,,,,35.15,0.0,0.0,
2020-04-06,19,0,0,0,,,,35.15,0.0,0.0,
2020-04-07,19,0,0,0,,,,35.15,0.0,0.0,
2020-04-08,19,0,0,0,,,,35.15,0.0,0.0,
2020-04-09,19,0,0,0,,,,35.15,0.0,0.0,
2020-04-10,19,0,0,0,,,,35.15,0.0,0.0,
2020-04-11,19,0,0,0,,,,35.15,0.0,0.0,
2020-04-12,19,0,0,0,,,,35.15,0.0,0.0,
2020-04-13,20,1,0,0,,,,37.0,0.0,0.0,
2020-04-14,20,0,0,0,,,,37.0,0.0,0.0,
2020-04-15,21,1,0,0,,,,38.85,0.0,0.0,
2020-04-16,21,0,0,0,,,,38.85,0.0,0.0,
2020-04-17,25,4,0,0,,,,46.25,0.0,0.0,
2020-04-18,29,4,0,0,,,,53.65,0.0,0.0,
2020-04-19,35,6,0,0,,,,64.75,0.0,0.0,
2020-04-20,52,17,0,0,,,,96.2,0.0,0.0,
2020-04-21,69,17,0,0,,,,127.65,0.0,0.0,
2020-04-22,85,16,0,0,,,,157.25,0.0,0.0,
2020-04-23,85,0,0,0,,,,157.25,0.0,0.0,
2020-04-24,110,25,0,0,,,,203.49900000000002,0.0,0.0,
2020-04-25,128,18,0,0,,,,236.799,0.0,0.0,
2020-04-26,137,9,0,0,,,,253.449,0.0,0.0,
2020-04-27,214,77,0,0,,,,395.899,0.0,0.0,
2020-04-28,214,0,0,0,,,,395.899,0.0,0.0,
2020-04-29,245,31,0,0,,,,453.249,0.0,0.0,
