Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-26,2,2,0,0,,,,0.099,0.0,0.0,
2020-03-27,4,2,0,0,,,,0.198,0.0,0.0,
2020-03-28,4,0,0,0,,,,0.198,0.0,0.0,
2020-03-29,9,5,0,0,,,,0.444,0.0,0.0,
2020-03-30,18,9,0,0,,,,0.889,0.0,0.0,
2020-03-31,18,0,0,0,,,,0.889,0.0,0.0,
2020-04-01,18,0,1,1,,,,0.889,0.049,0.049,
2020-04-02,28,10,1,0,,,,1.383,0.049,0.0,
2020-04-03,36,8,3,2,,,,1.778,0.14800000000000002,0.099,
2020-04-04,39,3,3,0,,,,1.926,0.14800000000000002,0.0,
2020-04-05,41,2,3,0,,,,2.025,0.14800000000000002,0.0,
2020-04-06,45,4,5,2,,,,2.222,0.247,0.099,
2020-04-07,47,2,5,0,,,,2.3209999999999997,0.247,0.0,
2020-04-08,56,9,5,0,,,,2.765,0.247,0.0,
2020-04-09,59,3,7,2,,,,2.9130000000000003,0.34600000000000003,0.099,
2020-04-10,59,0,7,0,,,,2.9130000000000003,0.34600000000000003,0.0,
2020-04-11,87,28,7,0,,,,4.296,0.34600000000000003,0.0,
2020-04-12,105,18,9,2,,,,5.185,0.444,0.099,
2020-04-13,116,11,9,0,,,,5.728,0.444,0.0,
2020-04-14,123,7,10,1,,,,6.074,0.494,0.049,
2020-04-15,144,21,13,3,,,,7.111000000000001,0.642,0.14800000000000002,
2020-04-16,148,4,13,0,,,,7.308,0.642,0.0,
2020-04-17,171,23,13,0,,,,8.443999999999999,0.642,0.0,
2020-04-18,190,19,13,0,,,,9.382,0.642,0.0,
2020-04-19,216,26,13,0,,,,10.665999999999999,0.642,0.0,
2020-04-20,224,8,14,1,,,,11.061,0.691,0.049,
2020-04-21,246,22,14,0,,,,12.148,0.691,0.0,
2020-04-22,258,12,14,0,,,,12.74,0.691,0.0,
2020-04-23,293,35,17,3,,,,14.469000000000001,0.8390000000000001,0.14800000000000002,
2020-04-24,309,16,21,4,,,,15.259,1.037,0.198,
2020-04-25,325,16,21,0,,,,16.049,1.037,0.0,
2020-04-26,370,45,21,0,,,,18.271,1.037,0.0,
2020-04-27,389,19,23,2,,,,19.209,1.136,0.099,
2020-04-28,408,19,23,0,,,,20.147000000000002,1.136,0.0,
2020-04-29,424,16,24,1,,,,20.936999999999998,1.185,0.049,
