Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-26,Mali,2,2,0,0,,,,0.099,0.0,0.0,,
2020-03-27,Mali,4,2,0,0,,,,0.198,0.0,0.0,,
2020-03-28,Mali,4,0,0,0,,,,0.198,0.0,0.0,,
2020-03-29,Mali,9,5,0,0,,,,0.444,0.0,0.0,,
2020-03-30,Mali,18,9,0,0,,,,0.889,0.0,0.0,,
2020-03-31,Mali,18,0,0,0,,,,0.889,0.0,0.0,,
2020-04-01,Mali,18,0,1,1,,,,0.889,0.049,0.049,,
2020-04-02,Mali,28,10,1,0,,,,1.383,0.049,0.0,,
2020-04-03,Mali,36,8,3,2,,,,1.778,0.14800000000000002,0.099,,
2020-04-04,Mali,39,3,3,0,,,,1.926,0.14800000000000002,0.0,,
2020-04-05,Mali,41,2,3,0,,,,2.025,0.14800000000000002,0.0,,
2020-04-06,Mali,45,4,5,2,,,,2.222,0.247,0.099,,
2020-04-07,Mali,47,2,5,0,,,,2.3209999999999997,0.247,0.0,,
2020-04-08,Mali,56,9,5,0,,,,2.765,0.247,0.0,,
2020-04-09,Mali,59,3,7,2,,,,2.9130000000000003,0.34600000000000003,0.099,,
2020-04-10,Mali,59,0,7,0,,,,2.9130000000000003,0.34600000000000003,0.0,,
2020-04-11,Mali,87,28,7,0,,,,4.296,0.34600000000000003,0.0,,
2020-04-12,Mali,105,18,9,2,,,,5.185,0.444,0.099,,
2020-04-13,Mali,116,11,9,0,,,,5.728,0.444,0.0,,
2020-04-14,Mali,123,7,10,1,,,,6.074,0.494,0.049,,
2020-04-15,Mali,144,21,13,3,,,,7.111000000000001,0.642,0.14800000000000002,,
2020-04-16,Mali,148,4,13,0,,,,7.308,0.642,0.0,,
2020-04-17,Mali,171,23,13,0,,,,8.443999999999999,0.642,0.0,,
2020-04-18,Mali,190,19,13,0,,,,9.382,0.642,0.0,,
2020-04-19,Mali,216,26,13,0,,,,10.665999999999999,0.642,0.0,,
2020-04-20,Mali,224,8,14,1,,,,11.061,0.691,0.049,,
2020-04-21,Mali,246,22,14,0,,,,12.148,0.691,0.0,,
