Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-15,Mauritania,1,1,0,0,,,,0.215,0.0,0.0,,
2020-03-16,Mauritania,1,0,0,0,,,,0.215,0.0,0.0,,
2020-03-17,Mauritania,1,0,0,0,,,,0.215,0.0,0.0,,
2020-03-18,Mauritania,1,0,0,0,,,,0.215,0.0,0.0,,
2020-03-19,Mauritania,1,0,0,0,,,,0.215,0.0,0.0,,
2020-03-20,Mauritania,2,1,0,0,,,,0.43,0.0,0.0,,
2020-03-21,Mauritania,2,0,0,0,,,,0.43,0.0,0.0,,
2020-03-22,Mauritania,2,0,0,0,,,,0.43,0.0,0.0,,
2020-03-23,Mauritania,2,0,0,0,,,,0.43,0.0,0.0,,
2020-03-24,Mauritania,2,0,0,0,,,,0.43,0.0,0.0,,
2020-03-25,Mauritania,2,0,0,0,,,,0.43,0.0,0.0,,
2020-03-26,Mauritania,2,0,0,0,,,,0.43,0.0,0.0,,
2020-03-27,Mauritania,3,1,0,0,,,,0.645,0.0,0.0,,
2020-03-28,Mauritania,3,0,0,0,,,,0.645,0.0,0.0,,
2020-03-29,Mauritania,5,2,0,0,,,,1.075,0.0,0.0,,
2020-03-30,Mauritania,5,0,0,0,,,,1.075,0.0,0.0,,
2020-03-31,Mauritania,5,0,0,0,,,,1.075,0.0,0.0,,
2020-04-01,Mauritania,5,0,0,0,,,,1.075,0.0,0.0,,
2020-04-02,Mauritania,5,0,0,0,,,,1.075,0.0,0.0,,
2020-04-03,Mauritania,6,1,1,1,,,,1.29,0.215,0.215,,
2020-04-04,Mauritania,6,0,1,0,,,,1.29,0.215,0.0,,
2020-04-05,Mauritania,6,0,1,0,,,,1.29,0.215,0.0,,
2020-04-06,Mauritania,6,0,1,0,,,,1.29,0.215,0.0,,
2020-04-07,Mauritania,6,0,1,0,,,,1.29,0.215,0.0,,
2020-04-08,Mauritania,6,0,1,0,,,,1.29,0.215,0.0,,
2020-04-09,Mauritania,6,0,1,0,,,,1.29,0.215,0.0,,
2020-04-10,Mauritania,7,1,1,0,,,,1.505,0.215,0.0,,
2020-04-11,Mauritania,7,0,1,0,,,,1.505,0.215,0.0,,
2020-04-12,Mauritania,7,0,1,0,,,,1.505,0.215,0.0,,
2020-04-13,Mauritania,7,0,1,0,,,,1.505,0.215,0.0,,
2020-04-14,Mauritania,7,0,1,0,,,,1.505,0.215,0.0,,
2020-04-15,Mauritania,7,0,1,0,,,,1.505,0.215,0.0,,
2020-04-16,Mauritania,7,0,1,0,,,,1.505,0.215,0.0,,
2020-04-17,Mauritania,7,0,1,0,,,,1.505,0.215,0.0,,
2020-04-18,Mauritania,7,0,1,0,,,,1.505,0.215,0.0,,
2020-04-19,Mauritania,7,0,1,0,,,,1.505,0.215,0.0,,
2020-04-20,Mauritania,7,0,1,0,,,,1.505,0.215,0.0,,
2020-04-21,Mauritania,7,0,1,0,,,,1.505,0.215,0.0,,
