Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-20,3,3,0,0,,,,2.359,0.0,0.0,
2020-03-21,12,9,0,0,,,,9.436,0.0,0.0,
2020-03-22,14,2,1,1,,,,11.008,0.7859999999999999,0.7859999999999999,
2020-03-23,28,14,2,1,,,,22.017,1.5730000000000002,0.7859999999999999,
2020-03-24,36,8,2,0,,,,28.307,1.5730000000000002,0.0,
2020-03-25,42,6,2,0,,,,33.025,1.5730000000000002,0.0,
2020-03-26,48,6,2,0,,,,37.743,1.5730000000000002,0.0,
2020-03-27,81,33,2,0,,,,63.691,1.5730000000000002,0.0,
2020-03-28,94,13,2,0,,,,73.913,1.5730000000000002,0.0,
2020-03-29,102,8,2,0,,,,80.203,1.5730000000000002,0.0,
2020-03-30,110,8,3,1,,,,86.494,2.359,0.7859999999999999,
2020-03-31,128,18,3,0,,,,100.647,2.359,0.0,
2020-04-01,143,15,3,0,,,,112.44200000000001,2.359,0.0,
2020-04-02,154,11,5,2,,,,121.09100000000001,3.932,1.5730000000000002,
2020-04-03,169,15,7,2,,,,132.886,5.504,1.5730000000000002,
2020-04-04,186,17,7,0,,,,146.253,5.504,0.0,
2020-04-05,196,10,7,0,,,,154.116,5.504,0.0,
2020-04-06,227,31,7,0,,,,178.49200000000002,5.504,0.0,
2020-04-07,244,17,7,0,,,,191.859,5.504,0.0,
2020-04-08,268,24,7,0,,,,210.73,5.504,0.0,
2020-04-09,273,5,7,0,,,,214.662,5.504,0.0,
2020-04-10,314,41,7,0,,,,246.90099999999998,5.504,0.0,
2020-04-11,318,4,9,2,,,,250.046,7.077000000000001,1.5730000000000002,
2020-04-12,319,1,9,0,,,,250.832,7.077000000000001,0.0,
2020-04-13,324,5,9,0,,,,254.764,7.077000000000001,0.0,
2020-04-14,324,0,9,0,,,,254.764,7.077000000000001,0.0,
2020-04-15,324,0,9,0,,,,254.764,7.077000000000001,0.0,
2020-04-16,324,0,9,0,,,,254.764,7.077000000000001,0.0,
2020-04-17,324,0,9,0,,,,254.764,7.077000000000001,0.0,
2020-04-18,324,0,9,0,,,,254.764,7.077000000000001,0.0,
2020-04-19,325,1,9,0,,,,255.55,7.077000000000001,0.0,
2020-04-20,328,3,9,0,,,,257.909,7.077000000000001,0.0,
2020-04-21,328,0,9,0,,,,257.909,7.077000000000001,0.0,
2020-04-22,328,0,9,0,,,,257.909,7.077000000000001,0.0,
2020-04-23,329,1,9,0,,,,258.695,7.077000000000001,0.0,
2020-04-24,331,2,9,0,,,,260.268,7.077000000000001,0.0,
2020-04-25,331,0,9,0,,,,260.268,7.077000000000001,0.0,
2020-04-26,331,0,9,0,,,,260.268,7.077000000000001,0.0,
2020-04-27,332,1,9,0,,,,261.05400000000003,7.077000000000001,0.0,
2020-04-28,334,2,10,1,,,,262.627,7.8629999999999995,0.7859999999999999,
2020-04-29,334,0,10,0,,,,262.627,7.8629999999999995,0.0,
