Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-20,Mauritius,3,3,0,0,,,,2.359,0.0,0.0,,
2020-03-21,Mauritius,12,9,0,0,,,,9.436,0.0,0.0,,
2020-03-22,Mauritius,14,2,1,1,,,,11.008,0.7859999999999999,0.7859999999999999,,
2020-03-23,Mauritius,28,14,2,1,,,,22.017,1.5730000000000002,0.7859999999999999,,
2020-03-24,Mauritius,36,8,2,0,,,,28.307,1.5730000000000002,0.0,,
2020-03-25,Mauritius,42,6,2,0,,,,33.025,1.5730000000000002,0.0,,
2020-03-26,Mauritius,48,6,2,0,,,,37.743,1.5730000000000002,0.0,,
2020-03-27,Mauritius,81,33,2,0,,,,63.691,1.5730000000000002,0.0,,
2020-03-28,Mauritius,94,13,2,0,,,,73.913,1.5730000000000002,0.0,,
2020-03-29,Mauritius,102,8,2,0,,,,80.203,1.5730000000000002,0.0,,
2020-03-30,Mauritius,110,8,3,1,,,,86.494,2.359,0.7859999999999999,,
2020-03-31,Mauritius,128,18,3,0,,,,100.647,2.359,0.0,,
2020-04-01,Mauritius,143,15,3,0,,,,112.44200000000001,2.359,0.0,,
2020-04-02,Mauritius,154,11,5,2,,,,121.09100000000001,3.932,1.5730000000000002,,
2020-04-03,Mauritius,169,15,7,2,,,,132.886,5.504,1.5730000000000002,,
2020-04-04,Mauritius,186,17,7,0,,,,146.253,5.504,0.0,,
2020-04-05,Mauritius,196,10,7,0,,,,154.116,5.504,0.0,,
2020-04-06,Mauritius,227,31,7,0,,,,178.49200000000002,5.504,0.0,,
2020-04-07,Mauritius,244,17,7,0,,,,191.859,5.504,0.0,,
2020-04-08,Mauritius,268,24,7,0,,,,210.73,5.504,0.0,,
2020-04-09,Mauritius,273,5,7,0,,,,214.662,5.504,0.0,,
2020-04-10,Mauritius,314,41,7,0,,,,246.90099999999998,5.504,0.0,,
2020-04-11,Mauritius,318,4,9,2,,,,250.046,7.077000000000001,1.5730000000000002,,
2020-04-12,Mauritius,319,1,9,0,,,,250.832,7.077000000000001,0.0,,
2020-04-13,Mauritius,324,5,9,0,,,,254.764,7.077000000000001,0.0,,
2020-04-14,Mauritius,324,0,9,0,,,,254.764,7.077000000000001,0.0,,
2020-04-15,Mauritius,324,0,9,0,,,,254.764,7.077000000000001,0.0,,
2020-04-16,Mauritius,324,0,9,0,,,,254.764,7.077000000000001,0.0,,
2020-04-17,Mauritius,324,0,9,0,,,,254.764,7.077000000000001,0.0,,
2020-04-18,Mauritius,324,0,9,0,,,,254.764,7.077000000000001,0.0,,
2020-04-19,Mauritius,325,1,9,0,,,,255.55,7.077000000000001,0.0,,
2020-04-20,Mauritius,328,3,9,0,,,,257.909,7.077000000000001,0.0,,
2020-04-21,Mauritius,328,0,9,0,,,,257.909,7.077000000000001,0.0,,
