Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,Mexico,0,0,0,0,,,,0.0,0.0,0.0,2.0,
2020-01-24,Mexico,0,0,0,0,,,,0.0,0.0,0.0,4.0,
2020-01-25,Mexico,0,0,0,0,,,,0.0,0.0,0.0,7.0,
2020-01-26,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-27,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-28,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-29,Mexico,0,0,0,0,,,,0.0,0.0,0.0,9.0,
2020-01-30,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-31,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-01,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-02,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-03,Mexico,0,0,0,0,,,,0.0,0.0,0.0,10.0,
2020-02-04,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-05,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-06,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-07,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-08,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-09,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-10,Mexico,0,0,0,0,,,,0.0,0.0,0.0,11.0,
2020-02-11,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-12,Mexico,0,0,0,0,,,,0.0,0.0,0.0,13.0,
2020-02-13,Mexico,0,0,0,0,,,,0.0,0.0,0.0,15.0,
2020-02-14,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-15,Mexico,0,0,0,0,,,,0.0,0.0,0.0,16.0,
2020-02-16,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-17,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-18,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-19,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-20,Mexico,0,0,0,0,,,,0.0,0.0,0.0,18.0,
2020-02-21,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-22,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-23,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-24,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-25,Mexico,0,0,0,0,,,,0.0,0.0,0.0,62.0,
2020-02-26,Mexico,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-27,Mexico,0,0,0,0,,,,0.0,0.0,0.0,147.0,
2020-02-28,Mexico,0,0,0,0,,,,0.0,0.0,0.0,165.0,
2020-02-29,Mexico,2,2,0,0,,,,0.016,0.0,0.0,175.0,
2020-03-01,Mexico,4,2,0,0,,,,0.031,0.0,0.0,205.0,
2020-03-02,Mexico,5,1,0,0,,,,0.039,0.0,0.0,214.0,
2020-03-03,Mexico,0,0,0,0,,,,,,,220.0,
2020-03-04,Mexico,0,0,0,0,,,,,,,257.0,
2020-03-05,Mexico,0,0,0,0,,,,,,,288.0,
2020-03-06,Mexico,0,0,0,0,,,,,,,309.0,
2020-03-07,Mexico,0,0,0,0,,,,,,,333.0,
2020-03-08,Mexico,0,0,0,0,,,,,,,348.0,
2020-03-09,Mexico,7,2,0,0,,,,0.054000000000000006,0.0,0.0,365.0,
2020-03-10,Mexico,0,0,0,0,,,,,,,381.0,
2020-03-11,Mexico,0,0,0,0,,,,,,,457.0,
2020-03-12,Mexico,11,4,0,0,,,,0.085,0.0,0.0,495.0,
2020-03-13,Mexico,16,5,0,0,,,,0.124,0.0,0.0,552.0,
2020-03-14,Mexico,26,10,0,0,,,,0.20199999999999999,0.0,0.0,627.0,
2020-03-15,Mexico,41,15,0,0,,,,0.318,0.0,0.0,717.0,
2020-03-16,Mexico,53,12,0,0,,,,0.41100000000000003,0.0,0.0,843.0,
2020-03-17,Mexico,82,29,0,0,,,,0.636,0.0,0.0,947.0,
2020-03-18,Mexico,93,11,0,0,,,,0.721,0.0,0.0,1087.0,
2020-03-19,Mexico,118,25,0,0,,,,0.915,0.0,0.0,1267.0,
2020-03-20,Mexico,164,46,0,0,,,,1.272,0.0,0.0,1496.0,
2020-03-21,Mexico,203,39,2,2,,,,1.574,0.016,0.016,1926.0,
2020-03-22,Mexico,251,48,2,0,,,,1.9469999999999998,0.016,0.0,2165.0,
2020-03-23,Mexico,316,65,2,0,,,,2.451,0.016,0.0,2414.0,
2020-03-24,Mexico,367,51,4,2,,,,2.846,0.031,0.016,2748.0,
2020-03-25,Mexico,405,38,5,1,,,,3.141,0.039,0.008,3102.0,
2020-03-26,Mexico,475,70,5,0,,,,3.6839999999999997,0.039,0.0,3732.0,
2020-03-27,Mexico,585,110,8,3,,,,4.537,0.062,0.023,4441.0,
2020-03-28,Mexico,717,132,12,4,,,,5.561,0.09300000000000001,0.031,5371.0,
2020-03-29,Mexico,848,131,16,4,,,,6.577000000000001,0.124,0.031,6130.0,
2020-03-30,Mexico,993,145,20,4,,,,7.702000000000001,0.155,0.031,6911.0,
2020-03-31,Mexico,1094,101,28,8,,,,8.485,0.217,0.062,7679.0,
2020-04-01,Mexico,1215,121,29,1,,,,9.424,0.225,0.008,8633.0,
2020-04-02,Mexico,1378,163,37,8,,,,10.687999999999999,0.287,0.062,9514.0,
2020-04-03,Mexico,1510,132,50,13,,,,11.712,0.38799999999999996,0.10099999999999999,10290.0,
2020-04-04,Mexico,1688,178,60,10,,,,13.092,0.465,0.078,11357.0,
2020-04-05,Mexico,1890,202,79,19,,,,14.659,0.613,0.147,12825.0,
2020-04-06,Mexico,2143,253,94,15,,,,16.621,0.7290000000000001,0.11599999999999999,14180.0,
2020-04-07,Mexico,2439,296,125,31,,,,18.917,0.9690000000000001,0.24,17884.0,
2020-04-08,Mexico,2785,346,141,16,,,,21.6,1.094,0.124,20390.0,
2020-04-09,Mexico,3181,396,174,33,,,,24.671999999999997,1.35,0.256,21391.0,
2020-04-10,Mexico,3441,260,194,20,,,,26.688000000000002,1.505,0.155,23593.0,
2020-04-11,Mexico,3844,403,233,39,,,,29.814,1.807,0.302,25496.0,
2020-04-12,Mexico,4219,375,273,40,,,,32.722,2.117,0.31,26604.0,
2020-04-13,Mexico,4661,442,296,23,,,,36.150999999999996,2.296,0.17800000000000002,28054.0,
2020-04-14,Mexico,5014,353,332,36,,,,38.888000000000005,2.575,0.27899999999999997,29299.0,
2020-04-15,Mexico,5399,385,406,74,,,,41.875,3.1489999999999996,0.574,30985.0,
2020-04-16,Mexico,5847,448,449,43,,,,45.349,3.4819999999999998,0.33399999999999996,32808.0,
2020-04-17,Mexico,6297,450,486,37,,,,48.839,3.7689999999999997,0.287,35001.0,
2020-04-18,Mexico,6875,578,546,60,,,,53.321999999999996,4.235,0.465,36798.0,
2020-04-19,Mexico,7497,622,650,104,,,,58.147,5.041,0.807,39431.0,
2020-04-20,Mexico,8261,764,686,36,,,,64.072,5.321000000000001,0.27899999999999997,,
2020-04-21,Mexico,8772,511,712,26,,,,68.035,5.522,0.20199999999999999,,
