Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-08,1,1,0,0,,,,0.248,0.0,0.0,
2020-03-11,3,2,0,0,,,,0.7440000000000001,0.0,0.0,
2020-03-12,4,1,0,0,,,,0.992,0.0,0.0,
2020-03-13,6,2,0,0,,,,1.4869999999999999,0.0,0.0,
2020-03-14,8,2,0,0,,,,1.983,0.0,0.0,
2020-03-15,20,12,0,0,,,,4.958,0.0,0.0,
2020-03-16,23,3,0,0,,,,5.702000000000001,0.0,0.0,
2020-03-17,29,6,0,0,,,,7.189,0.0,0.0,
2020-03-18,30,1,0,0,,,,7.437,0.0,0.0,
2020-03-19,36,6,1,1,,,,8.924,0.248,0.248,
2020-03-20,49,13,1,0,,,,12.147,0.248,0.0,
2020-03-21,66,17,1,0,,,,16.361,0.248,0.0,
2020-03-22,80,14,1,0,,,,19.832,0.248,0.0,
2020-03-23,94,14,1,0,,,,23.302,0.248,0.0,
2020-03-24,109,15,1,0,,,,27.021,0.248,0.0,
2020-03-25,125,16,1,0,,,,30.987,0.248,0.0,
2020-03-26,149,24,1,0,,,,36.936,0.248,0.0,
2020-03-27,177,28,1,0,,,,43.876999999999995,0.248,0.0,
2020-03-28,199,22,2,1,,,,49.331,0.496,0.248,
2020-03-29,231,32,2,0,,,,57.263999999999996,0.496,0.0,
2020-03-30,263,32,2,0,,,,65.196,0.496,0.0,
2020-03-31,298,35,2,0,,,,73.873,0.496,0.0,
2020-04-01,353,55,4,2,,,,87.507,0.992,0.496,
2020-04-02,423,70,5,1,,,,104.86,1.239,0.248,
2020-04-03,505,82,6,1,,,,125.18700000000001,1.4869999999999999,0.248,
2020-04-04,591,86,8,2,,,,146.506,1.983,0.496,
2020-04-05,752,161,12,4,,,,186.417,2.975,0.992,
2020-04-06,864,112,15,3,,,,214.18099999999998,3.718,0.7440000000000001,
2020-04-07,965,101,19,4,,,,239.21900000000002,4.71,0.992,
2020-04-08,1056,91,22,3,,,,261.777,5.454,0.7440000000000001,
2020-04-09,1174,118,27,5,,,,291.029,6.693,1.239,
2020-04-10,1289,115,29,2,,,,319.53700000000003,7.189,0.496,
2020-04-11,1438,149,29,0,,,,356.473,7.189,0.0,
2020-04-12,1560,122,30,1,,,,386.716,7.437,0.248,
2020-04-13,1662,102,32,2,,,,412.00199999999995,7.933,0.496,
2020-04-14,1712,50,36,4,,,,424.397,8.924,0.992,
2020-04-15,1934,222,40,4,,,,479.42900000000003,9.916,0.992,
2020-04-16,2049,115,46,6,,,,507.93699999999995,11.402999999999999,1.4869999999999999,
2020-04-17,2154,105,54,8,,,,533.966,13.386,1.983,
2020-04-18,2264,110,56,2,,,,561.235,13.882,0.496,
2020-04-19,2351,87,60,4,,,,582.802,14.874,0.992,
2020-04-20,2472,121,67,7,,,,612.797,16.609,1.735,
2020-04-21,2548,76,70,3,,,,631.637,17.352999999999998,0.7440000000000001,
2020-04-22,2614,66,73,3,,,,647.998,18.096,0.7440000000000001,
2020-04-23,2778,164,76,3,,,,688.653,18.84,0.7440000000000001,
2020-04-24,2926,148,80,4,,,,725.341,19.832,0.992,
2020-04-25,3110,184,87,7,,,,770.954,21.566999999999997,1.735,
2020-04-26,3304,194,94,7,,,,819.046,23.302,1.735,
2020-04-27,3408,104,96,2,,,,844.827,23.798000000000002,0.496,
2020-04-28,3481,73,102,6,,,,862.923,25.285,1.4869999999999999,
2020-04-29,3638,157,107,5,,,,901.8430000000001,26.525,1.239,
