Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-10,1,1,0,0,,,,0.305,0.0,0.0,
2020-03-15,1,0,0,0,,,,0.305,0.0,0.0,
2020-03-18,4,3,0,0,,,,1.22,0.0,0.0,
2020-03-19,5,1,0,0,,,,1.525,0.0,0.0,
2020-03-20,5,0,0,0,,,,1.525,0.0,0.0,
2020-03-21,6,1,0,0,,,,1.83,0.0,0.0,
2020-03-22,10,4,0,0,,,,3.05,0.0,0.0,
2020-03-23,10,0,0,0,,,,3.05,0.0,0.0,
2020-03-24,10,0,0,0,,,,3.05,0.0,0.0,
2020-03-25,10,0,0,0,,,,3.05,0.0,0.0,
2020-03-26,10,0,0,0,,,,3.05,0.0,0.0,
2020-03-27,11,1,0,0,,,,3.355,0.0,0.0,
2020-03-28,11,0,0,0,,,,3.355,0.0,0.0,
2020-03-29,12,1,0,0,,,,3.66,0.0,0.0,
2020-03-30,12,0,0,0,,,,3.66,0.0,0.0,
2020-03-31,12,0,0,0,,,,3.66,0.0,0.0,
2020-04-01,12,0,0,0,,,,3.66,0.0,0.0,
2020-04-02,14,2,0,0,,,,4.271,0.0,0.0,
2020-04-03,14,0,0,0,,,,4.271,0.0,0.0,
2020-04-04,14,0,0,0,,,,4.271,0.0,0.0,
2020-04-05,14,0,0,0,,,,4.271,0.0,0.0,
2020-04-06,14,0,0,0,,,,4.271,0.0,0.0,
2020-04-07,15,1,0,0,,,,4.5760000000000005,0.0,0.0,
2020-04-08,15,0,0,0,,,,4.5760000000000005,0.0,0.0,
2020-04-09,16,1,0,0,,,,4.881,0.0,0.0,
2020-04-10,16,0,0,0,,,,4.881,0.0,0.0,
2020-04-11,16,0,0,0,,,,4.881,0.0,0.0,
2020-04-12,16,0,0,0,,,,4.881,0.0,0.0,
2020-04-13,16,0,0,0,,,,4.881,0.0,0.0,
2020-04-14,16,0,0,0,,,,4.881,0.0,0.0,
2020-04-15,30,14,0,0,,,,9.151,0.0,0.0,
2020-04-16,30,0,0,0,,,,9.151,0.0,0.0,
2020-04-17,31,1,0,0,,,,9.456,0.0,0.0,
2020-04-18,31,0,0,0,,,,9.456,0.0,0.0,
2020-04-19,31,0,0,0,,,,9.456,0.0,0.0,
2020-04-20,32,1,0,0,,,,9.761000000000001,0.0,0.0,
2020-04-21,34,2,0,0,,,,10.370999999999999,0.0,0.0,
2020-04-22,35,1,0,0,,,,10.675999999999998,0.0,0.0,
2020-04-23,35,0,0,0,,,,10.675999999999998,0.0,0.0,
2020-04-24,36,1,0,0,,,,10.981,0.0,0.0,
2020-04-25,36,0,0,0,,,,10.981,0.0,0.0,
2020-04-26,38,2,0,0,,,,11.591,0.0,0.0,
2020-04-27,38,0,0,0,,,,11.591,0.0,0.0,
2020-04-28,38,0,0,0,,,,11.591,0.0,0.0,
2020-04-29,38,0,0,0,,,,11.591,0.0,0.0,
