Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-10,Mongolia,1,1,0,0,,,,0.305,0.0,0.0,,
2020-03-15,Mongolia,1,0,0,0,,,,0.305,0.0,0.0,,
2020-03-18,Mongolia,4,3,0,0,,,,1.22,0.0,0.0,,
2020-03-19,Mongolia,5,1,0,0,,,,1.525,0.0,0.0,,
2020-03-20,Mongolia,5,0,0,0,,,,1.525,0.0,0.0,,
2020-03-21,Mongolia,6,1,0,0,,,,1.83,0.0,0.0,,
2020-03-22,Mongolia,10,4,0,0,,,,3.05,0.0,0.0,,
2020-03-23,Mongolia,10,0,0,0,,,,3.05,0.0,0.0,,
2020-03-24,Mongolia,10,0,0,0,,,,3.05,0.0,0.0,,
2020-03-25,Mongolia,10,0,0,0,,,,3.05,0.0,0.0,,
2020-03-26,Mongolia,10,0,0,0,,,,3.05,0.0,0.0,,
2020-03-27,Mongolia,11,1,0,0,,,,3.355,0.0,0.0,,
2020-03-28,Mongolia,11,0,0,0,,,,3.355,0.0,0.0,,
2020-03-29,Mongolia,12,1,0,0,,,,3.66,0.0,0.0,,
2020-03-30,Mongolia,12,0,0,0,,,,3.66,0.0,0.0,,
2020-03-31,Mongolia,12,0,0,0,,,,3.66,0.0,0.0,,
2020-04-01,Mongolia,12,0,0,0,,,,3.66,0.0,0.0,,
2020-04-02,Mongolia,14,2,0,0,,,,4.271,0.0,0.0,,
2020-04-03,Mongolia,14,0,0,0,,,,4.271,0.0,0.0,,
2020-04-04,Mongolia,14,0,0,0,,,,4.271,0.0,0.0,,
2020-04-05,Mongolia,14,0,0,0,,,,4.271,0.0,0.0,,
2020-04-06,Mongolia,14,0,0,0,,,,4.271,0.0,0.0,,
2020-04-07,Mongolia,15,1,0,0,,,,4.5760000000000005,0.0,0.0,,
2020-04-08,Mongolia,15,0,0,0,,,,4.5760000000000005,0.0,0.0,,
2020-04-09,Mongolia,16,1,0,0,,,,4.881,0.0,0.0,,
2020-04-10,Mongolia,16,0,0,0,,,,4.881,0.0,0.0,,
2020-04-11,Mongolia,16,0,0,0,,,,4.881,0.0,0.0,,
2020-04-12,Mongolia,16,0,0,0,,,,4.881,0.0,0.0,,
2020-04-13,Mongolia,16,0,0,0,,,,4.881,0.0,0.0,,
2020-04-14,Mongolia,16,0,0,0,,,,4.881,0.0,0.0,,
2020-04-15,Mongolia,30,14,0,0,,,,9.151,0.0,0.0,,
2020-04-16,Mongolia,30,0,0,0,,,,9.151,0.0,0.0,,
2020-04-17,Mongolia,31,1,0,0,,,,9.456,0.0,0.0,,
2020-04-18,Mongolia,31,0,0,0,,,,9.456,0.0,0.0,,
2020-04-19,Mongolia,31,0,0,0,,,,9.456,0.0,0.0,,
2020-04-20,Mongolia,32,1,0,0,,,,9.761000000000001,0.0,0.0,,
2020-04-21,Mongolia,34,2,0,0,,,,10.370999999999999,0.0,0.0,,
