Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-18,Montenegro,2,2,0,0,,,,3.1839999999999997,0.0,0.0,,
2020-03-19,Montenegro,8,6,0,0,,,,12.738,0.0,0.0,,
2020-03-20,Montenegro,13,5,0,0,,,,20.699,0.0,0.0,,
2020-03-21,Montenegro,14,1,0,0,,,,22.291,0.0,0.0,,
2020-03-22,Montenegro,14,0,0,0,,,,22.291,0.0,0.0,,
2020-03-23,Montenegro,21,7,0,0,,,,33.436,0.0,0.0,,
2020-03-24,Montenegro,27,6,0,0,,,,42.989,0.0,0.0,,
2020-03-25,Montenegro,47,20,0,0,,,,74.833,0.0,0.0,,
2020-03-26,Montenegro,53,6,0,0,,,,84.387,0.0,0.0,,
2020-03-27,Montenegro,67,14,1,1,,,,106.677,1.5919999999999999,1.5919999999999999,,
2020-03-28,Montenegro,75,8,1,0,,,,119.415,1.5919999999999999,0.0,,
2020-03-29,Montenegro,84,9,1,0,,,,133.745,1.5919999999999999,0.0,,
2020-03-30,Montenegro,85,1,1,0,,,,135.33700000000002,1.5919999999999999,0.0,,
2020-03-31,Montenegro,91,6,1,0,,,,144.89,1.5919999999999999,0.0,,
2020-04-01,Montenegro,109,18,1,0,,,,173.55,1.5919999999999999,0.0,,
2020-04-02,Montenegro,123,14,1,0,,,,195.84099999999998,1.5919999999999999,0.0,,
2020-04-03,Montenegro,144,21,2,1,,,,229.27700000000002,3.1839999999999997,1.5919999999999999,,
2020-04-04,Montenegro,174,30,2,0,,,,277.043,3.1839999999999997,0.0,,
2020-04-05,Montenegro,201,27,2,0,,,,320.032,3.1839999999999997,0.0,,
2020-04-06,Montenegro,214,13,2,0,,,,340.731,3.1839999999999997,0.0,,
2020-04-07,Montenegro,233,19,2,0,,,,370.98199999999997,3.1839999999999997,0.0,,
2020-04-08,Montenegro,241,8,2,0,,,,383.72,3.1839999999999997,0.0,,
2020-04-09,Montenegro,249,8,2,0,,,,396.458,3.1839999999999997,0.0,,
2020-04-10,Montenegro,252,3,2,0,,,,401.23400000000004,3.1839999999999997,0.0,,
2020-04-11,Montenegro,257,5,2,0,,,,409.195,3.1839999999999997,0.0,,
2020-04-12,Montenegro,263,6,2,0,,,,418.74800000000005,3.1839999999999997,0.0,,
2020-04-13,Montenegro,272,9,3,1,,,,433.07800000000003,4.777,1.5919999999999999,,
2020-04-14,Montenegro,274,2,3,0,,,,436.26300000000003,4.777,0.0,,
2020-04-15,Montenegro,283,9,4,1,,,,450.592,6.369,1.5919999999999999,,
2020-04-16,Montenegro,288,5,4,0,,,,458.55300000000005,6.369,0.0,,
2020-04-17,Montenegro,303,15,4,0,,,,482.436,6.369,0.0,,
2020-04-18,Montenegro,303,0,4,0,,,,482.436,6.369,0.0,,
2020-04-19,Montenegro,307,4,5,1,,,,488.805,7.961,1.5919999999999999,,
2020-04-20,Montenegro,308,1,5,0,,,,490.397,7.961,0.0,,
2020-04-21,Montenegro,312,4,5,0,,,,496.76599999999996,7.961,0.0,,
