Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-21,1,1,0,0,,,,200.04,0.0,0.0,
2020-03-22,1,0,0,0,,,,200.04,0.0,0.0,
2020-03-23,1,0,0,0,,,,200.04,0.0,0.0,
2020-03-24,1,0,0,0,,,,200.04,0.0,0.0,
2020-03-25,1,0,0,0,,,,200.04,0.0,0.0,
2020-03-26,1,0,0,0,,,,200.04,0.0,0.0,
2020-03-27,5,4,0,0,,,,1000.2,0.0,0.0,
2020-03-28,5,0,0,0,,,,1000.2,0.0,0.0,
2020-03-29,5,0,0,0,,,,1000.2,0.0,0.0,
2020-03-30,5,0,0,0,,,,1000.2,0.0,0.0,
2020-03-31,5,0,0,0,,,,1000.2,0.0,0.0,
2020-04-02,5,0,0,0,,,,1000.2,0.0,0.0,
2020-04-03,5,0,0,0,,,,1000.2,0.0,0.0,
2020-04-04,5,0,0,0,,,,1000.2,0.0,0.0,
2020-04-05,6,1,0,0,,,,1200.24,0.0,0.0,
2020-04-06,6,0,0,0,,,,1200.24,0.0,0.0,
2020-04-07,6,0,0,0,,,,1200.24,0.0,0.0,
2020-04-08,6,0,0,0,,,,1200.24,0.0,0.0,
2020-04-09,9,3,0,0,,,,1800.36,0.0,0.0,
2020-04-10,9,0,0,0,,,,1800.36,0.0,0.0,
2020-04-11,9,0,0,0,,,,1800.36,0.0,0.0,
2020-04-12,9,0,0,0,,,,1800.36,0.0,0.0,
2020-04-13,11,2,0,0,,,,2200.44,0.0,0.0,
2020-04-14,11,0,0,0,,,,2200.44,0.0,0.0,
2020-04-15,11,0,0,0,,,,2200.44,0.0,0.0,
2020-04-16,11,0,0,0,,,,2200.44,0.0,0.0,
2020-04-17,11,0,0,0,,,,2200.44,0.0,0.0,
2020-04-18,11,0,0,0,,,,2200.44,0.0,0.0,
2020-04-19,11,0,0,0,,,,2200.44,0.0,0.0,
2020-04-20,11,0,0,0,,,,2200.44,0.0,0.0,
2020-04-21,11,0,0,0,,,,2200.44,0.0,0.0,
2020-04-22,11,0,0,0,,,,2200.44,0.0,0.0,
2020-04-23,11,0,0,0,,,,2200.44,0.0,0.0,
2020-04-24,11,0,0,0,,,,2200.44,0.0,0.0,
2020-04-25,11,0,0,0,,,,2200.44,0.0,0.0,
2020-04-26,11,0,1,1,,,,2200.44,200.04,200.04,
2020-04-27,11,0,1,0,,,,2200.44,200.04,0.0,
2020-04-28,11,0,1,0,,,,2200.44,200.04,0.0,
2020-04-29,11,0,1,0,,,,2200.44,200.04,0.0,
