Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-21,Montserrat,1,1,0,0,,,,200.04,0.0,0.0,,
2020-03-22,Montserrat,1,0,0,0,,,,200.04,0.0,0.0,,
2020-03-23,Montserrat,1,0,0,0,,,,200.04,0.0,0.0,,
2020-03-24,Montserrat,1,0,0,0,,,,200.04,0.0,0.0,,
2020-03-25,Montserrat,1,0,0,0,,,,200.04,0.0,0.0,,
2020-03-26,Montserrat,1,0,0,0,,,,200.04,0.0,0.0,,
2020-03-27,Montserrat,5,4,0,0,,,,1000.2,0.0,0.0,,
2020-03-28,Montserrat,5,0,0,0,,,,1000.2,0.0,0.0,,
2020-03-29,Montserrat,5,0,0,0,,,,1000.2,0.0,0.0,,
2020-03-30,Montserrat,5,0,0,0,,,,1000.2,0.0,0.0,,
2020-03-31,Montserrat,5,0,0,0,,,,1000.2,0.0,0.0,,
2020-04-02,Montserrat,5,0,0,0,,,,1000.2,0.0,0.0,,
2020-04-03,Montserrat,5,0,0,0,,,,1000.2,0.0,0.0,,
2020-04-04,Montserrat,5,0,0,0,,,,1000.2,0.0,0.0,,
2020-04-05,Montserrat,6,1,0,0,,,,1200.24,0.0,0.0,,
2020-04-06,Montserrat,6,0,0,0,,,,1200.24,0.0,0.0,,
2020-04-07,Montserrat,6,0,0,0,,,,1200.24,0.0,0.0,,
2020-04-08,Montserrat,6,0,0,0,,,,1200.24,0.0,0.0,,
2020-04-09,Montserrat,9,3,0,0,,,,1800.36,0.0,0.0,,
2020-04-10,Montserrat,9,0,0,0,,,,1800.36,0.0,0.0,,
2020-04-11,Montserrat,9,0,0,0,,,,1800.36,0.0,0.0,,
2020-04-12,Montserrat,9,0,0,0,,,,1800.36,0.0,0.0,,
2020-04-13,Montserrat,11,2,0,0,,,,2200.44,0.0,0.0,,
2020-04-14,Montserrat,11,0,0,0,,,,2200.44,0.0,0.0,,
2020-04-15,Montserrat,11,0,0,0,,,,2200.44,0.0,0.0,,
2020-04-16,Montserrat,11,0,0,0,,,,2200.44,0.0,0.0,,
2020-04-17,Montserrat,11,0,0,0,,,,2200.44,0.0,0.0,,
2020-04-18,Montserrat,11,0,0,0,,,,2200.44,0.0,0.0,,
2020-04-19,Montserrat,11,0,0,0,,,,2200.44,0.0,0.0,,
2020-04-20,Montserrat,11,0,0,0,,,,2200.44,0.0,0.0,,
2020-04-21,Montserrat,11,0,0,0,,,,2200.44,0.0,0.0,,
