Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-02,0,0,0,0,,,,,,,29.0
2020-03-03,1,1,0,0,,,,0.027000000000000003,0.0,0.0,33.0
2020-03-04,0,0,0,0,,,,,,,35.0
2020-03-05,0,0,0,0,,,,,,,42.0
2020-03-06,2,1,0,0,,,,0.054000000000000006,0.0,0.0,52.0
2020-03-07,0,0,0,0,,,,,,,57.0
2020-03-09,0,0,0,0,,,,,,,62.0
2020-03-10,0,0,0,0,,,,,,,66.0
2020-03-11,0,0,0,0,,,,,,,84.0
2020-03-12,5,3,1,1,,,,0.135,0.027000000000000003,0.027000000000000003,
2020-03-13,6,1,1,0,,,,0.163,0.027000000000000003,0.0,101.0
2020-03-14,7,1,1,0,,,,0.19,0.027000000000000003,0.0,
2020-03-15,18,11,1,0,,,,0.488,0.027000000000000003,0.0,150.0
2020-03-16,28,10,1,0,,,,0.759,0.027000000000000003,0.0,
2020-03-17,37,9,1,0,,,,1.002,0.027000000000000003,0.0,
2020-03-18,44,7,2,1,,,,1.192,0.054000000000000006,0.027000000000000003,317.0
2020-03-19,54,10,2,0,,,,1.463,0.054000000000000006,0.0,370.0
2020-03-20,63,9,2,0,,,,1.7069999999999999,0.054000000000000006,0.0,464.0
2020-03-21,86,23,3,1,,,,2.33,0.081,0.027000000000000003,537.0
2020-03-22,96,10,3,0,,,,2.6010000000000004,0.081,0.0,627.0
2020-03-23,115,19,4,1,,,,3.116,0.10800000000000001,0.027000000000000003,786.0
2020-03-24,134,19,4,0,,,,3.63,0.10800000000000001,0.0,855.0
2020-03-25,170,36,5,1,,,,4.606,0.135,0.027000000000000003,995.0
2020-03-26,225,55,6,1,,,,6.096,0.163,0.027000000000000003,1206.0
2020-03-27,275,50,10,4,,,,7.45,0.271,0.10800000000000001,1768.0
2020-03-28,345,70,23,13,,,,9.347000000000001,0.623,0.35200000000000004,1976.0
2020-03-29,358,13,23,0,,,,9.699,0.623,0.0,2273.0
2020-03-30,479,121,26,3,,,,12.977,0.7040000000000001,0.081,2751.0
2020-03-31,556,77,33,7,,,,15.062999999999999,0.894,0.19,3079.0
2020-04-01,617,61,36,3,,,,16.715999999999998,0.975,0.081,3345.0
2020-04-02,654,37,39,3,,,,17.719,1.057,0.081,3624.0
2020-04-03,708,54,44,5,,,,19.182000000000002,1.192,0.135,3910.0
2020-04-04,708,0,44,0,,,,19.182000000000002,1.192,0.0,4321.0
2020-04-05,919,211,59,15,,,,24.898000000000003,1.598,0.406,4848.0
2020-04-06,1021,102,70,11,,,,27.660999999999998,1.896,0.298,5104.0
2020-04-07,1120,99,80,10,,,,30.344,2.167,0.271,5437.0
2020-04-08,1184,64,90,10,,,,32.078,2.438,0.271,5752.0
2020-04-09,1275,91,93,3,,,,34.543,2.52,0.081,6383.0
2020-04-10,1374,99,97,4,,,,37.225,2.628,0.10800000000000001,7239.0
2020-04-11,1448,74,107,10,,,,39.23,2.8989999999999996,0.271,7948.0
2020-04-12,1545,97,111,4,,,,41.858000000000004,3.0069999999999997,0.10800000000000001,8604.0
2020-04-13,1661,116,118,7,,,,45.001000000000005,3.197,0.19,9128.0
2020-04-14,1763,102,126,8,,,,47.763999999999996,3.4139999999999997,0.217,9922.0
2020-04-15,1888,125,126,0,,,,51.151,3.4139999999999997,0.0,10650.0
2020-04-16,2024,136,127,1,,,,54.835,3.4410000000000003,0.027000000000000003,11996.0
2020-04-17,2283,259,130,3,,,,61.852,3.522,0.081,12952.0
2020-04-18,2564,281,135,5,,,,69.465,3.657,0.135,13689.0
2020-04-19,2685,121,137,2,,,,72.743,3.7119999999999997,0.054000000000000006,15123.0
2020-04-20,2855,170,141,4,,,,77.34899999999999,3.82,0.10800000000000001,16386.0
2020-04-21,3046,191,143,2,,,,82.524,3.8739999999999997,0.054000000000000006,18100.0
2020-04-22,3209,163,145,2,,,,86.94,3.928,0.054000000000000006,19885.0
2020-04-23,3377,168,149,4,,,,91.491,4.037,0.10800000000000001,21947.0
2020-04-24,3568,191,155,6,,,,96.666,4.199,0.163,23933.0
2020-04-25,3758,190,158,3,,,,101.814,4.281000000000001,0.081,25443.0
2020-04-26,3897,139,159,1,,,,105.58,4.308,0.027000000000000003,27399.0
2020-04-27,4065,168,161,2,,,,110.131,4.362,0.054000000000000006,29254.0
2020-04-28,4120,55,162,1,,,,111.62100000000001,4.388999999999999,0.027000000000000003,31250.0
2020-04-29,4252,132,165,3,,,,115.197,4.47,0.081,32930.0
