Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-03,Morocco,1,1,0,0,,,,0.027000000000000003,0.0,0.0,,
2020-03-06,Morocco,2,1,0,0,,,,0.054000000000000006,0.0,0.0,,
2020-03-12,Morocco,5,3,1,1,,,,0.135,0.027000000000000003,0.027000000000000003,,
2020-03-13,Morocco,6,1,1,0,,,,0.163,0.027000000000000003,0.0,,
2020-03-14,Morocco,7,1,1,0,,,,0.19,0.027000000000000003,0.0,,
2020-03-15,Morocco,18,11,1,0,,,,0.488,0.027000000000000003,0.0,,
2020-03-16,Morocco,28,10,1,0,,,,0.759,0.027000000000000003,0.0,,
2020-03-17,Morocco,37,9,1,0,,,,1.002,0.027000000000000003,0.0,,
2020-03-18,Morocco,44,7,2,1,,,,1.192,0.054000000000000006,0.027000000000000003,,
2020-03-19,Morocco,54,10,2,0,,,,1.463,0.054000000000000006,0.0,,
2020-03-20,Morocco,63,9,2,0,,,,1.7069999999999999,0.054000000000000006,0.0,,
2020-03-21,Morocco,86,23,3,1,,,,2.33,0.081,0.027000000000000003,,
2020-03-22,Morocco,96,10,3,0,,,,2.6010000000000004,0.081,0.0,,
2020-03-23,Morocco,115,19,4,1,,,,3.116,0.10800000000000001,0.027000000000000003,,
2020-03-24,Morocco,134,19,4,0,,,,3.63,0.10800000000000001,0.0,,
2020-03-25,Morocco,170,36,5,1,,,,4.606,0.135,0.027000000000000003,,
2020-03-26,Morocco,225,55,6,1,,,,6.096,0.163,0.027000000000000003,,
2020-03-27,Morocco,275,50,10,4,,,,7.45,0.271,0.10800000000000001,,
2020-03-28,Morocco,345,70,23,13,,,,9.347000000000001,0.623,0.35200000000000004,,
2020-03-29,Morocco,358,13,23,0,,,,9.699,0.623,0.0,,
2020-03-30,Morocco,479,121,26,3,,,,12.977,0.7040000000000001,0.081,,
2020-03-31,Morocco,556,77,33,7,,,,15.062999999999999,0.894,0.19,,
2020-04-01,Morocco,617,61,36,3,,,,16.715999999999998,0.975,0.081,,
2020-04-02,Morocco,654,37,39,3,,,,17.719,1.057,0.081,,
2020-04-03,Morocco,708,54,44,5,,,,19.182000000000002,1.192,0.135,,
2020-04-04,Morocco,708,0,44,0,,,,19.182000000000002,1.192,0.0,,
2020-04-05,Morocco,919,211,59,15,,,,24.898000000000003,1.598,0.406,,
2020-04-06,Morocco,1021,102,70,11,,,,27.660999999999998,1.896,0.298,,
2020-04-07,Morocco,1120,99,80,10,,,,30.344,2.167,0.271,,
2020-04-08,Morocco,1184,64,90,10,,,,32.078,2.438,0.271,,
2020-04-09,Morocco,1275,91,93,3,,,,34.543,2.52,0.081,,
2020-04-10,Morocco,1374,99,97,4,,,,37.225,2.628,0.10800000000000001,,
2020-04-11,Morocco,1448,74,107,10,,,,39.23,2.8989999999999996,0.271,,
2020-04-12,Morocco,1545,97,111,4,,,,41.858000000000004,3.0069999999999997,0.10800000000000001,,
2020-04-13,Morocco,1661,116,118,7,,,,45.001000000000005,3.197,0.19,,
2020-04-14,Morocco,1763,102,126,8,,,,47.763999999999996,3.4139999999999997,0.217,,
2020-04-15,Morocco,1888,125,126,0,,,,51.151,3.4139999999999997,0.0,,
2020-04-16,Morocco,2024,136,127,1,,,,54.835,3.4410000000000003,0.027000000000000003,,
2020-04-17,Morocco,2283,259,130,3,,,,61.852,3.522,0.081,,
2020-04-18,Morocco,2564,281,135,5,,,,69.465,3.657,0.135,,
2020-04-19,Morocco,2685,121,137,2,,,,72.743,3.7119999999999997,0.054000000000000006,,
2020-04-20,Morocco,2855,170,141,4,,,,77.34899999999999,3.82,0.10800000000000001,,
2020-04-21,Morocco,3046,191,143,2,,,,82.524,3.8739999999999997,0.054000000000000006,,
