Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-23,1,1,0,0,,,,0.032,0.0,0.0,
2020-03-24,1,0,0,0,,,,0.032,0.0,0.0,
2020-03-25,1,0,0,0,,,,0.032,0.0,0.0,
2020-03-26,5,4,0,0,,,,0.16,0.0,0.0,
2020-03-27,7,2,0,0,,,,0.22399999999999998,0.0,0.0,
2020-03-28,7,0,0,0,,,,0.22399999999999998,0.0,0.0,
2020-03-29,8,1,0,0,,,,0.256,0.0,0.0,
2020-03-30,8,0,0,0,,,,0.256,0.0,0.0,
2020-03-31,8,0,0,0,,,,0.256,0.0,0.0,
2020-04-01,8,0,0,0,,,,0.256,0.0,0.0,
2020-04-02,10,2,0,0,,,,0.32,0.0,0.0,
2020-04-03,10,0,0,0,,,,0.32,0.0,0.0,
2020-04-04,10,0,0,0,,,,0.32,0.0,0.0,
2020-04-05,10,0,0,0,,,,0.32,0.0,0.0,
2020-04-06,10,0,0,0,,,,0.32,0.0,0.0,
2020-04-07,10,0,0,0,,,,0.32,0.0,0.0,
2020-04-08,10,0,0,0,,,,0.32,0.0,0.0,
2020-04-09,17,7,0,0,,,,0.544,0.0,0.0,
2020-04-10,17,0,0,0,,,,0.544,0.0,0.0,
2020-04-11,20,3,0,0,,,,0.64,0.0,0.0,
2020-04-12,20,0,0,0,,,,0.64,0.0,0.0,
2020-04-13,21,1,0,0,,,,0.672,0.0,0.0,
2020-04-14,27,6,0,0,,,,0.8640000000000001,0.0,0.0,
2020-04-15,28,1,0,0,,,,0.8959999999999999,0.0,0.0,
2020-04-16,29,1,0,0,,,,0.9279999999999999,0.0,0.0,
2020-04-17,31,2,0,0,,,,0.992,0.0,0.0,
2020-04-18,34,3,0,0,,,,1.088,0.0,0.0,
2020-04-19,35,1,0,0,,,,1.12,0.0,0.0,
2020-04-20,39,4,0,0,,,,1.248,0.0,0.0,
2020-04-21,39,0,0,0,,,,1.248,0.0,0.0,
2020-04-22,39,0,0,0,,,,1.248,0.0,0.0,
2020-04-23,41,2,0,0,,,,1.3119999999999998,0.0,0.0,
2020-04-24,46,5,0,0,,,,1.472,0.0,0.0,
2020-04-25,65,19,0,0,,,,2.08,0.0,0.0,
2020-04-26,70,5,0,0,,,,2.24,0.0,0.0,
2020-04-27,76,6,0,0,,,,2.432,0.0,0.0,
2020-04-28,76,0,0,0,,,,2.432,0.0,0.0,
2020-04-29,76,0,0,0,,,,2.432,0.0,0.0,
