Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-23,Mozambique,1,1,0,0,,,,0.032,0.0,0.0,,
2020-03-24,Mozambique,1,0,0,0,,,,0.032,0.0,0.0,,
2020-03-25,Mozambique,1,0,0,0,,,,0.032,0.0,0.0,,
2020-03-26,Mozambique,5,4,0,0,,,,0.16,0.0,0.0,,
2020-03-27,Mozambique,7,2,0,0,,,,0.22399999999999998,0.0,0.0,,
2020-03-28,Mozambique,7,0,0,0,,,,0.22399999999999998,0.0,0.0,,
2020-03-29,Mozambique,8,1,0,0,,,,0.256,0.0,0.0,,
2020-03-30,Mozambique,8,0,0,0,,,,0.256,0.0,0.0,,
2020-03-31,Mozambique,8,0,0,0,,,,0.256,0.0,0.0,,
2020-04-01,Mozambique,8,0,0,0,,,,0.256,0.0,0.0,,
2020-04-02,Mozambique,10,2,0,0,,,,0.32,0.0,0.0,,
2020-04-03,Mozambique,10,0,0,0,,,,0.32,0.0,0.0,,
2020-04-04,Mozambique,10,0,0,0,,,,0.32,0.0,0.0,,
2020-04-05,Mozambique,10,0,0,0,,,,0.32,0.0,0.0,,
2020-04-06,Mozambique,10,0,0,0,,,,0.32,0.0,0.0,,
2020-04-07,Mozambique,10,0,0,0,,,,0.32,0.0,0.0,,
2020-04-08,Mozambique,10,0,0,0,,,,0.32,0.0,0.0,,
2020-04-09,Mozambique,17,7,0,0,,,,0.544,0.0,0.0,,
2020-04-10,Mozambique,17,0,0,0,,,,0.544,0.0,0.0,,
2020-04-11,Mozambique,20,3,0,0,,,,0.64,0.0,0.0,,
2020-04-12,Mozambique,20,0,0,0,,,,0.64,0.0,0.0,,
2020-04-13,Mozambique,21,1,0,0,,,,0.672,0.0,0.0,,
2020-04-14,Mozambique,27,6,0,0,,,,0.8640000000000001,0.0,0.0,,
2020-04-15,Mozambique,28,1,0,0,,,,0.8959999999999999,0.0,0.0,,
2020-04-16,Mozambique,29,1,0,0,,,,0.9279999999999999,0.0,0.0,,
2020-04-17,Mozambique,31,2,0,0,,,,0.992,0.0,0.0,,
2020-04-18,Mozambique,34,3,0,0,,,,1.088,0.0,0.0,,
2020-04-19,Mozambique,35,1,0,0,,,,1.12,0.0,0.0,,
2020-04-20,Mozambique,39,4,0,0,,,,1.248,0.0,0.0,,
2020-04-21,Mozambique,39,0,0,0,,,,1.248,0.0,0.0,,
