Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-03-24,2,2,0,0,,,,0.037000000000000005,0.0,0.0,
2020-03-25,3,1,0,0,,,,0.055,0.0,0.0,
2020-03-26,3,0,0,0,,,,0.055,0.0,0.0,
2020-03-27,5,2,0,0,,,,0.092,0.0,0.0,
2020-03-28,5,0,0,0,,,,0.092,0.0,0.0,
2020-03-29,8,3,0,0,,,,0.147,0.0,0.0,
2020-03-30,8,0,0,0,,,,0.147,0.0,0.0,
2020-03-31,14,6,0,0,,,,0.257,0.0,0.0,
2020-04-01,15,1,1,1,,,,0.276,0.018000000000000002,0.018000000000000002,
2020-04-02,16,1,1,0,,,,0.294,0.018000000000000002,0.0,
2020-04-03,20,4,1,0,,,,0.368,0.018000000000000002,0.0,1183.0
2020-04-04,20,0,1,0,,,,0.368,0.018000000000000002,0.0,1246.0
2020-04-05,21,1,1,0,,,,0.386,0.018000000000000002,0.0,
2020-04-06,21,0,1,0,,,,0.386,0.018000000000000002,0.0,1340.0
2020-04-07,22,1,1,0,,,,0.40399999999999997,0.018000000000000002,0.0,
2020-04-08,22,0,1,0,,,,0.40399999999999997,0.018000000000000002,0.0,1406.0
2020-04-09,22,0,3,2,,,,0.40399999999999997,0.055,0.037000000000000005,1543.0
2020-04-10,27,5,3,0,,,,0.496,0.055,0.0,1619.0
2020-04-11,28,1,3,0,,,,0.515,0.055,0.0,1849.0
2020-04-12,31,3,3,0,,,,0.57,0.055,0.0,2134.0
2020-04-13,41,10,4,1,,,,0.754,0.07400000000000001,0.018000000000000002,2443.0
2020-04-14,62,21,4,0,,,,1.14,0.07400000000000001,0.0,2803.0
2020-04-15,74,12,4,0,,,,1.36,0.07400000000000001,0.0,3236.0
2020-04-16,74,0,4,0,,,,1.36,0.07400000000000001,0.0,
2020-04-17,85,11,4,0,,,,1.5619999999999998,0.07400000000000001,0.0,3880.0
2020-04-18,94,9,5,1,,,,1.7280000000000002,0.092,0.018000000000000002,4147.0
2020-04-19,107,13,5,0,,,,1.9669999999999999,0.092,0.0,4517.0
2020-04-20,111,4,5,0,,,,2.04,0.092,0.0,4919.0
2020-04-21,119,8,5,0,,,,2.187,0.092,0.0,5195.0
2020-04-22,121,2,5,0,,,,2.224,0.092,0.0,5446.0
2020-04-23,127,6,5,0,,,,2.334,0.092,0.0,5774.0
2020-04-24,132,5,5,0,,,,2.426,0.092,0.0,6115.0
2020-04-25,144,12,5,0,,,,2.647,0.092,0.0,6531.0
2020-04-26,146,2,5,0,,,,2.6830000000000003,0.092,0.0,6678.0
2020-04-27,146,0,5,0,,,,2.6830000000000003,0.092,0.0,7215.0
2020-04-28,146,0,5,0,,,,2.6830000000000003,0.092,0.0,7608.0
2020-04-29,150,4,5,0,,,,2.7569999999999997,0.092,0.0,7718.0
