Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-17,Myanmar,0,0,0,0,,,,0.0,0.0,0.0,,
2020-03-24,Myanmar,2,2,0,0,,,,0.037000000000000005,0.0,0.0,,
2020-03-25,Myanmar,3,1,0,0,,,,0.055,0.0,0.0,,
2020-03-26,Myanmar,3,0,0,0,,,,0.055,0.0,0.0,,
2020-03-27,Myanmar,5,2,0,0,,,,0.092,0.0,0.0,,
2020-03-28,Myanmar,5,0,0,0,,,,0.092,0.0,0.0,,
2020-03-29,Myanmar,8,3,0,0,,,,0.147,0.0,0.0,,
2020-03-30,Myanmar,8,0,0,0,,,,0.147,0.0,0.0,,
2020-03-31,Myanmar,14,6,0,0,,,,0.257,0.0,0.0,,
2020-04-01,Myanmar,15,1,1,1,,,,0.276,0.018000000000000002,0.018000000000000002,,
2020-04-02,Myanmar,16,1,1,0,,,,0.294,0.018000000000000002,0.0,,
2020-04-03,Myanmar,20,4,1,0,,,,0.368,0.018000000000000002,0.0,,
2020-04-04,Myanmar,20,0,1,0,,,,0.368,0.018000000000000002,0.0,,
2020-04-05,Myanmar,21,1,1,0,,,,0.386,0.018000000000000002,0.0,,
2020-04-06,Myanmar,21,0,1,0,,,,0.386,0.018000000000000002,0.0,,
2020-04-07,Myanmar,22,1,1,0,,,,0.40399999999999997,0.018000000000000002,0.0,,
2020-04-08,Myanmar,22,0,1,0,,,,0.40399999999999997,0.018000000000000002,0.0,,
2020-04-09,Myanmar,22,0,3,2,,,,0.40399999999999997,0.055,0.037000000000000005,,
2020-04-10,Myanmar,27,5,3,0,,,,0.496,0.055,0.0,,
2020-04-11,Myanmar,28,1,3,0,,,,0.515,0.055,0.0,,
2020-04-12,Myanmar,31,3,3,0,,,,0.57,0.055,0.0,,
2020-04-13,Myanmar,41,10,4,1,,,,0.754,0.07400000000000001,0.018000000000000002,,
2020-04-14,Myanmar,62,21,4,0,,,,1.14,0.07400000000000001,0.0,,
2020-04-15,Myanmar,74,12,4,0,,,,1.36,0.07400000000000001,0.0,,
2020-04-16,Myanmar,74,0,4,0,,,,1.36,0.07400000000000001,0.0,,
2020-04-17,Myanmar,85,11,4,0,,,,1.5619999999999998,0.07400000000000001,0.0,,
2020-04-18,Myanmar,94,9,5,1,,,,1.7280000000000002,0.092,0.018000000000000002,,
2020-04-19,Myanmar,107,13,5,0,,,,1.9669999999999999,0.092,0.0,,
2020-04-20,Myanmar,111,4,5,0,,,,2.04,0.092,0.0,,
2020-04-21,Myanmar,119,8,5,0,,,,2.187,0.092,0.0,,
