Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-15,2,2,0,0,,,,0.787,0.0,0.0,
2020-03-16,2,0,0,0,,,,0.787,0.0,0.0,
2020-03-17,2,0,0,0,,,,0.787,0.0,0.0,
2020-03-18,2,0,0,0,,,,0.787,0.0,0.0,
2020-03-19,2,0,0,0,,,,0.787,0.0,0.0,
2020-03-20,2,0,0,0,,,,0.787,0.0,0.0,
2020-03-21,3,1,0,0,,,,1.181,0.0,0.0,
2020-03-22,3,0,0,0,,,,1.181,0.0,0.0,
2020-03-23,3,0,0,0,,,,1.181,0.0,0.0,
2020-03-24,3,0,0,0,,,,1.181,0.0,0.0,
2020-03-25,3,0,0,0,,,,1.181,0.0,0.0,
2020-03-26,4,1,0,0,,,,1.574,0.0,0.0,
2020-03-27,8,4,0,0,,,,3.148,0.0,0.0,
2020-03-28,8,0,0,0,,,,3.148,0.0,0.0,
2020-03-29,8,0,0,0,,,,3.148,0.0,0.0,
2020-03-30,11,3,0,0,,,,4.329,0.0,0.0,
2020-03-31,11,0,0,0,,,,4.329,0.0,0.0,
2020-04-01,11,0,0,0,,,,4.329,0.0,0.0,
2020-04-02,13,2,0,0,,,,5.1160000000000005,0.0,0.0,
2020-04-03,13,0,0,0,,,,5.1160000000000005,0.0,0.0,
2020-04-04,14,1,0,0,,,,5.51,0.0,0.0,
2020-04-05,14,0,0,0,,,,5.51,0.0,0.0,
2020-04-06,16,2,0,0,,,,6.297000000000001,0.0,0.0,
2020-04-07,16,0,0,0,,,,6.297000000000001,0.0,0.0,
2020-04-08,16,0,0,0,,,,6.297000000000001,0.0,0.0,
2020-04-09,16,0,0,0,,,,6.297000000000001,0.0,0.0,
2020-04-10,16,0,0,0,,,,6.297000000000001,0.0,0.0,
2020-04-11,16,0,0,0,,,,6.297000000000001,0.0,0.0,
2020-04-12,16,0,0,0,,,,6.297000000000001,0.0,0.0,
2020-04-13,16,0,0,0,,,,6.297000000000001,0.0,0.0,
2020-04-14,16,0,0,0,,,,6.297000000000001,0.0,0.0,
2020-04-15,16,0,0,0,,,,6.297000000000001,0.0,0.0,
2020-04-16,16,0,0,0,,,,6.297000000000001,0.0,0.0,
2020-04-17,16,0,0,0,,,,6.297000000000001,0.0,0.0,
2020-04-18,16,0,0,0,,,,6.297000000000001,0.0,0.0,
2020-04-19,16,0,0,0,,,,6.297000000000001,0.0,0.0,
2020-04-20,16,0,0,0,,,,6.297000000000001,0.0,0.0,
2020-04-21,16,0,0,0,,,,6.297000000000001,0.0,0.0,
2020-04-22,16,0,0,0,,,,6.297000000000001,0.0,0.0,
2020-04-23,16,0,0,0,,,,6.297000000000001,0.0,0.0,
2020-04-24,16,0,0,0,,,,6.297000000000001,0.0,0.0,
2020-04-25,16,0,0,0,,,,6.297000000000001,0.0,0.0,
2020-04-26,16,0,0,0,,,,6.297000000000001,0.0,0.0,
2020-04-27,16,0,0,0,,,,6.297000000000001,0.0,0.0,
2020-04-28,16,0,0,0,,,,6.297000000000001,0.0,0.0,
2020-04-29,16,0,0,0,,,,6.297000000000001,0.0,0.0,
