Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,1,1,0,0,,,,0.034,0.0,0.0,
2020-01-26,1,0,0,0,,,,0.034,0.0,0.0,
2020-01-27,1,0,0,0,,,,0.034,0.0,0.0,
2020-01-28,1,0,0,0,,,,0.034,0.0,0.0,3.0
2020-01-29,1,0,0,0,,,,0.034,0.0,0.0,4.0
2020-01-30,1,0,0,0,,,,0.034,0.0,0.0,5.0
2020-01-31,1,0,0,0,,,,0.034,0.0,0.0,
2020-02-01,1,0,0,0,,,,0.034,0.0,0.0,
2020-02-02,1,0,0,0,,,,0.034,0.0,0.0,
2020-02-03,1,0,0,0,,,,0.034,0.0,0.0,
2020-02-04,1,0,0,0,,,,0.034,0.0,0.0,14.0
2020-02-05,1,0,0,0,,,,0.034,0.0,0.0,
2020-02-06,1,0,0,0,,,,0.034,0.0,0.0,18.0
2020-02-07,1,0,0,0,,,,0.034,0.0,0.0,
2020-02-08,1,0,0,0,,,,0.034,0.0,0.0,
2020-02-09,1,0,0,0,,,,0.034,0.0,0.0,
2020-02-10,1,0,0,0,,,,0.034,0.0,0.0,
2020-02-11,1,0,0,0,,,,0.034,0.0,0.0,
2020-02-12,1,0,0,0,,,,0.034,0.0,0.0,20.0
2020-02-13,1,0,0,0,,,,0.034,0.0,0.0,24.0
2020-02-14,1,0,0,0,,,,0.034,0.0,0.0,
2020-02-15,1,0,0,0,,,,0.034,0.0,0.0,
2020-02-16,1,0,0,0,,,,0.034,0.0,0.0,34.0
2020-02-17,1,0,0,0,,,,0.034,0.0,0.0,
2020-02-18,1,0,0,0,,,,0.034,0.0,0.0,35.0
2020-02-19,1,0,0,0,,,,0.034,0.0,0.0,210.0
2020-02-20,1,0,0,0,,,,0.034,0.0,0.0,212.0
2020-02-21,1,0,0,0,,,,0.034,0.0,0.0,
2020-02-22,1,0,0,0,,,,0.034,0.0,0.0,
2020-02-23,1,0,0,0,,,,0.034,0.0,0.0,216.0
2020-02-24,1,0,0,0,,,,0.034,0.0,0.0,217.0
2020-02-25,1,0,0,0,,,,0.034,0.0,0.0,221.0
2020-02-26,1,0,0,0,,,,0.034,0.0,0.0,222.0
2020-02-27,1,0,0,0,,,,0.034,0.0,0.0,
2020-02-28,1,0,0,0,,,,0.034,0.0,0.0,224.0
2020-02-29,1,0,0,0,,,,0.034,0.0,0.0,
2020-03-01,1,0,0,0,,,,0.034,0.0,0.0,243.0
2020-03-02,1,0,0,0,,,,0.034,0.0,0.0,425.0
2020-03-03,0,0,0,0,,,,,,,433.0
2020-03-06,0,0,0,0,,,,,,,437.0
2020-03-10,0,0,0,0,,,,,,,445.0
2020-03-11,0,0,0,0,,,,,,,447.0
2020-03-12,0,0,0,0,,,,,,,450.0
2020-03-13,0,0,0,0,,,,,,,456.0
2020-03-15,1,0,0,0,,,,0.034,0.0,0.0,467.0
2020-03-16,0,0,0,0,,,,,,,478.0
2020-03-17,1,0,0,0,,,,0.034,0.0,0.0,496.0
2020-03-18,1,0,0,0,,,,0.034,0.0,0.0,512.0
2020-03-19,1,0,0,0,,,,0.034,0.0,0.0,529.0
2020-03-20,1,0,0,0,,,,0.034,0.0,0.0,546.0
2020-03-21,1,0,0,0,,,,0.034,0.0,0.0,
2020-03-22,1,0,0,0,,,,0.034,0.0,0.0,572.0
2020-03-23,1,0,0,0,,,,0.034,0.0,0.0,609.0
2020-03-24,2,1,0,0,,,,0.069,0.0,0.0,610.0
2020-03-25,3,1,0,0,,,,0.10300000000000001,0.0,0.0,687.0
2020-03-26,3,0,0,0,,,,0.10300000000000001,0.0,0.0,758.0
2020-03-27,3,0,0,0,,,,0.10300000000000001,0.0,0.0,802.0
2020-03-28,3,0,0,0,,,,0.10300000000000001,0.0,0.0,875.0
2020-03-29,5,2,0,0,,,,0.172,0.0,0.0,917.0
2020-03-30,5,0,0,0,,,,0.172,0.0,0.0,993.0
2020-03-31,5,0,0,0,,,,0.172,0.0,0.0,1060.0
2020-04-01,5,0,0,0,,,,0.172,0.0,0.0,1145.0
2020-04-02,5,0,0,0,,,,0.172,0.0,0.0,1185.0
2020-04-03,5,0,0,0,,,,0.172,0.0,0.0,1308.0
