Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-24,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-25,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-26,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-27,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-28,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-29,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-30,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-31,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-01,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-02,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-03,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-04,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-05,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-06,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-07,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-08,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-09,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-10,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-11,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-12,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-13,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-14,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-15,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-16,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-17,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-18,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-19,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-20,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-21,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-22,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-23,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-24,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-25,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-26,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-27,Netherlands,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-28,Netherlands,1,1,0,0,,,,0.057999999999999996,0.0,0.0,,
2020-02-29,Netherlands,2,1,0,0,,,,0.11699999999999999,0.0,0.0,,
2020-03-01,Netherlands,7,5,0,0,,,,0.409,0.0,0.0,,
2020-03-02,Netherlands,13,6,0,0,,,,0.759,0.0,0.0,,
2020-03-03,Netherlands,18,5,0,0,,,,1.05,0.0,0.0,,
2020-03-04,Netherlands,28,10,0,0,,,,1.6340000000000001,0.0,0.0,,
2020-03-05,Netherlands,38,10,0,0,,,,2.218,0.0,0.0,,
2020-03-06,Netherlands,82,44,0,0,,,,4.7860000000000005,0.0,0.0,,
2020-03-07,Netherlands,128,46,1,1,,,,7.47,0.057999999999999996,0.057999999999999996,,
2020-03-08,Netherlands,188,60,1,0,,,,10.972000000000001,0.057999999999999996,0.0,,
2020-03-09,Netherlands,265,77,3,2,,,,15.466,0.175,0.11699999999999999,,
2020-03-10,Netherlands,321,56,3,0,,,,18.734,0.175,0.0,,
