Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-28,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-29,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-30,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-28,1,1,0,0,,,,0.207,0.0,0.0,
2020-02-29,1,0,0,0,,,,0.207,0.0,0.0,
2020-03-01,1,0,0,0,,,,0.207,0.0,0.0,
2020-03-02,1,0,0,0,,,,0.207,0.0,0.0,
2020-03-04,2,1,0,0,,,,0.415,0.0,0.0,
2020-03-05,3,1,0,0,,,,0.622,0.0,0.0,
2020-03-06,4,1,0,0,,,,0.8290000000000001,0.0,0.0,
2020-03-07,5,1,0,0,,,,1.037,0.0,0.0,
2020-03-09,0,0,0,0,,,,,,,312.0
2020-03-10,0,0,0,0,,,,,,,401.0
2020-03-11,0,0,0,0,,,,,,,484.0
2020-03-12,0,0,0,0,,,,,,,515.0
2020-03-13,0,0,0,0,,,,,,,550.0
2020-03-14,6,1,0,0,,,,1.244,0.0,0.0,584.0
2020-03-15,8,2,0,0,,,,1.659,0.0,0.0,726.0
2020-03-16,0,0,0,0,,,,,,,1051.0
2020-03-17,0,0,0,0,,,,,,,1710.0
2020-03-18,20,12,0,0,,,,4.147,0.0,0.0,2919.0
2020-03-19,28,8,0,0,,,,5.806,0.0,0.0,4210.0
2020-03-20,39,11,0,0,,,,8.088,0.0,0.0,5764.0
2020-03-21,53,14,0,0,,,,10.991,0.0,0.0,6940.0
2020-03-22,66,13,0,0,,,,13.687000000000001,0.0,0.0,8196.0
2020-03-23,102,36,0,0,,,,21.151999999999997,0.0,0.0,9246.0
2020-03-24,142,40,0,0,,,,29.447,0.0,0.0,10790.0
2020-03-25,189,47,0,0,,,,39.193000000000005,0.0,0.0,13382.0
2020-03-26,262,73,0,0,,,,54.332,0.0,0.0,15499.0
2020-03-27,338,76,0,0,,,,70.092,0.0,0.0,17566.0
2020-03-28,416,78,0,0,,,,86.26700000000001,0.0,0.0,19375.0
2020-03-29,476,60,1,1,,,,98.709,0.207,0.207,20293.0
2020-03-30,552,76,1,0,,,,114.47,0.207,0.0,21684.0
2020-03-31,647,95,1,0,,,,134.17,0.207,0.0,23777.0
2020-04-01,647,0,1,0,,,,134.17,0.207,0.0,26339.0
