Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-24,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-25,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-26,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-27,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-28,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-29,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-30,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-31,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-01,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-02,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-03,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-04,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-05,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-06,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-07,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-08,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-09,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-10,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-11,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-12,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-13,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-14,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-15,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-16,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-17,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-18,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-19,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-20,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-21,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-22,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-23,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-24,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-25,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-26,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-27,New Zealand,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-28,New Zealand,1,1,0,0,,,,0.207,0.0,0.0,,
2020-02-29,New Zealand,1,0,0,0,,,,0.207,0.0,0.0,,
2020-03-01,New Zealand,1,0,0,0,,,,0.207,0.0,0.0,,
2020-03-02,New Zealand,1,0,0,0,,,,0.207,0.0,0.0,,
2020-03-04,New Zealand,2,1,0,0,,,,0.415,0.0,0.0,,
2020-03-05,New Zealand,3,1,0,0,,,,0.622,0.0,0.0,,
2020-03-06,New Zealand,4,1,0,0,,,,0.8290000000000001,0.0,0.0,,
2020-03-07,New Zealand,5,1,0,0,,,,1.037,0.0,0.0,,
2020-03-09,New Zealand,0,0,0,0,,,,,,,312.0,
2020-03-10,New Zealand,0,0,0,0,,,,,,,401.0,
2020-03-11,New Zealand,0,0,0,0,,,,,,,484.0,
2020-03-12,New Zealand,0,0,0,0,,,,,,,515.0,
2020-03-13,New Zealand,0,0,0,0,,,,,,,550.0,
2020-03-14,New Zealand,6,1,0,0,,,,1.244,0.0,0.0,584.0,
2020-03-15,New Zealand,8,2,0,0,,,,1.659,0.0,0.0,726.0,
2020-03-16,New Zealand,0,0,0,0,,,,,,,1051.0,
2020-03-17,New Zealand,0,0,0,0,,,,,,,1710.0,
2020-03-18,New Zealand,20,12,0,0,,,,4.147,0.0,0.0,2919.0,
2020-03-19,New Zealand,28,8,0,0,,,,5.806,0.0,0.0,4210.0,
2020-03-20,New Zealand,39,11,0,0,,,,8.088,0.0,0.0,5764.0,
2020-03-21,New Zealand,53,14,0,0,,,,10.991,0.0,0.0,6940.0,
2020-03-22,New Zealand,66,13,0,0,,,,13.687000000000001,0.0,0.0,8196.0,
2020-03-23,New Zealand,102,36,0,0,,,,21.151999999999997,0.0,0.0,9246.0,
2020-03-24,New Zealand,142,40,0,0,,,,29.447,0.0,0.0,10790.0,
2020-03-25,New Zealand,189,47,0,0,,,,39.193000000000005,0.0,0.0,13382.0,
2020-03-26,New Zealand,262,73,0,0,,,,54.332,0.0,0.0,15499.0,
