Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-19,1,1,0,0,,,,0.151,0.0,0.0,
2020-03-20,1,0,0,0,,,,0.151,0.0,0.0,
2020-03-21,2,1,0,0,,,,0.302,0.0,0.0,
2020-03-22,2,0,0,0,,,,0.302,0.0,0.0,
2020-03-23,2,0,0,0,,,,0.302,0.0,0.0,
2020-03-24,2,0,0,0,,,,0.302,0.0,0.0,
2020-03-25,2,0,0,0,,,,0.302,0.0,0.0,
2020-03-26,2,0,0,0,,,,0.302,0.0,0.0,
2020-03-27,2,0,0,0,,,,0.302,0.0,0.0,
2020-03-28,2,0,1,1,,,,0.302,0.151,0.151,
2020-03-29,4,2,1,0,,,,0.604,0.151,0.0,
2020-03-30,4,0,1,0,,,,0.604,0.151,0.0,
2020-03-31,4,0,1,0,,,,0.604,0.151,0.0,
2020-04-01,4,0,1,0,,,,0.604,0.151,0.0,
2020-04-02,5,1,1,0,,,,0.755,0.151,0.0,
2020-04-03,5,0,1,0,,,,0.755,0.151,0.0,
2020-04-04,5,0,1,0,,,,0.755,0.151,0.0,
2020-04-05,5,0,1,0,,,,0.755,0.151,0.0,
2020-04-06,5,0,1,0,,,,0.755,0.151,0.0,
2020-04-07,6,1,1,0,,,,0.9059999999999999,0.151,0.0,
2020-04-08,6,0,1,0,,,,0.9059999999999999,0.151,0.0,
2020-04-09,6,0,1,0,,,,0.9059999999999999,0.151,0.0,
2020-04-10,6,0,1,0,,,,0.9059999999999999,0.151,0.0,
2020-04-11,7,1,1,0,,,,1.057,0.151,0.0,
2020-04-12,7,0,1,0,,,,1.057,0.151,0.0,
2020-04-13,9,2,1,0,,,,1.359,0.151,0.0,
2020-04-14,9,0,1,0,,,,1.359,0.151,0.0,
2020-04-15,9,0,1,0,,,,1.359,0.151,0.0,
2020-04-16,9,0,1,0,,,,1.359,0.151,0.0,
2020-04-17,9,0,1,0,,,,1.359,0.151,0.0,
2020-04-18,9,0,1,0,,,,1.359,0.151,0.0,
2020-04-19,9,0,1,0,,,,1.359,0.151,0.0,
2020-04-20,9,0,1,0,,,,1.359,0.151,0.0,
2020-04-21,9,0,2,1,,,,1.359,0.302,0.151,
2020-04-22,10,1,2,0,,,,1.51,0.302,0.0,
2020-04-23,10,0,2,0,,,,1.51,0.302,0.0,
2020-04-24,10,0,2,0,,,,1.51,0.302,0.0,
2020-04-25,11,1,3,1,,,,1.66,0.45299999999999996,0.151,
2020-04-26,12,1,3,0,,,,1.811,0.45299999999999996,0.0,
2020-04-27,13,1,3,0,,,,1.962,0.45299999999999996,0.0,
2020-04-28,13,0,3,0,,,,1.962,0.45299999999999996,0.0,
2020-04-29,13,0,3,0,,,,1.962,0.45299999999999996,0.0,
