Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-21,1,1,0,0,,,,0.040999999999999995,0.0,0.0,
2020-03-22,1,0,0,0,,,,0.040999999999999995,0.0,0.0,
2020-03-23,1,0,0,0,,,,0.040999999999999995,0.0,0.0,
2020-03-24,2,1,0,0,,,,0.083,0.0,0.0,
2020-03-25,7,5,1,1,,,,0.289,0.040999999999999995,0.040999999999999995,
2020-03-26,7,0,1,0,,,,0.289,0.040999999999999995,0.0,
2020-03-27,10,3,1,0,,,,0.413,0.040999999999999995,0.0,
2020-03-28,10,0,1,0,,,,0.413,0.040999999999999995,0.0,
2020-03-29,10,0,1,0,,,,0.413,0.040999999999999995,0.0,
2020-03-30,10,0,1,0,,,,0.413,0.040999999999999995,0.0,
2020-03-31,20,10,3,2,,,,0.826,0.124,0.083,
2020-04-01,20,0,3,0,,,,0.826,0.124,0.0,
2020-04-02,74,54,5,2,,,,3.057,0.207,0.083,
2020-04-03,74,0,5,0,,,,3.057,0.207,0.0,
2020-04-04,98,24,5,0,,,,4.048,0.207,0.0,
2020-04-05,120,22,5,0,,,,4.957,0.207,0.0,
2020-04-06,184,64,10,5,,,,7.601,0.413,0.207,
2020-04-07,253,69,10,0,,,,10.452,0.413,0.0,
2020-04-08,278,25,11,1,,,,11.484000000000002,0.45399999999999996,0.040999999999999995,
2020-04-09,342,64,11,0,,,,14.128,0.45399999999999996,0.0,
2020-04-10,410,68,11,0,,,,16.938,0.45399999999999996,0.0,
2020-04-11,438,28,11,0,,,,18.094,0.45399999999999996,0.0,
2020-04-12,491,53,11,0,,,,20.284000000000002,0.45399999999999996,0.0,
2020-04-13,529,38,12,1,,,,21.854,0.496,0.040999999999999995,
2020-04-14,548,19,13,1,,,,22.638,0.537,0.040999999999999995,
2020-04-15,570,22,14,1,,,,23.546999999999997,0.578,0.040999999999999995,
2020-04-16,584,14,14,0,,,,24.125999999999998,0.578,0.0,
2020-04-17,609,25,15,1,,,,25.158,0.62,0.040999999999999995,
2020-04-18,627,18,18,3,,,,25.901999999999997,0.7440000000000001,0.124,
2020-04-19,639,12,19,1,,,,26.398000000000003,0.785,0.040999999999999995,
2020-04-20,648,9,20,1,,,,26.77,0.826,0.040999999999999995,
2020-04-21,655,7,20,0,,,,27.059,0.826,0.0,
2020-04-22,655,0,20,0,,,,27.059,0.826,0.0,
2020-04-23,662,7,22,2,,,,27.348000000000003,0.909,0.083,
2020-04-24,671,9,24,2,,,,27.72,0.991,0.083,
2020-04-25,681,10,24,0,,,,28.133000000000003,0.991,0.0,
2020-04-26,684,3,27,3,,,,28.256999999999998,1.115,0.124,
2020-04-27,696,12,29,2,,,,28.752,1.198,0.083,
2020-04-28,701,5,29,0,,,,28.959,1.198,0.0,
2020-04-29,709,8,31,2,,,,29.289,1.281,0.083,
