Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-21,Niger,1,1,0,0,,,,0.040999999999999995,0.0,0.0,,
2020-03-22,Niger,1,0,0,0,,,,0.040999999999999995,0.0,0.0,,
2020-03-23,Niger,1,0,0,0,,,,0.040999999999999995,0.0,0.0,,
2020-03-24,Niger,2,1,0,0,,,,0.083,0.0,0.0,,
2020-03-25,Niger,7,5,1,1,,,,0.289,0.040999999999999995,0.040999999999999995,,
2020-03-26,Niger,7,0,1,0,,,,0.289,0.040999999999999995,0.0,,
2020-03-27,Niger,10,3,1,0,,,,0.413,0.040999999999999995,0.0,,
2020-03-28,Niger,10,0,1,0,,,,0.413,0.040999999999999995,0.0,,
2020-03-29,Niger,10,0,1,0,,,,0.413,0.040999999999999995,0.0,,
2020-03-30,Niger,10,0,1,0,,,,0.413,0.040999999999999995,0.0,,
2020-03-31,Niger,20,10,3,2,,,,0.826,0.124,0.083,,
2020-04-01,Niger,20,0,3,0,,,,0.826,0.124,0.0,,
2020-04-02,Niger,74,54,5,2,,,,3.057,0.207,0.083,,
2020-04-03,Niger,74,0,5,0,,,,3.057,0.207,0.0,,
2020-04-04,Niger,98,24,5,0,,,,4.048,0.207,0.0,,
2020-04-05,Niger,120,22,5,0,,,,4.957,0.207,0.0,,
2020-04-06,Niger,184,64,10,5,,,,7.601,0.413,0.207,,
2020-04-07,Niger,253,69,10,0,,,,10.452,0.413,0.0,,
2020-04-08,Niger,278,25,11,1,,,,11.484000000000002,0.45399999999999996,0.040999999999999995,,
2020-04-09,Niger,342,64,11,0,,,,14.128,0.45399999999999996,0.0,,
2020-04-10,Niger,410,68,11,0,,,,16.938,0.45399999999999996,0.0,,
2020-04-11,Niger,438,28,11,0,,,,18.094,0.45399999999999996,0.0,,
2020-04-12,Niger,491,53,11,0,,,,20.284000000000002,0.45399999999999996,0.0,,
2020-04-13,Niger,529,38,12,1,,,,21.854,0.496,0.040999999999999995,,
2020-04-14,Niger,548,19,13,1,,,,22.638,0.537,0.040999999999999995,,
2020-04-15,Niger,570,22,14,1,,,,23.546999999999997,0.578,0.040999999999999995,,
2020-04-16,Niger,584,14,14,0,,,,24.125999999999998,0.578,0.0,,
2020-04-17,Niger,609,25,15,1,,,,25.158,0.62,0.040999999999999995,,
2020-04-18,Niger,627,18,18,3,,,,25.901999999999997,0.7440000000000001,0.124,,
2020-04-19,Niger,639,12,19,1,,,,26.398000000000003,0.785,0.040999999999999995,,
2020-04-20,Niger,648,9,20,1,,,,26.77,0.826,0.040999999999999995,,
2020-04-21,Niger,655,7,20,0,,,,27.059,0.826,0.0,,
