Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-28,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-29,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-30,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-28,1,1,0,0,,,,0.005,0.0,0.0,
2020-02-29,1,0,0,0,,,,0.005,0.0,0.0,
2020-03-01,1,0,0,0,,,,0.005,0.0,0.0,
2020-03-02,1,0,0,0,,,,0.005,0.0,0.0,
2020-03-10,2,1,0,0,,,,0.01,0.0,0.0,
2020-03-15,2,0,0,0,,,,0.01,0.0,0.0,
2020-03-16,2,0,0,0,,,,0.01,0.0,0.0,
2020-03-17,2,0,0,0,,,,0.01,0.0,0.0,
2020-03-18,3,1,0,0,,,,0.015,0.0,0.0,
2020-03-19,8,5,0,0,,,,0.039,0.0,0.0,
2020-03-20,8,0,0,0,,,,0.039,0.0,0.0,
2020-03-21,12,4,0,0,,,,0.057999999999999996,0.0,0.0,
2020-03-22,22,10,0,0,,,,0.107,0.0,0.0,
2020-03-23,30,8,0,0,,,,0.146,0.0,0.0,
2020-03-24,40,10,1,1,,,,0.19399999999999998,0.005,0.005,
2020-03-25,44,4,1,0,,,,0.213,0.005,0.0,
2020-03-26,51,7,1,0,,,,0.247,0.005,0.0,
2020-03-27,65,14,1,0,,,,0.315,0.005,0.0,
2020-03-28,81,16,1,0,,,,0.39299999999999996,0.005,0.0,
2020-03-29,97,16,1,0,,,,0.47100000000000003,0.005,0.0,
2020-03-30,97,0,1,0,,,,0.47100000000000003,0.005,0.0,
2020-03-31,131,34,2,1,,,,0.635,0.01,0.005,
2020-04-01,131,0,2,0,,,,0.635,0.01,0.0,
2020-04-02,151,20,2,0,,,,0.733,0.01,0.0,
2020-04-03,174,23,2,0,,,,0.8440000000000001,0.01,0.0,
2020-04-04,190,16,2,0,,,,0.922,0.01,0.0,
2020-04-05,210,20,4,2,,,,1.0190000000000001,0.019,0.01,
2020-04-06,232,22,5,1,,,,1.125,0.024,0.005,
2020-04-07,238,6,5,0,,,,1.155,0.024,0.0,
2020-04-08,254,16,6,1,,,,1.232,0.028999999999999998,0.005,5000.0
2020-04-09,276,22,6,0,,,,1.339,0.028999999999999998,0.0,
