Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-24,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-25,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-26,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-27,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-28,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-29,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-30,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-31,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-01,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-02,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-03,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-04,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-05,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-06,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-07,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-08,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-09,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-10,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-11,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-12,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-13,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-14,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-15,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-16,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-17,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-18,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-19,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-20,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-21,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-22,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-23,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-24,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-25,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-26,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-27,Nigeria,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-28,Nigeria,1,1,0,0,,,,0.005,0.0,0.0,,
2020-02-29,Nigeria,1,0,0,0,,,,0.005,0.0,0.0,,
2020-03-01,Nigeria,1,0,0,0,,,,0.005,0.0,0.0,,
2020-03-02,Nigeria,1,0,0,0,,,,0.005,0.0,0.0,,
2020-03-10,Nigeria,2,1,0,0,,,,0.01,0.0,0.0,,
2020-03-15,Nigeria,2,0,0,0,,,,0.01,0.0,0.0,,
2020-03-16,Nigeria,2,0,0,0,,,,0.01,0.0,0.0,,
2020-03-17,Nigeria,2,0,0,0,,,,0.01,0.0,0.0,,
2020-03-18,Nigeria,3,1,0,0,,,,0.015,0.0,0.0,,
2020-03-19,Nigeria,8,5,0,0,,,,0.039,0.0,0.0,,
2020-03-20,Nigeria,8,0,0,0,,,,0.039,0.0,0.0,,
2020-03-21,Nigeria,12,4,0,0,,,,0.057999999999999996,0.0,0.0,,
2020-03-22,Nigeria,22,10,0,0,,,,0.107,0.0,0.0,,
2020-03-23,Nigeria,30,8,0,0,,,,0.146,0.0,0.0,,
2020-03-24,Nigeria,40,10,1,1,,,,0.19399999999999998,0.005,0.005,,
2020-03-25,Nigeria,44,4,1,0,,,,0.213,0.005,0.0,,
2020-03-26,Nigeria,51,7,1,0,,,,0.247,0.005,0.0,,
2020-03-27,Nigeria,65,14,1,0,,,,0.315,0.005,0.0,,
2020-03-28,Nigeria,81,16,1,0,,,,0.39299999999999996,0.005,0.0,,
2020-03-29,Nigeria,97,16,1,0,,,,0.47100000000000003,0.005,0.0,,
2020-03-30,Nigeria,97,0,1,0,,,,0.47100000000000003,0.005,0.0,,
2020-03-31,Nigeria,131,34,2,1,,,,0.635,0.01,0.005,,
2020-04-01,Nigeria,131,0,2,0,,,,0.635,0.01,0.0,,
2020-04-02,Nigeria,151,20,2,0,,,,0.733,0.01,0.0,,
2020-04-03,Nigeria,174,23,2,0,,,,0.8440000000000001,0.01,0.0,,
2020-04-04,Nigeria,190,16,2,0,,,,0.922,0.01,0.0,,
2020-04-05,Nigeria,210,20,4,2,,,,1.0190000000000001,0.019,0.01,,
2020-04-06,Nigeria,232,22,5,1,,,,1.125,0.024,0.005,,
2020-04-07,Nigeria,238,6,5,0,,,,1.155,0.024,0.0,,
2020-04-08,Nigeria,254,16,6,1,,,,1.232,0.028999999999999998,0.005,5000.0,
2020-04-09,Nigeria,276,22,6,0,,,,1.339,0.028999999999999998,0.0,,
2020-04-10,Nigeria,288,12,7,1,,,,1.3969999999999998,0.034,0.005,,
2020-04-11,Nigeria,305,17,7,0,,,,1.48,0.034,0.0,,
2020-04-12,Nigeria,318,13,10,3,,,,1.5430000000000001,0.049,0.015,,
2020-04-13,Nigeria,323,5,10,0,,,,1.567,0.049,0.0,,
2020-04-14,Nigeria,343,20,10,0,,,,1.6640000000000001,0.049,0.0,,
2020-04-15,Nigeria,373,30,11,1,,,,1.8090000000000002,0.053,0.005,,
2020-04-16,Nigeria,407,34,12,1,,,,1.974,0.057999999999999996,0.005,6649.0,
2020-04-17,Nigeria,442,35,13,1,,,,2.144,0.063,0.005,7153.0,
2020-04-18,Nigeria,493,51,17,4,,,,2.392,0.08199999999999999,0.019,,
2020-04-19,Nigeria,542,49,19,2,,,,2.6289999999999996,0.092,0.01,,
2020-04-20,Nigeria,627,85,21,2,,,,3.042,0.102,0.01,,
2020-04-21,Nigeria,665,38,22,1,,,,3.2260000000000004,0.107,0.005,,
