Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-28,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-29,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-30,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-27,1,1,0,0,,,,0.48,0.0,0.0,
2020-02-28,1,0,0,0,,,,0.48,0.0,0.0,
2020-02-29,1,0,0,0,,,,0.48,0.0,0.0,
2020-03-01,1,0,0,0,,,,0.48,0.0,0.0,
2020-03-02,1,0,0,0,,,,0.48,0.0,0.0,
2020-03-07,3,2,0,0,,,,1.44,0.0,0.0,
2020-03-11,7,4,0,0,,,,3.36,0.0,0.0,
2020-03-13,9,2,0,0,,,,4.32,0.0,0.0,
2020-03-14,13,4,0,0,,,,6.24,0.0,0.0,
2020-03-16,13,0,0,0,,,,6.24,0.0,0.0,
2020-03-17,19,6,0,0,,,,9.12,0.0,0.0,
2020-03-18,31,12,0,0,,,,14.88,0.0,0.0,
2020-03-19,42,11,0,0,,,,20.16,0.0,0.0,
2020-03-20,48,6,0,0,,,,23.039,0.0,0.0,
2020-03-21,70,22,0,0,,,,33.599000000000004,0.0,0.0,
2020-03-22,85,15,0,0,,,,40.799,0.0,0.0,
2020-03-23,114,29,1,1,,,,54.718999999999994,0.48,0.48,
2020-03-24,136,22,2,1,,,,65.279,0.96,0.48,
2020-03-25,148,12,2,0,,,,71.038,0.96,0.0,
2020-03-26,177,29,2,0,,,,84.958,0.96,0.0,
2020-03-27,201,24,3,1,,,,96.478,1.44,0.48,
2020-03-28,219,18,3,0,,,,105.118,1.44,0.0,
2020-03-29,241,22,4,1,,,,115.677,1.92,0.48,
2020-03-30,259,18,6,2,,,,124.31700000000001,2.88,0.96,
2020-03-31,285,26,7,1,,,,136.797,3.36,0.48,
2020-04-01,329,44,9,2,,,,157.916,4.32,0.96,
2020-04-02,354,25,10,1,,,,169.916,4.8,0.48,
2020-04-03,354,0,11,1,,,,169.916,5.28,0.48,
2020-04-04,430,76,12,1,,,,206.395,5.76,0.48,
2020-04-05,483,53,17,5,,,,231.835,8.16,2.4,
2020-04-06,483,0,17,0,,,,231.835,8.16,0.0,
2020-04-07,570,87,21,4,,,,273.594,10.08,1.92,
2020-04-08,599,29,26,5,,,,287.514,12.48,2.4,
2020-04-09,617,18,30,4,,,,296.153,14.4,1.92,
