Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-31,2,2,0,0,,,,34.748000000000005,0.0,0.0,
2020-04-01,6,4,0,0,,,,104.244,0.0,0.0,
2020-04-02,6,0,1,1,,,,104.244,17.374000000000002,17.374000000000002,
2020-04-03,8,2,1,0,,,,138.993,17.374000000000002,0.0,
2020-04-04,8,0,1,0,,,,138.993,17.374000000000002,0.0,
2020-04-05,8,0,1,0,,,,138.993,17.374000000000002,0.0,
2020-04-06,8,0,1,0,,,,138.993,17.374000000000002,0.0,
2020-04-07,8,0,1,0,,,,138.993,17.374000000000002,0.0,
2020-04-08,8,0,2,1,,,,138.993,34.748000000000005,17.374000000000002,
2020-04-09,11,3,2,0,,,,191.115,34.748000000000005,0.0,
2020-04-10,11,0,2,0,,,,191.115,34.748000000000005,0.0,
2020-04-11,11,0,2,0,,,,191.115,34.748000000000005,0.0,
2020-04-12,11,0,2,0,,,,191.115,34.748000000000005,0.0,
2020-04-13,11,0,2,0,,,,191.115,34.748000000000005,0.0,
2020-04-14,11,0,2,0,,,,191.115,34.748000000000005,0.0,
2020-04-15,13,2,2,0,,,,225.863,34.748000000000005,0.0,
2020-04-16,13,0,2,0,,,,225.863,34.748000000000005,0.0,
2020-04-17,13,0,2,0,,,,225.863,34.748000000000005,0.0,
2020-04-18,14,1,2,0,,,,243.237,34.748000000000005,0.0,
2020-04-19,14,0,2,0,,,,243.237,34.748000000000005,0.0,
2020-04-20,14,0,2,0,,,,243.237,34.748000000000005,0.0,
2020-04-21,14,0,2,0,,,,243.237,34.748000000000005,0.0,
2020-04-22,14,0,2,0,,,,243.237,34.748000000000005,0.0,
2020-04-23,14,0,2,0,,,,243.237,34.748000000000005,0.0,
2020-04-24,14,0,2,0,,,,243.237,34.748000000000005,0.0,
2020-04-25,14,0,2,0,,,,243.237,34.748000000000005,0.0,
2020-04-26,14,0,2,0,,,,243.237,34.748000000000005,0.0,
2020-04-27,14,0,2,0,,,,243.237,34.748000000000005,0.0,
2020-04-28,14,0,2,0,,,,243.237,34.748000000000005,0.0,
2020-04-29,14,0,2,0,,,,243.237,34.748000000000005,0.0,
