Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-31,Northern Mariana Islands,2,2,0,0,,,,34.748000000000005,0.0,0.0,,
2020-04-01,Northern Mariana Islands,6,4,0,0,,,,104.244,0.0,0.0,,
2020-04-02,Northern Mariana Islands,6,0,1,1,,,,104.244,17.374000000000002,17.374000000000002,,
2020-04-03,Northern Mariana Islands,8,2,1,0,,,,138.993,17.374000000000002,0.0,,
2020-04-04,Northern Mariana Islands,8,0,1,0,,,,138.993,17.374000000000002,0.0,,
2020-04-05,Northern Mariana Islands,8,0,1,0,,,,138.993,17.374000000000002,0.0,,
2020-04-06,Northern Mariana Islands,8,0,1,0,,,,138.993,17.374000000000002,0.0,,
2020-04-07,Northern Mariana Islands,8,0,1,0,,,,138.993,17.374000000000002,0.0,,
2020-04-08,Northern Mariana Islands,8,0,2,1,,,,138.993,34.748000000000005,17.374000000000002,,
2020-04-09,Northern Mariana Islands,11,3,2,0,,,,191.115,34.748000000000005,0.0,,
2020-04-10,Northern Mariana Islands,11,0,2,0,,,,191.115,34.748000000000005,0.0,,
2020-04-11,Northern Mariana Islands,11,0,2,0,,,,191.115,34.748000000000005,0.0,,
2020-04-12,Northern Mariana Islands,11,0,2,0,,,,191.115,34.748000000000005,0.0,,
2020-04-13,Northern Mariana Islands,11,0,2,0,,,,191.115,34.748000000000005,0.0,,
2020-04-14,Northern Mariana Islands,11,0,2,0,,,,191.115,34.748000000000005,0.0,,
2020-04-15,Northern Mariana Islands,13,2,2,0,,,,225.863,34.748000000000005,0.0,,
2020-04-16,Northern Mariana Islands,13,0,2,0,,,,225.863,34.748000000000005,0.0,,
2020-04-17,Northern Mariana Islands,13,0,2,0,,,,225.863,34.748000000000005,0.0,,
2020-04-18,Northern Mariana Islands,14,1,2,0,,,,243.237,34.748000000000005,0.0,,
2020-04-19,Northern Mariana Islands,14,0,2,0,,,,243.237,34.748000000000005,0.0,,
2020-04-20,Northern Mariana Islands,14,0,2,0,,,,243.237,34.748000000000005,0.0,,
2020-04-21,Northern Mariana Islands,14,0,2,0,,,,243.237,34.748000000000005,0.0,,
