Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2019-12-31,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-01,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-02,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-03,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-04,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-05,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-06,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-07,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-08,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-09,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-10,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-11,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-12,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-13,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-14,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-15,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-16,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-17,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-18,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-19,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-20,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-21,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-22,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-23,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-24,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-25,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-26,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-27,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-28,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-29,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-30,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-01-31,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-01,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-02,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-03,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-04,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-05,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-06,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-07,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-08,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-09,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-10,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-11,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-12,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-13,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-14,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-15,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-16,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-17,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-18,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-19,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-20,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
2020-02-21,Norway,0,0,0,0,,,,0.0,0.0,0.0,,
