Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-28,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-29,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-30,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-02-25,2,2,0,0,,,,0.392,0.0,0.0,
2020-02-26,4,2,0,0,,,,0.7829999999999999,0.0,0.0,
2020-02-27,4,0,0,0,,,,0.7829999999999999,0.0,0.0,
2020-02-28,6,2,0,0,,,,1.175,0.0,0.0,
2020-02-29,6,0,0,0,,,,1.175,0.0,0.0,
2020-03-01,6,0,0,0,,,,1.175,0.0,0.0,
2020-03-02,6,0,0,0,,,,1.175,0.0,0.0,
2020-03-03,7,1,0,0,,,,1.371,0.0,0.0,
2020-03-05,15,8,0,0,,,,2.937,0.0,0.0,
2020-03-06,16,1,0,0,,,,3.133,0.0,0.0,
2020-03-10,18,2,0,0,,,,3.525,0.0,0.0,
2020-03-11,18,0,0,0,,,,3.525,0.0,0.0,
2020-03-14,20,2,0,0,,,,3.9160000000000004,0.0,0.0,
2020-03-15,20,0,0,0,,,,3.9160000000000004,0.0,0.0,
2020-03-16,22,2,0,0,,,,4.308,0.0,0.0,
2020-03-17,24,2,0,0,,,,4.7,0.0,0.0,
2020-03-18,24,0,0,0,,,,4.7,0.0,0.0,
2020-03-19,39,15,0,0,,,,7.6370000000000005,0.0,0.0,
2020-03-20,39,0,0,0,,,,7.6370000000000005,0.0,0.0,
2020-03-21,48,9,0,0,,,,9.4,0.0,0.0,
2020-03-22,52,4,0,0,,,,10.183,0.0,0.0,
2020-03-23,55,3,0,0,,,,10.77,0.0,0.0,
2020-03-24,66,11,0,0,,,,12.924000000000001,0.0,0.0,
2020-03-25,84,18,0,0,,,,16.449,0.0,0.0,
2020-03-26,99,15,0,0,,,,19.387,0.0,0.0,
2020-03-27,109,10,0,0,,,,21.345,0.0,0.0,
2020-03-28,131,22,0,0,,,,25.653000000000002,0.0,0.0,
2020-03-29,152,21,0,0,,,,29.765,0.0,0.0,
2020-03-30,167,15,0,0,,,,32.703,0.0,0.0,
2020-03-31,179,12,0,0,,,,35.053000000000004,0.0,0.0,
2020-04-01,192,13,1,1,,,,37.598,0.196,0.196,
2020-04-02,210,18,1,0,,,,41.123000000000005,0.196,0.0,
2020-04-03,231,21,1,0,,,,45.235,0.196,0.0,
2020-04-04,231,0,1,0,,,,45.235,0.196,0.0,
2020-04-05,277,46,2,1,,,,54.243,0.392,0.196,
