Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-06,7,7,0,0,,,,1.3719999999999999,0.0,0.0,
2020-03-07,16,9,0,0,,,,3.136,0.0,0.0,
2020-03-08,19,3,0,0,,,,3.7239999999999998,0.0,0.0,
2020-03-10,20,1,0,0,,,,3.92,0.0,0.0,
2020-03-11,29,9,0,0,,,,5.685,0.0,0.0,
2020-03-12,30,1,0,0,,,,5.881,0.0,0.0,
2020-03-14,35,5,0,0,,,,6.861000000000001,0.0,0.0,
2020-03-15,38,3,0,0,,,,7.449,0.0,0.0,
2020-03-16,38,0,0,0,,,,7.449,0.0,0.0,
2020-03-17,39,1,0,0,,,,7.645,0.0,0.0,
2020-03-18,41,2,0,0,,,,8.037,0.0,0.0,
2020-03-19,44,3,0,0,,,,8.625,0.0,0.0,
2020-03-20,47,3,0,0,,,,9.213,0.0,0.0,
2020-03-21,48,1,0,0,,,,9.408999999999999,0.0,0.0,
2020-03-22,52,4,0,0,,,,10.193,0.0,0.0,
2020-03-23,59,7,0,0,,,,11.565,0.0,0.0,
2020-03-24,59,0,0,0,,,,11.565,0.0,0.0,
2020-03-25,60,1,0,0,,,,11.761,0.0,0.0,
2020-03-26,62,2,0,0,,,,12.152999999999999,0.0,0.0,
2020-03-27,84,22,1,1,,,,16.465999999999998,0.196,0.196,
2020-03-28,91,7,1,0,,,,17.838,0.196,0.0,
2020-03-29,97,6,1,0,,,,19.014,0.196,0.0,
2020-03-30,106,9,1,0,,,,20.779,0.196,0.0,
2020-03-31,115,9,1,0,,,,22.543000000000003,0.196,0.0,
2020-04-01,117,2,1,0,,,,22.935,0.196,0.0,
2020-04-02,134,17,1,0,,,,26.267,0.196,0.0,
2020-04-03,155,21,1,0,,,,30.384,0.196,0.0,
2020-04-04,155,0,1,0,,,,30.384,0.196,0.0,
2020-04-06,217,62,1,0,,,,42.537,0.196,0.0,
2020-04-07,253,36,1,0,,,,49.593999999999994,0.196,0.0,
2020-04-08,260,7,1,0,,,,50.966,0.196,0.0,
2020-04-09,263,3,1,0,,,,51.553999999999995,0.196,0.0,
2020-04-10,263,0,1,0,,,,51.553999999999995,0.196,0.0,
2020-04-11,266,3,2,1,,,,52.141999999999996,0.392,0.196,
2020-04-12,268,2,2,0,,,,52.534,0.392,0.0,
2020-04-13,268,0,2,0,,,,52.534,0.392,0.0,
2020-04-14,268,0,2,0,,,,52.534,0.392,0.0,
2020-04-15,287,19,2,0,,,,56.25899999999999,0.392,0.0,
2020-04-16,291,4,2,0,,,,57.043,0.392,0.0,
2020-04-17,294,3,2,0,,,,57.631,0.392,0.0,
2020-04-18,307,13,2,0,,,,60.178999999999995,0.392,0.0,
2020-04-19,313,6,2,0,,,,61.356,0.392,0.0,
2020-04-20,322,9,2,0,,,,63.12,0.392,0.0,
2020-04-21,329,7,2,0,,,,64.492,0.392,0.0,
2020-04-22,329,0,2,0,,,,64.492,0.392,0.0,
2020-04-23,335,6,2,0,,,,65.668,0.392,0.0,
2020-04-24,336,1,2,0,,,,65.86399999999999,0.392,0.0,
2020-04-25,340,4,2,0,,,,66.648,0.392,0.0,
2020-04-26,342,2,2,0,,,,67.04,0.392,0.0,
2020-04-27,495,153,2,0,,,,97.03200000000001,0.392,0.0,
2020-04-28,495,0,2,0,,,,97.03200000000001,0.392,0.0,
2020-04-29,495,0,2,0,,,,97.03200000000001,0.392,0.0,
