Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-06,Palestine,7,7,0,0,,,,1.3719999999999999,0.0,0.0,,
2020-03-07,Palestine,16,9,0,0,,,,3.136,0.0,0.0,,
2020-03-08,Palestine,19,3,0,0,,,,3.7239999999999998,0.0,0.0,,
2020-03-10,Palestine,20,1,0,0,,,,3.92,0.0,0.0,,
2020-03-11,Palestine,29,9,0,0,,,,5.685,0.0,0.0,,
2020-03-12,Palestine,30,1,0,0,,,,5.881,0.0,0.0,,
2020-03-14,Palestine,35,5,0,0,,,,6.861000000000001,0.0,0.0,,
2020-03-15,Palestine,38,3,0,0,,,,7.449,0.0,0.0,,
2020-03-16,Palestine,38,0,0,0,,,,7.449,0.0,0.0,,
2020-03-17,Palestine,39,1,0,0,,,,7.645,0.0,0.0,,
2020-03-18,Palestine,41,2,0,0,,,,8.037,0.0,0.0,,
2020-03-19,Palestine,44,3,0,0,,,,8.625,0.0,0.0,,
2020-03-20,Palestine,47,3,0,0,,,,9.213,0.0,0.0,,
2020-03-21,Palestine,48,1,0,0,,,,9.408999999999999,0.0,0.0,,
2020-03-22,Palestine,52,4,0,0,,,,10.193,0.0,0.0,,
2020-03-23,Palestine,59,7,0,0,,,,11.565,0.0,0.0,,
2020-03-24,Palestine,59,0,0,0,,,,11.565,0.0,0.0,,
2020-03-25,Palestine,60,1,0,0,,,,11.761,0.0,0.0,,
2020-03-26,Palestine,62,2,0,0,,,,12.152999999999999,0.0,0.0,,
2020-03-27,Palestine,84,22,1,1,,,,16.465999999999998,0.196,0.196,,
2020-03-28,Palestine,91,7,1,0,,,,17.838,0.196,0.0,,
2020-03-29,Palestine,97,6,1,0,,,,19.014,0.196,0.0,,
2020-03-30,Palestine,106,9,1,0,,,,20.779,0.196,0.0,,
2020-03-31,Palestine,115,9,1,0,,,,22.543000000000003,0.196,0.0,,
2020-04-01,Palestine,117,2,1,0,,,,22.935,0.196,0.0,,
2020-04-02,Palestine,134,17,1,0,,,,26.267,0.196,0.0,,
2020-04-03,Palestine,155,21,1,0,,,,30.384,0.196,0.0,,
2020-04-04,Palestine,155,0,1,0,,,,30.384,0.196,0.0,,
2020-04-06,Palestine,217,62,1,0,,,,42.537,0.196,0.0,,
2020-04-07,Palestine,253,36,1,0,,,,49.593999999999994,0.196,0.0,,
2020-04-08,Palestine,260,7,1,0,,,,50.966,0.196,0.0,,
2020-04-09,Palestine,263,3,1,0,,,,51.553999999999995,0.196,0.0,,
2020-04-10,Palestine,263,0,1,0,,,,51.553999999999995,0.196,0.0,,
2020-04-11,Palestine,266,3,2,1,,,,52.141999999999996,0.392,0.196,,
2020-04-12,Palestine,268,2,2,0,,,,52.534,0.392,0.0,,
2020-04-13,Palestine,268,0,2,0,,,,52.534,0.392,0.0,,
2020-04-14,Palestine,268,0,2,0,,,,52.534,0.392,0.0,,
2020-04-15,Palestine,287,19,2,0,,,,56.25899999999999,0.392,0.0,,
2020-04-16,Palestine,291,4,2,0,,,,57.043,0.392,0.0,,
2020-04-17,Palestine,294,3,2,0,,,,57.631,0.392,0.0,,
2020-04-18,Palestine,307,13,2,0,,,,60.178999999999995,0.392,0.0,,
2020-04-19,Palestine,313,6,2,0,,,,61.356,0.392,0.0,,
2020-04-20,Palestine,322,9,2,0,,,,63.12,0.392,0.0,,
2020-04-21,Palestine,329,7,2,0,,,,64.492,0.392,0.0,,
