Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-09,0,0,0,0,,,,,,,105.0
2020-03-10,1,1,0,0,,,,0.23199999999999998,0.0,0.0,146.0
2020-03-11,7,6,1,1,,,,1.6219999999999999,0.23199999999999998,0.23199999999999998,194.0
2020-03-12,14,7,1,0,,,,3.245,0.23199999999999998,0.0,401.0
2020-03-13,27,13,1,0,,,,6.257999999999999,0.23199999999999998,0.0,649.0
2020-03-14,36,9,1,0,,,,8.343,0.23199999999999998,0.0,857.0
2020-03-15,43,7,1,0,,,,9.966000000000001,0.23199999999999998,0.0,976.0
2020-03-16,43,0,1,0,,,,9.966000000000001,0.23199999999999998,0.0,1073.0
2020-03-17,69,26,1,0,,,,15.992,0.23199999999999998,0.0,1245.0
2020-03-18,86,17,1,0,,,,19.932000000000002,0.23199999999999998,0.0,1455.0
2020-03-19,109,23,1,0,,,,25.261999999999997,0.23199999999999998,0.0,1768.0
2020-03-20,137,28,1,0,,,,31.750999999999998,0.23199999999999998,0.0,2169.0
2020-03-21,200,63,1,0,,,,46.352,0.23199999999999998,0.0,2472.0
2020-03-22,245,45,3,2,,,,56.782,0.695,0.46399999999999997,2541.0
2020-03-23,313,68,3,0,,,,72.542,0.695,0.0,2675.0
2020-03-24,345,32,6,3,,,,79.958,1.391,0.695,3132.0
2020-03-25,443,98,6,0,,,,102.671,1.391,0.0,3690.0
2020-03-26,588,145,6,0,,,,136.276,1.391,0.0,4298.0
2020-03-27,674,86,9,3,,,,156.208,2.086,0.695,4664.0
2020-03-28,786,112,14,5,,,,182.165,3.245,1.159,5204.0
2020-03-29,901,115,17,3,,,,208.81799999999998,3.94,0.695,5602.0
2020-03-30,989,88,24,7,,,,229.213,5.562,1.6219999999999999,6024.0
2020-03-31,1075,86,26,2,,,,249.144,6.026,0.46399999999999997,6386.0
2020-04-01,1181,106,30,4,,,,273.711,6.952999999999999,0.927,6775.0
2020-04-02,1317,136,32,2,,,,305.231,7.416,0.46399999999999997,7383.0
2020-04-03,1475,158,37,5,,,,341.849,8.575,1.159,8136.0
2020-04-04,1673,198,41,4,,,,387.73800000000006,9.502,0.927,8698.0
2020-04-05,1801,128,46,5,,,,417.404,10.661,1.159,9141.0
2020-04-06,1988,187,54,8,,,,460.74300000000005,12.515,1.854,9656.0
2020-04-07,2100,112,55,1,,,,486.70099999999996,12.747,0.23199999999999998,10123.0
2020-04-08,2249,149,59,4,,,,521.2330000000001,13.674000000000001,0.927,11218.0
2020-04-09,2528,279,63,4,,,,585.895,14.600999999999999,0.927,12025.0
2020-04-10,2752,224,66,3,,,,637.809,15.296,0.695,13648.0
2020-04-11,2974,222,74,8,,,,689.2610000000001,17.15,1.854,14588.0
2020-04-12,3234,260,79,5,,,,749.5189999999999,18.309,1.159,15147.0
2020-04-13,3400,166,87,8,,,,787.9910000000001,20.163,1.854,15567.0
2020-04-14,3472,72,94,7,,,,804.678,21.785999999999998,1.6219999999999999,16053.0
2020-04-15,3574,102,95,1,,,,828.318,22.017,0.23199999999999998,16854.0
2020-04-16,3751,177,103,8,,,,869.34,23.872,1.854,17850.0
2020-04-17,4016,265,109,6,,,,930.757,25.261999999999997,1.391,18559.0
2020-04-18,4210,194,116,7,,,,975.7189999999999,26.884,1.6219999999999999,19091.0
2020-04-19,4273,63,120,4,,,,990.32,27.811,0.927,20137.0
2020-04-20,4467,194,126,6,,,,1035.282,29.201999999999998,1.391,20996.0
2020-04-21,4658,191,136,10,,,,1079.548,31.52,2.318,21902.0
2020-04-22,4821,163,141,5,,,,1117.325,32.678000000000004,1.159,22702.0
2020-04-23,4992,171,144,3,,,,1156.9569999999999,33.374,0.695,23534.0
2020-04-24,5166,174,146,2,,,,1197.2830000000001,33.836999999999996,0.46399999999999997,24304.0
2020-04-25,5338,172,154,8,,,,1237.146,35.691,1.854,25400.0
2020-04-26,5538,200,159,5,,,,1283.499,36.85,1.159,26642.0
2020-04-27,5779,241,165,6,,,,1339.354,38.241,1.391,27834.0
2020-04-28,6021,242,167,2,,,,1395.44,38.704,0.46399999999999997,28795.0
2020-04-29,6200,179,176,9,,,,1436.925,40.79,2.086,
