Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-21,Papua New Guinea,1,1,0,0,,,,0.11199999999999999,0.0,0.0,,
2020-03-22,Papua New Guinea,1,0,0,0,,,,0.11199999999999999,0.0,0.0,,
2020-03-23,Papua New Guinea,1,0,0,0,,,,0.11199999999999999,0.0,0.0,,
2020-03-24,Papua New Guinea,1,0,0,0,,,,0.11199999999999999,0.0,0.0,,
2020-03-25,Papua New Guinea,1,0,0,0,,,,0.11199999999999999,0.0,0.0,,
2020-03-26,Papua New Guinea,1,0,0,0,,,,0.11199999999999999,0.0,0.0,,
2020-03-27,Papua New Guinea,1,0,0,0,,,,0.11199999999999999,0.0,0.0,,
2020-03-28,Papua New Guinea,1,0,0,0,,,,0.11199999999999999,0.0,0.0,,
2020-03-29,Papua New Guinea,1,0,0,0,,,,0.11199999999999999,0.0,0.0,,
2020-03-30,Papua New Guinea,1,0,0,0,,,,0.11199999999999999,0.0,0.0,,
2020-03-31,Papua New Guinea,1,0,0,0,,,,0.11199999999999999,0.0,0.0,,
2020-04-01,Papua New Guinea,1,0,0,0,,,,0.11199999999999999,0.0,0.0,,
2020-04-02,Papua New Guinea,1,0,0,0,,,,0.11199999999999999,0.0,0.0,,
2020-04-03,Papua New Guinea,1,0,0,0,,,,0.11199999999999999,0.0,0.0,,
2020-04-04,Papua New Guinea,1,0,0,0,,,,0.11199999999999999,0.0,0.0,,
2020-04-05,Papua New Guinea,1,0,0,0,,,,0.11199999999999999,0.0,0.0,,
2020-04-06,Papua New Guinea,1,0,0,0,,,,0.11199999999999999,0.0,0.0,,
2020-04-07,Papua New Guinea,1,0,0,0,,,,0.11199999999999999,0.0,0.0,,
2020-04-08,Papua New Guinea,2,1,0,0,,,,0.22399999999999998,0.0,0.0,,
2020-04-09,Papua New Guinea,2,0,0,0,,,,0.22399999999999998,0.0,0.0,,
2020-04-10,Papua New Guinea,2,0,0,0,,,,0.22399999999999998,0.0,0.0,,
2020-04-11,Papua New Guinea,2,0,0,0,,,,0.22399999999999998,0.0,0.0,,
2020-04-12,Papua New Guinea,2,0,0,0,,,,0.22399999999999998,0.0,0.0,,
2020-04-13,Papua New Guinea,2,0,0,0,,,,0.22399999999999998,0.0,0.0,,
2020-04-14,Papua New Guinea,2,0,0,0,,,,0.22399999999999998,0.0,0.0,,
2020-04-15,Papua New Guinea,2,0,0,0,,,,0.22399999999999998,0.0,0.0,,
2020-04-16,Papua New Guinea,2,0,0,0,,,,0.22399999999999998,0.0,0.0,,
2020-04-17,Papua New Guinea,7,5,0,0,,,,0.782,0.0,0.0,,
2020-04-18,Papua New Guinea,7,0,0,0,,,,0.782,0.0,0.0,,
2020-04-19,Papua New Guinea,7,0,0,0,,,,0.782,0.0,0.0,,
2020-04-20,Papua New Guinea,7,0,0,0,,,,0.782,0.0,0.0,,
2020-04-21,Papua New Guinea,7,0,0,0,,,,0.782,0.0,0.0,,
