Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2019-12-31,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-01,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-02,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-03,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-04,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-05,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-06,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-07,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-08,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-09,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-10,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-11,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-12,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-13,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-14,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-15,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-16,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-17,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-18,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-19,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-20,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-21,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-22,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-23,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-24,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-25,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-26,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-27,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-28,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-29,0,0,0,0,,,,0.0,0.0,0.0,
2020-01-30,1,1,0,0,,,,0.009000000000000001,0.0,0.0,
2020-01-31,1,0,0,0,,,,0.009000000000000001,0.0,0.0,
2020-02-01,1,0,0,0,,,,0.009000000000000001,0.0,0.0,
2020-02-02,2,1,1,1,,,,0.018000000000000002,0.009000000000000001,0.009000000000000001,
2020-02-03,2,0,1,0,,,,0.018000000000000002,0.009000000000000001,0.0,
2020-02-04,2,0,1,0,,,,0.018000000000000002,0.009000000000000001,0.0,
2020-02-05,2,0,1,0,,,,0.018000000000000002,0.009000000000000001,0.0,
2020-02-06,3,1,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,
2020-02-07,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,
2020-02-08,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,
2020-02-09,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,
2020-02-10,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,
2020-02-11,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,
2020-02-12,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,
2020-02-13,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,
2020-02-14,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,
2020-02-15,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,
2020-02-16,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,
2020-02-17,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,
2020-02-18,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,
2020-02-19,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,
2020-02-20,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,
2020-02-21,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,
2020-02-22,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,
2020-02-23,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,
2020-02-24,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,
2020-02-25,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,
2020-02-26,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,
2020-02-27,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,
2020-02-28,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,
2020-02-29,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,
2020-03-01,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,
2020-03-02,3,0,1,0,,,,0.027000000000000003,0.009000000000000001,0.0,
2020-03-07,5,2,1,0,,,,0.046,0.009000000000000001,0.0,
2020-03-08,6,1,1,0,,,,0.055,0.009000000000000001,0.0,
2020-03-09,10,4,1,0,,,,0.091,0.009000000000000001,0.0,
2020-03-10,33,23,1,0,,,,0.301,0.009000000000000001,0.0,
2020-03-11,33,0,1,0,,,,0.301,0.009000000000000001,0.0,
2020-03-12,49,16,2,1,,,,0.447,0.018000000000000002,0.009000000000000001,
2020-03-13,52,3,2,0,,,,0.475,0.018000000000000002,0.0,
2020-03-14,64,12,6,4,,,,0.584,0.055,0.037000000000000005,
2020-03-15,111,47,6,0,,,,1.013,0.055,0.0,
2020-03-16,140,29,12,6,,,,1.278,0.11,0.055,
2020-03-17,142,2,12,0,,,,1.296,0.11,0.0,
2020-03-18,187,45,14,2,,,,1.706,0.128,0.018000000000000002,
2020-03-19,202,15,17,3,,,,1.8430000000000002,0.155,0.027000000000000003,
2020-03-20,230,28,18,1,,,,2.099,0.16399999999999998,0.009000000000000001,
2020-03-21,230,0,18,0,,,,2.099,0.16399999999999998,0.0,
2020-03-22,380,150,25,7,,,,3.468,0.228,0.064,
